Percentage,Annual OpEx per kW ($/kW),Turbine
-10,98.63,15-MW
-10,92.34,15-MW
-10,81.64,15-MW
-10,94.16,15-MW
-10,80.13,15-MW
-10,82.69,15-MW
-10,95.01,15-MW
-10,75.79,15-MW
-10,94.15,15-MW
-10,93.01,15-MW
-10,86.08,15-MW
-10,96.36,15-MW
-10,89.34,15-MW
-10,84.99,15-MW
-10,86.64,15-MW
-10,84.02,15-MW
-10,91.41,15-MW
-10,88.85,15-MW
-10,96.68,15-MW
-10,86.64,15-MW
-10,84.26,15-MW
-10,89.74,15-MW
-10,89.68,15-MW
-10,81.8,15-MW
-10,87.71,15-MW
-10,89.85,15-MW
-10,85.31,15-MW
-10,80.4,15-MW
-10,91.44,15-MW
-10,83.22,15-MW
-5,97.33,15-MW
-5,92.58,15-MW
-5,92.79,15-MW
-5,98.3,15-MW
-5,91.89,15-MW
-5,83.11,15-MW
-5,86.21,15-MW
-5,84,15-MW
-5,86.63,15-MW
-5,84.79,15-MW
-5,91.85,15-MW
-5,88.29,15-MW
-5,97.52,15-MW
-5,100.73,15-MW
-5,95.68,15-MW
-5,100.99,15-MW
-5,84.68,15-MW
-5,94.33,15-MW
-5,89.61,15-MW
-5,90.26,15-MW
-5,87.9,15-MW
-5,98.64,15-MW
-5,95.45,15-MW
-5,85.27,15-MW
-5,83.27,15-MW
-5,91.8,15-MW
-5,88.79,15-MW
-5,83.07,15-MW
-5,71.36,15-MW
-5,92.18,15-MW
0,95.93,15-MW
0,102.12,15-MW
0,90,15-MW
0,82.93,15-MW
0,88.63,15-MW
0,81.28,15-MW
0,88.54,15-MW
0,94.26,15-MW
0,92.68,15-MW
0,96.59,15-MW
0,103.42,15-MW
0,98.01,15-MW
0,92.37,15-MW
0,95.03,15-MW
0,89.44,15-MW
0,92.68,15-MW
0,87.16,15-MW
0,88.89,15-MW
0,90.65,15-MW
0,89.44,15-MW
0,86.17,15-MW
0,92.72,15-MW
0,100.26,15-MW
0,100.63,15-MW
0,91.5,15-MW
0,94.38,15-MW
0,85.37,15-MW
0,92.5,15-MW
0,88.49,15-MW
0,86.35,15-MW
