id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
A6,OSS,A6,turbine,-41.67838989,-74.68885434,0,0,0,0,0,20MW_core_wind_+5%.yaml,array_core_wind.yaml,1515.15,7575.75,1515.15,7575.75,4.85735636,0
B6,OSS,B6,turbine,-41.63545724,-74.681655,0,1,0,1,0,20MW_core_wind_+5%.yaml,array_core_wind.yaml,3030.3,7575.75,3030.3,7575.75,4.861723127,0
C6,OSS,C6,turbine,-41.59256545,-74.67444772,0,2,0,2,0,20MW_core_wind_+5%.yaml,array_core_wind.yaml,4545.45,7575.75,4545.45,7575.75,4.866093664,0
D6,OSS,D6,turbine,-41.54971449,-74.66723249,0,3,0,3,0,20MW_core_wind_+5%.yaml,array_core_wind.yaml,6060.6,7575.75,6060.6,7575.75,4.870465764,0
E6,OSS,E6,turbine,-41.50690436,-74.66000934,0,4,0,4,0,20MW_core_wind_+5%.yaml,array_core_wind.yaml,7575.75,7575.75,7575.75,7575.75,4.874838118,0
F6,OSS,F6,turbine,-41.46413505,-74.65277828,0,5,0,5,0,20MW_core_wind_+5%.yaml,array_core_wind.yaml,9090.9,7575.75,9090.9,7575.75,4.879214449,0
A5,OSS,A5,turbine,-41.65113336,-74.70020011,1,0,1,0,0,20MW_core_wind_+5%.yaml,array_core_wind.yaml,1515.15,6060.6,1515.15,6060.6,4.859343355,0
B5,OSS,B5,turbine,-41.60818312,-74.69299518,1,1,1,1,0,20MW_core_wind_+5%.yaml,array_core_wind.yaml,3030.3,6060.6,3030.3,6060.6,4.863721031,0
C5,OSS,C5,turbine,-41.56527381,-74.6857823,1,2,1,2,0,20MW_core_wind_+5%.yaml,array_core_wind.yaml,4545.45,6060.6,4545.45,6060.6,4.86809896,0
D5,OSS,D5,turbine,-41.52240543,-74.67856149,1,3,1,3,0,20MW_core_wind_+5%.yaml,array_core_wind.yaml,6060.6,6060.6,6060.6,6060.6,4.87247735,0
E5,OSS,E5,turbine,-41.47957794,-74.67133275,1,4,1,4,0,20MW_core_wind_+5%.yaml,array_core_wind.yaml,7575.75,6060.6,7575.75,6060.6,4.876860718,0
F5,OSS,F5,turbine,-41.43679134,-74.66409609,1,5,1,5,0,20MW_core_wind_+5%.yaml,array_core_wind.yaml,9090.9,6060.6,9090.9,6060.6,4.881244444,0
A4,OSS,A4,turbine,-41.62383588,-74.71154231,2,0,2,0,0,20MW_core_wind_+5%.yaml,array_core_wind.yaml,1515.15,4545.45,1515.15,4545.45,4.861330688,0
B4,OSS,B4,turbine,-41.58086807,-74.70433179,2,1,2,1,0,20MW_core_wind_+5%.yaml,array_core_wind.yaml,3030.3,4545.45,3030.3,4545.45,4.865716752,0
C4,OSS,C4,turbine,-41.53794126,-74.69711331,2,2,2,2,0,20MW_core_wind_+5%.yaml,array_core_wind.yaml,4545.45,4545.45,4545.45,4545.45,4.870101177,0
D4,OSS,D4,turbine,-41.49505545,-74.6898869,2,3,2,3,0,20MW_core_wind_+5%.yaml,array_core_wind.yaml,6060.6,4545.45,6060.6,4545.45,4.874490373,0
E4,OSS,E4,turbine,-41.45221063,-74.68265256,2,4,2,4,0,20MW_core_wind_+5%.yaml,array_core_wind.yaml,7575.75,4545.45,7575.75,4545.45,4.878881238,0
F4,OSS,F4,turbine,-41.40940676,-74.67541031,2,5,2,5,0,20MW_core_wind_+5%.yaml,array_core_wind.yaml,9090.9,4545.45,9090.9,4545.45,4.883272358,0
A2,OSS,A2,turbine,-41.5691178,-74.73421599,3,0,3,0,0,20MW_core_wind_+5%.yaml,array_core_wind.yaml,1515.15,1515.15,1515.15,1515.15,4.86530122,0
B2,OSS,B2,turbine,-41.52611487,-74.72699426,3,1,3,1,0,20MW_core_wind_+5%.yaml,array_core_wind.yaml,3030.3,1515.15,3030.3,1515.15,4.869702376,0
