id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
176,SRW OSS,176,turbine,40.97666081,-71.12069049,0.0,0.0,0.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,321578.0,4538332.0,12964.0,7408.0,1.950348097868784,0
177,SRW OSS,177,turbine,40.97625388,-71.1426884,0.0,1.0,0.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,319726.0,4538332.0,11112.0,7408.0,1.942315376546757,0
178,SRW OSS,178,turbine,40.97584275,-71.16468585,0.0,2.0,0.0,2.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,317874.0,4538332.0,9260.0,7408.0,1.942299716974976,0
175,SRW OSS,175,turbine,40.97706355,-71.09869214,1.0,0.0,1.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,323430.0,4538332.0,14816.0,7408.0,2.712954161585256,0
202,SRW OSS,202,turbine,40.96039141,-71.09816372,1.0,1.0,1.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,323430.0,4536480.0,14816.0,5556.0,1.949428185091008,0
201,SRW OSS,201,turbine,40.96078972,-71.07617046,1.0,2.0,1.0,2.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,325282.0,4536480.0,16668.0,5556.0,1.94234579131476,0
200,SRW OSS,200,turbine,40.96118384,-71.05417675,1.0,3.0,1.0,3.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,327134.0,4536480.0,18520.0,5556.0,1.9423613722438329,0
238,SRW OSS,238,turbine,40.92822795,-71.03116024,1.0,4.0,1.0,4.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,328986.0,4532776.0,20372.0,1852.0,4.23821262989629,0
250,SRW OSS,250,turbine,40.91155496,-71.0306497,1.0,5.0,1.0,5.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,328986.0,4530924.0,20372.0,0.0,1.949488100076727,0
203,SRW OSS,203,turbine,40.95929999,-71.12010898,2.0,0.0,2.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,321580.1471,4536403.419,12966.1471,5479.4192,3.8813999632110994,0
204,SRW OSS,204,turbine,40.95958221,-71.14214892,2.0,1.0,2.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,319726.0,4536480.0,11112.0,5556.0,1.946032765569396,0
205,SRW OSS,205,turbine,40.95917133,-71.16414085,2.0,2.0,2.0,2.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,317874.0,4536480.0,9260.0,5556.0,1.942302134197704,0
206,SRW OSS,206,turbine,40.95875625,-71.18613231,2.0,3.0,2.0,3.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,316022.0,4536480.0,7408.0,5556.0,1.9422858398934644,0
150,SRW OSS,150,turbine,40.99292549,-71.14322832,3.0,0.0,3.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,319726.0,4540184.0,11112.0,9260.0,1.9422937114614347,0
151,SRW OSS,151,turbine,40.99251412,-71.16523131,3.0,1.0,3.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,317874.0,4540184.0,9260.0,9260.0,1.942298561785572,0
152,SRW OSS,152,turbine,40.99209856,-71.18723383,3.0,2.0,3.0,2.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,316022.0,4540184.0,7408.0,9260.0,1.942282300553851,0
153,SRW OSS,153,turbine,40.9916788,-71.2092359,3.0,3.0,3.0,3.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,314170.0,4540184.0,5556.0,9260.0,1.942267980145088,0
180,SRW OSS,180,turbine,40.97500792,-71.20867937,3.0,4.0,3.0,4.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,314170.0,4538332.0,5556.0,7408.0,1.949345829329919,0
179,SRW OSS,179,turbine,40.97542743,-71.18668284,4.0,0.0,4.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,316022.0,4538332.0,7408.0,7408.0,5.939442530559289,0
181,SRW OSS,181,turbine,40.97458421,-71.23067544,4.0,1.0,4.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,312318.0,4538332.0,3704.0,7408.0,3.789483139185699,0
208,SRW OSS,208,turbine,40.95791352,-71.23011386,4.0,2.0,4.0,2.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,312318.0,4536480.0,3704.0,5556.0,1.949335747576008,0
209,SRW OSS,209,turbine,40.95748587,-71.25210393,4.0,3.0,4.0,3.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,310466.0,4536480.0,1852.0,5556.0,1.9422399600560896,0
210,SRW OSS,210,turbine,40.95705403,-71.27409352,4.0,4.0,4.0,4.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,308614.0,4536480.0,0.0,5556.0,1.9422237363958432,0
155,SRW OSS,155,turbine,40.9908267,-71.25323862,5.0,0.0,5.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,310466.0,4540184.0,1852.0,9260.0,11.17843036635849,0
156,SRW OSS,156,turbine,40.99039435,-71.27523927,5.0,1.0,5.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,308614.0,4540184.0,0.0,9260.0,1.94222052809884,0
183,SRW OSS,183,turbine,40.97372422,-71.27466616,5.0,2.0,5.0,2.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,308614.0,4538332.0,0.0,7408.0,1.94929806978646,0
182,SRW OSS,182,turbine,40.97415631,-71.25267104,5.0,3.0,5.0,3.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,310466.0,4538332.0,1852.0,7408.0,1.9422223122031068,0
199,SRW OSS,199,turbine,40.96080854,-71.03215913,6.0,0.0,6.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,328986.0,4536395.0,20372.0,5471.0,8.401178776443608,0
224,SRW OSS,224,turbine,40.94490088,-71.03167121,6.0,1.0,6.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,328986.0,4534628.0,20372.0,3704.0,1.864365621683989,0
223,SRW OSS,223,turbine,40.94528639,-71.00968217,6.0,2.0,6.0,2.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,330838.0,4534628.0,22224.0,3704.0,1.9423912969211123,0
222,SRW OSS,222,turbine,40.94566771,-70.98769271,6.0,3.0,6.0,3.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,332690.0,4534628.0,24076.0,3704.0,1.9424050908838848,0
221,SRW OSS,221,turbine,40.94604484,-70.96570282,6.0,4.0,6.0,4.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,334542.0,4534628.0,25928.0,3704.0,1.942419958901796,0
220,SRW OSS,220,turbine,40.94641777,-70.94371252,6.0,5.0,6.0,5.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,336394.0,4534628.0,27780.0,3704.0,1.94243335715291,0
173,SRW OSS,173,turbine,40.97785644,-71.05469411,7.0,0.0,7.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,327134.0,4538332.0,18520.0,7408.0,5.93896639598743,0
172,SRW OSS,172,turbine,40.97824659,-71.03269444,7.0,1.0,7.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,328986.0,4538332.0,20372.0,7408.0,1.9423737048830008,0
171,SRW OSS,171,turbine,40.97863255,-71.01069434,7.0,2.0,7.0,2.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,330838.0,4538332.0,22224.0,7408.0,1.942388047927198,0
249,SRW OSS,249,turbine,40.91194002,-71.0086717,7.0,3.0,7.0,3.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,330838.0,4530924.0,22224.0,0.0,7.512856510948977,0
248,SRW OSS,248,turbine,40.91232089,-70.98669327,7.0,4.0,7.0,4.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,332690.0,4530924.0,24076.0,0.0,1.9424093597253296,0
198,SRW OSS,198,turbine,40.96193976,-71.01131931,8.0,0.0,8.0,0.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,330742.7457,4536480.0,22128.7457,5556.0,9.960069639262572,0
197,SRW OSS,197,turbine,40.96234104,-70.98819305,8.0,1.0,8.0,1.0,0.0,11MW_core_wind.yaml,array_core_wind.yaml,332690.0,4536480.0,24076.0,5556.0,2.0374198010562905,0
