id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
A1,OSS,A1,turbine,-41.54169702592256,-74.74554744764457,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,1515.15,0.0,1515.15,0.0,0,0
A2,OSS,A2,turbine,-41.56911779518916,-74.73421598937955,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,1515.15,1515.15,1515.15,1515.15,0,0
A3,OSS,A3,turbine,-41.596497387518625,-74.72288094177924,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,1515.15,3030.3,1515.15,3030.3,0,0
A4,OSS,A4,turbine,-41.623835881461176,-74.71154231278332,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,1515.15,4545.45,1515.15,4545.45,0,0
A5,OSS,A5,turbine,-41.65113335541095,-74.70020011031049,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,1515.15,6060.6,1515.15,6060.6,0,0
A6,OSS,A6,turbine,-41.67838988760626,-74.6888543422584,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,1515.15,7575.75,1515.15,7575.75,0,0
A7,OSS,A7,turbine,-41.70560555612958,-74.67750501650373,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,1515.15,9090.9,1515.15,9090.9,0,0
B1,OSS,B1,turbine,-41.4986765596342,-74.73832009960155,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,3030.3,0.0,3030.3,0.0,0,0
B2,OSS,B2,turbine,-41.526114867373856,-74.7269942559291,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,3030.3,1515.15,3030.3,1515.15,0,0
B3,OSS,B3,turbine,-41.55351201118627,-74.7156648165654,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,3030.3,3030.3,3030.3,3030.3,0,0
B4,OSS,B4,turbine,-41.58086806947886,-74.70433178945659,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,3030.3,4545.45,3030.3,4545.45,0,0
B5,OSS,B5,turbine,-41.60818312050369,-74.69299518252781,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,3030.3,6060.6,3030.3,6060.6,0,0
B6,OSS,B6,turbine,-41.63545724235771,-74.68165500368316,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,3030.3,7575.75,3030.3,7575.75,0,0
B7,OSS,B7,turbine,-41.662690512982834,-74.67031126080587,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,3030.3,9090.9,3030.3,9090.9,0,0
C1,OSS,C1,turbine,-41.455697335810115,-74.7310847968062,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,4545.45,0.0,4545.45,0.0,0,0
C2,OSS,C2,turbine,-41.483153103459884,-74.71976456871104,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,4545.45,1515.15,4545.45,1515.15,0,0
C3,OSS,C3,turbine,-41.5105677203478,-74.70844073857963,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,4545.45,3030.3,4545.45,3030.3,0,0
C4,OSS,C4,turbine,-41.5379412647384,-74.6971133143645,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,4545.45,4545.45,4545.45,4545.45,0,0
C5,OSS,C5,turbine,-41.5652738147414,-74.68578230399724,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,4545.45,6060.6,4545.45,6060.6,0,0
C6,OSS,C6,turbine,-41.59256544831228,-74.67444771538835,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,4545.45,7575.75,4545.45,7575.75,0,0
C7,OSS,C7,turbine,-41.61981624325209,-74.66310955642747,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,4545.45,9090.9,4545.45,9090.9,0,0
D1,OSS,D1,turbine,-41.412759341141275,-74.72384155212606,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,6060.6,0.0,6060.6,0.0,0,0
D2,OSS,D2,turbine,-41.44023249028192,-74.71252694057317,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,6060.6,1515.15,6060.6,1515.15,0,0
D3,OSS,D3,turbine,-41.46766450198097,-74.70120872064999,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,6060.6,3030.3,6060.6,3030.3,0,0
D4,OSS,D4,turbine,-41.49505545435974,-74.68988690031547,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,6060.6,4545.45,6060.6,4545.45,0,0
D5,OSS,D5,turbine,-41.5224054253856,-74.67856148750752,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,6060.6,6060.6,6060.6,6060.6,0,0
D6,OSS,D6,turbine,-41.54971449287223,-74.66723249014304,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,6060.6,7575.75,6060.6,7575.75,0,0
D7,OSS,D7,turbine,-41.57698273447972,-74.65589991611805,,,,,0.0,15MW_core_wind_floating_catenary.yaml,array_core_wind.yaml,6060.6,9090.9,6060.6,9090.9,0,0
