id,substation_id,name,longitude,latitude,string,order,distance,subassembly,upstream_cable
AT32,PCW OSS,AT32,41.01853028,-70.59342083,0,0,0,16MW_operations.yaml,array.yaml
AU33,PCW OSS,AU33,41.00215583,-70.57100556,0,1,0,16MW_operations.yaml,array.yaml
AU34,PCW OSS,AU34,41.00245389,-70.54899194,0,2,0,16MW_operations.yaml,array.yaml
AV35,PCW OSS,AV35,40.98607028,-70.52659333,0,3,0,16MW_operations.yaml,array.yaml
AW36,PCW OSS,AW36,40.96968194,-70.50420556,0,4,0,16MW_operations.yaml,array.yaml
AX37,PCW OSS,AX37,40.95328944,-70.48182889,0,5,0,16MW_operations.yaml,array.yaml
AU35,PCW OSS,AU35,41.0027475,-70.52697806,1,0,0,16MW_operations.yaml,array.yaml
AV36,PCW OSS,AV36,40.98635972,-70.50458444,1,1,0,16MW_operations.yaml,array.yaml
AW37,PCW OSS,AW37,40.96996722,-70.48220222,1,2,0,16MW_operations.yaml,array.yaml
AU32,PCW OSS,AU32,41.00185361,-70.59301889,2,0,0,16MW_operations.yaml,array.yaml
AV33,PCW OSS,AV33,40.98547889,-70.57060972,2,1,0,16MW_operations.yaml,array.yaml
AV34,PCW OSS,AV34,40.98577667,-70.54860167,2,2,0,16MW_operations.yaml,array.yaml
AW35,PCW OSS,AW35,40.96939278,-70.52620861,2,3,0,16MW_operations.yaml,array.yaml
AX36,PCW OSS,AX36,40.95300444,-70.50382694,2,4,0,16MW_operations.yaml,array.yaml
AY36,PCW OSS,AY36,40.93632667,-70.50344861,2,5,0,16MW_operations.yaml,array.yaml
AU30,PCW OSS,AU30,41.00123667,-70.63704444,3,0,0,16MW_operations.yaml,array.yaml
AV29,PCW OSS,AV29,40.98424556,-70.65863861,3,1,0,16MW_operations.yaml,array.yaml
AV28,PCW OSS,AV28,40.98392667,-70.680645,3,2,0,16MW_operations.yaml,array.yaml
AW28,PCW OSS,AW28,40.96725056,-70.68022167,3,3,0,16MW_operations.yaml,array.yaml
AW30,PCW OSS,AW30,40.96788361,-70.63621972,4,0,0,16MW_operations.yaml,array.yaml
AX30,PCW OSS,AX30,40.95120722,-70.63580778,4,1,0,16MW_operations.yaml,array.yaml
AY30,PCW OSS,AY30,40.93453056,-70.63539611,4,2,0,16MW_operations.yaml,array.yaml
AU31,PCW OSS,AU31,41.00154722,-70.61503194,5,0,0,16MW_operations.yaml,array.yaml
AV31,PCW OSS,AV31,40.98487056,-70.61462472,5,1,0,16MW_operations.yaml,array.yaml
AW31,PCW OSS,AW31,40.96819389,-70.61421806,5,2,0,16MW_operations.yaml,array.yaml
AX31,PCW OSS,AX31,40.95151722,-70.61381167,5,3,0,16MW_operations.yaml,array.yaml
AY31,PCW OSS,AY31,40.93484028,-70.61340583,5,4,0,16MW_operations.yaml,array.yaml
AZ31,PCW OSS,AZ31,40.91816361,-70.613,5,5,0,16MW_operations.yaml,array.yaml
AX32,PCW OSS,AX32,40.95182306,-70.59181556,6,0,0,16MW_operations.yaml,array.yaml
AY32,PCW OSS,AY32,40.93514611,-70.591415,6,1,0,16MW_operations.yaml,array.yaml
AZ32,PCW OSS,AZ32,40.91846889,-70.59101472,6,2,0,16MW_operations.yaml,array.yaml
AW32,PCW OSS,AW32,40.9685,-70.59221639,7,0,0,16MW_operations.yaml,array.yaml
AY33,PCW OSS,AY33,40.9354475,-70.56942389,7,1,0,16MW_operations.yaml,array.yaml
AZ33,PCW OSS,AZ33,40.91877028,-70.56902917,7,2,0,16MW_operations.yaml,array.yaml
BA33,PCW OSS,BA33,40.90209306,-70.568635,7,3,0,16MW_operations.yaml,array.yaml
AX33,PCW OSS,AX33,40.95212472,-70.56981889,8,0,0,16MW_operations.yaml,array.yaml
AX34,PCW OSS,AX34,40.95242222,-70.54782194,8,1,0,16MW_operations.yaml,array.yaml
AY34,PCW OSS,AY34,40.93574472,-70.5474325,8,2,0,16MW_operations.yaml,array.yaml
AZ34,PCW OSS,AZ34,40.9190675,-70.54704333,8,3,0,16MW_operations.yaml,array.yaml
BA34,PCW OSS,BA34,40.90239,-70.54665444,8,4,0,16MW_operations.yaml,array.yaml
BA35,PCW OSS,BA35,40.90267917,-70.524935,8,5,0,16MW_operations.yaml,array.yaml
AV32,PCW OSS,AV32,40.98517667,-70.5926175,9,0,0,16MW_operations.yaml,array.yaml
AW33,PCW OSS,AW33,40.96880167,-70.57021417,9,1,0,16MW_operations.yaml,array.yaml
AW34,PCW OSS,AW34,40.96909944,-70.54821167,9,2,0,16MW_operations.yaml,array.yaml
AX35,PCW OSS,AX35,40.95271528,-70.52582444,9,3,0,16MW_operations.yaml,array.yaml
AY35,PCW OSS,AY35,40.93603778,-70.52544056,9,4,0,16MW_operations.yaml,array.yaml
AZ35,PCW OSS,AZ35,40.91936028,-70.52505694,9,5,0,16MW_operations.yaml,array.yaml
AV30,PCW OSS,AV30,40.98456028,-70.63663194,10,0,0,16MW_operations.yaml,array.yaml
AW29,PCW OSS,AW29,40.96756917,-70.65822083,10,1,0,16MW_operations.yaml,array.yaml
AX29,PCW OSS,AX29,40.95089278,-70.65780333,10,2,0,16MW_operations.yaml,array.yaml
PCW OSS,PCW OSS,PCW OSS,41.01822389,-70.61543917,,,,offshore_substation.yaml,export.yaml
