id,substation_id,name,longitude,latitude,string,order,distance,subassembly,upstream_cable
T63,OSS1,T63,-71.12875367,41.22673284,0,0,0,11MW_100pct_reduction.yaml,array.yaml
T69,OSS1,T69,-71.12929484,41.24340388,0,1,0,11MW_100pct_reduction.yaml,array.yaml
T70,OSS1,T70,-71.15138183,41.24299313,0,2,0,11MW_100pct_reduction.yaml,array.yaml
T71,OSS1,T71,-71.12983646,41.26007486,0,3,0,11MW_100pct_reduction.yaml,array.yaml
T64,OSS1,T64,-71.15083506,41.22632233,1,0,0,11MW_100pct_reduction.yaml,array.yaml
T65,OSS1,T65,-71.17291599,41.22590759,1,1,0,11MW_100pct_reduction.yaml,array.yaml
T62,OSS1,T62,-71.10667183,41.22713912,2,0,0,11MW_100pct_reduction.yaml,array.yaml
T61,OSS1,T61,-71.08458954,41.22754117,2,1,0,11MW_100pct_reduction.yaml,array.yaml
T60,OSS1,T60,-71.0625068,41.22793898,2,2,0,11MW_100pct_reduction.yaml,array.yaml
T66,OSS1,T66,-71.06303116,41.24461072,2,3,0,11MW_100pct_reduction.yaml,array.yaml
T67,OSS1,T67,-71.0851195,41.24421268,2,4,0,11MW_100pct_reduction.yaml,array.yaml
T68,OSS1,T68,-71.10720739,41.24381039,2,5,0,11MW_100pct_reduction.yaml,array.yaml
T58,OSS1,T58,-71.17236408,41.20923699,3,0,0,11MW_100pct_reduction.yaml,array.yaml
T59,OSS1,T59,-71.19443895,41.20881826,3,1,0,11MW_100pct_reduction.yaml,array.yaml
T50,OSS1,T50,-71.1497429,41.19298058,4,0,0,11MW_100pct_reduction.yaml,array.yaml
T51,OSS1,T51,-71.17181264,41.19256632,4,1,0,11MW_100pct_reduction.yaml,array.yaml
T52,OSS1,T52,-71.19388192,41.19214784,4,2,0,11MW_100pct_reduction.yaml,array.yaml
T53,OSS1,T53,-71.21595072,41.19172513,4,3,0,11MW_100pct_reduction.yaml,array.yaml
T56,OSS1,T56,-71.10613672,41.2104678,5,0,0,11MW_100pct_reduction.yaml,array.yaml
T55,OSS1,T55,-71.08406003,41.21086961,5,1,0,11MW_100pct_reduction.yaml,array.yaml
T54,OSS1,T54,-71.06198289,41.21126719,5,2,0,11MW_100pct_reduction.yaml,array.yaml
T44,OSS1,T44,-71.14919751,41.17630962,6,0,0,11MW_100pct_reduction.yaml,array.yaml
T45,OSS1,T45,-71.17126166,41.17589561,6,1,0,11MW_100pct_reduction.yaml,array.yaml
T46,OSS1,T46,-71.19332535,41.17547737,6,2,0,11MW_100pct_reduction.yaml,array.yaml
T47,OSS1,T47,-71.21538857,41.17505491,6,3,0,11MW_100pct_reduction.yaml,array.yaml
T49,OSS1,T49,-71.12767271,41.19339061,7,0,0,11MW_100pct_reduction.yaml,array.yaml
T43,OSS1,T43,-71.1271329,41.17671941,7,1,0,11MW_100pct_reduction.yaml,array.yaml
T36,OSS1,T36,-71.14865258,41.15963861,7,2,0,11MW_100pct_reduction.yaml,array.yaml
T37,OSS1,T37,-71.17071114,41.15922483,7,3,0,11MW_100pct_reduction.yaml,array.yaml
T38,OSS1,T38,-71.19276925,41.15880684,7,4,0,11MW_100pct_reduction.yaml,array.yaml
T39,OSS1,T39,-71.21482688,41.15838462,7,5,0,11MW_100pct_reduction.yaml,array.yaml
T40,OSS1,T40,-71.23688405,41.15795819,7,6,0,11MW_100pct_reduction.yaml,array.yaml
T41,OSS1,T41,-71.25894074,41.15752753,7,7,0,11MW_100pct_reduction.yaml,array.yaml
T48,OSS1,T48,-71.10560206,41.19379641,8,0,0,11MW_100pct_reduction.yaml,array.yaml
T42,OSS1,T42,-71.10506785,41.17712498,8,1,0,11MW_100pct_reduction.yaml,array.yaml
T34,OSS1,T34,-71.10453408,41.16045349,8,2,0,11MW_100pct_reduction.yaml,array.yaml
T33,OSS1,T33,-71.08247416,41.1608546,9,0,0,11MW_100pct_reduction.yaml,array.yaml
T32,OSS1,T32,-71.06041379,41.16125149,9,1,0,11MW_100pct_reduction.yaml,array.yaml
T31,OSS1,T31,-71.03835299,41.16164416,9,2,0,11MW_100pct_reduction.yaml,array.yaml
T30,OSS1,T30,-71.01629175,41.1620326,9,3,0,11MW_100pct_reduction.yaml,array.yaml
T29,OSS1,T29,-70.99423008,41.16241682,9,4,0,11MW_100pct_reduction.yaml,array.yaml
T28,OSS1,T28,-70.97216798,41.16279682,9,5,0,11MW_100pct_reduction.yaml,array.yaml
T35,OSS1,T35,-71.12659355,41.16004816,10,0,0,11MW_100pct_reduction.yaml,array.yaml
T26,OSS1,T26,-71.12605466,41.14337685,10,1,0,11MW_100pct_reduction.yaml,array.yaml
T25,OSS1,T25,-71.10400076,41.14378195,10,2,0,11MW_100pct_reduction.yaml,array.yaml
T13,OSS1,T13,-71.12551621,41.12670549,10,3,0,11MW_100pct_reduction.yaml,array.yaml
OSS1,OSS1,OSS1,-71.12821296,41.21006175,,,,offshore_substation.yaml,export.yaml
T10,OSS2,T10,-71.03732027,41.12829963,0,0,0,11MW_100pct_reduction.yaml,array.yaml
T22,OSS2,T22,-71.03783641,41.14497192,0,1,0,11MW_100pct_reduction.yaml,array.yaml
T20,OSS2,T20,-70.99372467,41.14574414,0,2,0,11MW_100pct_reduction.yaml,array.yaml
T11,OSS2,T11,-71.08141913,41.12751099,1,0,0,11MW_100pct_reduction.yaml,array.yaml
T24,OSS2,T24,-71.08194642,41.14418283,1,1,0,11MW_100pct_reduction.yaml,array.yaml
T7,OSS2,T7,-70.97116875,41.12945095,2,0,0,11MW_100pct_reduction.yaml,array.yaml
T6,OSS2,T6,-70.9491174,41.12982629,2,1,0,11MW_100pct_reduction.yaml,array.yaml
T5,OSS2,T5,-70.92706563,41.13019741,2,2,0,11MW_100pct_reduction.yaml,array.yaml
T4,OSS2,T4,-70.90501345,41.13056431,2,3,0,11MW_100pct_reduction.yaml,array.yaml
T3,OSS2,T3,-70.88296087,41.13092699,2,4,0,11MW_100pct_reduction.yaml,array.yaml
T2,OSS2,T2,-70.86090789,41.13128546,2,5,0,11MW_100pct_reduction.yaml,array.yaml
T1,OSS2,T1,-70.83885451,41.1316397,2,6,0,11MW_100pct_reduction.yaml,array.yaml
