Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
0,0,0,990,OSS1,990,turbine,39.27193746,-74.15836161,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,572599.6779,4347292.025,7762.961387,13934.85498,2.059995385603312,0
1,1,1,937,OSS2,937,turbine,39.22156945,-74.15539315,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,572907.8761,4341704.658,8071.159593,8347.48835,1.917546848979224,0
2,2,2,971,OSS1,971,turbine,39.25514818,-74.15737173,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,572702.4106,4345429.569,7865.694148,12072.39944,1.1576799218412912,0
3,3,3,936,OSS2,936,turbine,39.21992211,-74.16808963,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,571813.5578,4341511.7,6976.841278,8154.53052,1.1576768432205238,0
4,4,4,972,OSS1,972,turbine,39.25679426,-74.14466865,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,573796.7289,4345622.527,8960.012444,12265.35728,1.157674287310822,0
5,5,5,935,OSS2,935,turbine,39.21827338,-74.18078553,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,570719.2394,4341318.742,5882.52289,7961.57265,1.1576719551214467,0
6,6,6,973,OSS1,973,turbine,39.25843896,-74.13196501,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,574891.0474,4345815.485,10054.33088,12458.3152,1.1576696632059558,0
7,7,7,934,OSS2,934,turbine,39.21662326,-74.19348087,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,569624.9209,4341125.785,4788.204446,7768.61484,1.712180861229397,0
8,8,8,974,OSS1,974,turbine,39.26008226,-74.1192608,0.0,4.0,0.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,575985.3658,4346008.443,11148.64928,12651.27302,1.1576725833472734,0
9,9,9,975,OSS1,975,turbine,39.26172417,-74.10655602,0.0,5.0,0.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,577079.6841,4346201.401,12242.96761,12844.23088,1.1576701933919091,0
10,10,10,976,OSS1,976,turbine,39.26336469,-74.09385067,0.0,6.0,0.0,6.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,578174.0024,4346394.358,13337.28595,13037.18869,1.9175195244439216,0
11,11,11,1014,OSS1,1014,turbine,39.29201776,-74.13393311,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,574685.5819,4349540.396,9848.865396,16183.22626,1.1576664292436545,0
12,12,12,921,OSS2,921,turbine,39.20478001,-74.15440446,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,573010.6088,4339842.202,8173.892354,6485.0328,1.917515522057448,0
13,13,13,1015,OSS1,1015,turbine,39.2936612,-74.12122286,1.0,1.0,1.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,575779.9002,4349733.354,10943.18376,16376.18405,0.6032261447206523,0
14,14,14,920,OSS2,920,turbine,39.20313274,-74.16709793,1.0,1.0,1.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,571916.2905,4339649.245,7079.574012,6292.075,1.917537820678883,0
15,15,15,1016,OSS1,1016,turbine,39.29530325,-74.10851204,1.0,2.0,1.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,576874.2186,4349926.312,12037.50214,16569.14195,1.1576761274044798,0
16,16,16,919,OSS2,919,turbine,39.20148408,-74.17979083,1.0,2.0,1.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,570821.9721,4339456.287,5985.255647,6099.11709,1.1576735426003215,0
17,17,17,1037,OSS1,1037,turbine,39.3120927,-74.10949064,1.0,3.0,1.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,576771.4858,4351788.767,11934.76934,18431.59745,1.157671181532634,0
18,18,18,1038,OSS1,1038,turbine,39.31373342,-74.09677623,1.0,4.0,1.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,577865.8042,4351981.725,13029.08776,18624.55534,1.1576678289073266,0
