Unnamed: 0.1,Unnamed: 0,id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
0,0,1045,OSS3,1045,turbine,39.32517934,-74.00775949,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,585526.0328,4353332.43,6874.108494,9119.3198,2.018172318797006,0
1,1,1071,OSS3,1071,turbine,39.35549561,-74.03511768,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,583131.9306,4356671.425,4480.006241,12458.31511,4.15957283523122,0
2,2,1083,OSS3,1083,turbine,39.37065139,-74.0488056,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,581934.8795,4358340.923,3282.955142,14127.81283,2.104146925426368,0
3,3,1082,OSS3,1082,turbine,39.36901606,-74.06153137,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,580840.5611,4358147.965,2188.636753,13934.85498,1.1576529568586051,0
4,4,1081,OSS3,1081,turbine,39.36737934,-74.07425658,0.0,4.0,0.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,579746.2427,4357955.007,1094.318367,13741.89716,1.1576561071826277,0
5,5,1080,OSS3,1080,turbine,39.36574122,-74.08698122,0.0,5.0,0.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,578651.9243,4357762.049,0.0,13548.93925,1.1576586326180456,0
6,6,1024,OSS3,1024,turbine,39.30838936,-74.0068051,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,585628.7656,4351469.974,6976.841251,7256.86429,0.480359105850296,0
7,7,1025,OSS3,1025,turbine,39.31001884,-73.9940892,1.0,1.0,1.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,586723.084,4351662.932,8071.159631,7449.82208,1.1576451680088566,0
8,8,1026,OSS3,1026,turbine,39.31164693,-73.98137273,1.0,2.0,1.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,587817.4024,4351855.89,9165.478032,7642.78001,1.1576431831382783,0
9,9,1092,OSS3,1092,turbine,39.31327361,-73.96865571,1.0,3.0,1.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,588911.7207,4352048.848,10259.79636,7835.73778,1.1576391784399225,0
10,10,1093,OSS3,1093,turbine,39.3148989,-73.95593813,1.0,4.0,1.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,590006.0391,4352241.806,11354.11476,8028.69563,1.1576364261120309,0
11,11,1094,OSS3,1094,turbine,39.31652279,-73.94321999,1.0,5.0,1.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,591100.3575,4352434.764,12448.43313,8221.65359,1.1576335331717806,0
12,12,1003,OSS3,1003,turbine,39.29322876,-73.99313821,2.0,0.0,2.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,586825.8167,4349800.477,8173.892364,5587.36662,2.322102896815601,0
13,13,1004,OSS3,1004,turbine,39.29485678,-73.98042477,2.0,1.0,2.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,587920.1351,4349993.435,9268.210762,5780.32441,1.1576436086957125,0
14,14,1090,OSS3,1090,turbine,39.29648341,-73.96771078,2.0,2.0,2.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,589014.4535,4350186.392,10362.52913,5973.28228,1.1576399949551923,0
15,15,1091,OSS3,1091,turbine,39.29810864,-73.95499622,2.0,3.0,2.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,590108.7719,4350379.35,11456.84753,6166.24015,1.1576379384354178,0
16,16,1089,OSS3,1089,turbine,39.28131833,-73.95405467,2.0,4.0,2.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,590211.5046,4348516.895,11559.58028,4303.7846,1.917474843512977,0
17,17,1088,OSS3,1088,turbine,39.27969316,-73.9667662,2.0,5.0,2.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,589117.1862,4348323.937,10465.26184,4110.82673,1.1576383866825244,0
18,18,1001,OSS3,1001,turbine,39.28996852,-74.0185634,3.0,0.0,3.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,584637.18,4349414.561,5985.255626,5201.45094,2.109814631973673,0
19,19,982,OSS3,982,turbine,39.27317851,-74.01760673,3.0,1.0,3.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,584739.9127,4347552.106,6087.988366,3338.99535,1.917498812476225,0
20,20,965,OSS3,965,turbine,39.25638845,-74.01665044,3.0,2.0,3.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,584842.6454,4345689.65,6190.721086,1476.53987,1.9175037948962468,0
21,21,966,OSS3,966,turbine,39.25801914,-74.00394417,3.0,3.0,3.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,585936.9639,4345882.608,7285.039515,1669.49764,1.1576507460953855,0
22,22,1000,OSS3,1000,turbine,39.28833631,-74.03127515,4.0,0.0,4.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,583542.8616,4349221.603,4890.937232,5008.493,2.7831694691156224,0
23,23,981,OSS3,981,turbine,39.27154636,-74.03031546,4.0,1.0,4.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,583645.5943,4347359.148,4993.669989,3146.03752,1.9175037032276696,0
24,24,980,OSS3,980,turbine,39.26991282,-74.04302363,4.0,2.0,4.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,582551.276,4347166.19,3899.351605,2953.07968,1.1576557149233626,0
25,25,979,OSS3,979,turbine,39.26827788,-74.05573124,4.0,3.0,4.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,581456.9576,4346973.232,2805.033232,2760.12181,1.157658836024542,0
26,26,978,OSS3,978,turbine,39.26664154,-74.06843828,4.0,4.0,4.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,580362.6392,4346780.274,1710.714887,2567.16388,1.1576611486883246,0
27,27,977,OSS3,977,turbine,39.26500381,-74.08114476,4.0,5.0,4.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,579268.3208,4346587.316,616.396498,2374.2061,1.1576641686425715,0
28,28,983,OSS3,983,turbine,39.27480927,-74.00489744,5.0,0.0,5.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,585834.2311,4347745.063,7182.306722,3531.95321,3.757528564217711,0
29,29,967,OSS3,967,turbine,39.25964844,-73.99123733,5.0,1.0,5.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,587031.2822,4346075.566,8379.357865,1862.45558,2.104160456118392,0
30,30,950,OSS3,950,turbine,39.24285821,-73.99028745,5.0,2.0,5.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,587134.015,4344213.11,8482.090627,0.0,1.917499141271901,0
31,31,951,OSS3,951,turbine,39.24448605,-73.97758308,5.0,3.0,5.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,588228.3334,4344406.068,9576.409007,192.95786,1.1576458377490129,0
32,32,999,OSS3,999,turbine,39.2867027,-74.04398635,6.0,0.0,6.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,582448.5432,4349028.645,3796.618871,4815.53515,3.6771914722968537,0
33,33,998,OSS3,998,turbine,39.2850677,-74.05669697,6.0,1.0,6.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,581354.2248,4348835.688,2702.300473,4622.57736,1.1576568878416418,0
34,34,997,OSS3,997,turbine,39.2834313,-74.06940704,6.0,2.0,6.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,580259.9065,4348642.73,1607.982141,4429.61949,1.1576609270276756,0
35,35,996,OSS3,996,turbine,39.28179351,-74.08211654,6.0,3.0,6.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,579165.5881,4348449.772,513.66372,4236.66163,1.157663126304858,0
36,36,1002,OSS3,1002,turbine,39.29159934,-74.00585108,7.0,0.0,7.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,585731.4984,4349607.519,7079.574038,5394.40876,1.9137851953250435,0
37,37,984,OSS3,984,turbine,39.27643863,-73.99218759,7.0,1.0,7.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,586928.5495,4347938.021,8276.625124,3724.91112,2.104154733471725,0
38,38,985,OSS3,985,turbine,39.27806659,-73.97947718,7.0,2.0,7.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,588022.8678,4348130.979,9370.943473,3917.86887,1.1576440004519133,0
