Unnamed: 0,id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
0,990,OSS1,990,turbine,39.27193746,-74.15836161,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,572599.6779,4347292.025,7762.961387,13934.85498,2.059995385603312,0
1,937,OSS2,937,turbine,39.22156945,-74.15539315,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,572907.8761,4341704.658,8071.159593,8347.48835,2.060013506876633,0
2,1045,OSS3,1045,turbine,39.32517934,-74.00775949,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,585526.0328,4353332.43,20689.3163,19975.26,3.891677566671111,0
3,971,OSS1,971,turbine,39.25514818,-74.15737173,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,572702.4106,4345429.569,7865.694148,12072.39944,1.917546848979224,0
4,936,OSS2,936,turbine,39.21992211,-74.16808963,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,571813.5578,4341511.7,6976.841278,8154.53052,1.1576840808093385,0
5,1071,OSS3,1071,turbine,39.35549561,-74.03511768,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,583131.9306,4356671.425,18295.2141,23314.255,1.1576849453219662,0
6,972,OSS1,972,turbine,39.25679426,-74.14466865,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,573796.7289,4345622.527,8960.012444,12265.35728,1.157679921841291,0
7,935,OSS2,935,turbine,39.21827338,-74.18078553,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,570719.2394,4341318.742,5882.52289,7961.57265,1.157685666921572,0
8,1083,OSS3,1083,turbine,39.37065139,-74.0488056,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,581934.8795,4358340.923,17098.163,24983.753,1.1576873521656277,0
9,973,OSS1,973,turbine,39.25843896,-74.13196501,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,574891.0474,4345815.485,10054.33088,12458.3152,1.1576768432205238,0
10,934,OSS2,934,turbine,39.21662326,-74.19348087,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,569624.9209,4341125.785,4788.204446,7768.61484,1.157688992481114,0
11,1082,OSS3,1082,turbine,39.36901606,-74.06153137,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,580840.5611,4358147.965,16003.8446,24790.795,,0
12,974,OSS1,974,turbine,39.26008226,-74.1192608,0.0,4.0,0.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,575985.3658,4346008.443,11148.64928,12651.27302,1.157674287310822,0
13,1081,OSS3,1081,turbine,39.36737934,-74.07425658,0.0,4.0,0.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,579746.2427,4357955.007,14909.5262,24597.837,,0
14,975,OSS1,975,turbine,39.26172417,-74.10655602,0.0,5.0,0.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,577079.6841,4346201.401,12242.96761,12844.23088,1.1576719551214467,0
15,1080,OSS3,1080,turbine,39.36574122,-74.08698122,0.0,5.0,0.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,578651.9243,4357762.049,13815.2078,24404.879,,0
16,976,OSS1,976,turbine,39.26336469,-74.09385067,0.0,6.0,0.0,6.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,578174.0024,4346394.358,13337.28595,13037.18869,1.1576696632059558,0
17,1014,OSS1,1014,turbine,39.29201776,-74.13393311,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,574685.5819,4349540.396,9848.865396,16183.22626,1.7121808612293965,0
18,921,OSS2,921,turbine,39.20478001,-74.15440446,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,573010.6088,4339842.202,8173.892354,6485.0328,3.891677566671111,0
