Unnamed: 0,id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
0,G2H08,OSS-2,G2H08,turbine,36.90027124,-75.39798997,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,464542.143,4083883.17,7437.9983,8558.9986,2.3716967894717405,0
1,G1M12,OSS-1,G1M12,turbine,36.83876251,-75.3278896,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,470764.1415,4077036.172,13659.9968,1711.9999,1.440590130375086,0
2,G3J15,OSS-3,G3J15,turbine,36.88515794,-75.28712731,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,474414.1409,4082171.17,17309.9962,6846.9987,2.3716967894717405,0
3,G2H09,OSS-2,G2H09,turbine,36.90032233,-75.3824334,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,465928.1427,4083883.17,8823.998,8558.9985,1.78159353754631,0
4,G1N12,OSS-1,G1N12,turbine,36.82333486,-75.32591755,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,470934.1415,4075324.172,13829.9968,0.0002,1.4405938520125567,0
5,G3J16,OSS-3,G3J16,turbine,36.8851945,-75.27157363,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,475800.1406,4082171.17,18695.9959,6846.9987,1.78159353754631,0
6,G2J09,OSS-2,G2J09,turbine,36.88489582,-75.38044871,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,466098.1427,4082171.171,8993.998,6846.9989,1.7816810709937534,0
7,G1N11,OSS-1,G1N11,turbine,36.82329125,-75.34145862,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,469548.1418,4075324.172,12443.9971,0.0003,1.7815892913218656,0
8,G3J17,OSS-3,G3J17,turbine,36.88522903,-75.25601993,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,477186.1403,4082171.17,20081.9956,6846.9986,1.7816810709937534,0
9,G2K09,OSS-2,G2K09,turbine,36.86946919,-75.37847606,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,466267.1426,4080459.171,9162.9979,5134.9992,2.160319944012645,0
10,G1N10,OSS-1,G1N10,turbine,36.82324561,-75.35699965,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,468162.1421,4075324.172,11057.9974,0.0003,1.7816797312570762,0
11,G3J18,OSS-3,G3J18,turbine,36.88526152,-75.2404662,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,478572.14,4082171.17,21467.9953,6846.9986,2.160319944012645,0
12,G2K10,OSS-2,G2K10,turbine,36.86951769,-75.36292571,0.0,4.0,0.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,467653.1423,4080459.171,10548.9976,5134.9992,1.4405881409904815,0
13,G1N09,OSS-1,G1N09,turbine,36.82319793,-75.37254065,0.0,4.0,0.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,466776.1423,4075324.172,9671.9976,0.0003,1.440585783269884,0
14,G3J19,OSS-3,G3J19,turbine,36.88529198,-75.22491244,0.0,4.0,0.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,479958.1397,4082171.17,22853.995,6846.9986,1.4405881409904815,0
15,G2H07,OSS-2,G2H07,turbine,36.90021811,-75.4135465,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,463156.1433,4083883.17,6051.9986,8558.9986,1.7816774228158303,0
16,G1M11,OSS-1,G1M11,turbine,36.83871862,-75.34343379,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,469378.1418,4077036.172,12273.9971,1711.9999,1.4405849547702594,0
17,G3H14,OSS-3,G3H14,turbine,36.90054723,-75.30465001,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,472858.1413,4083883.17,15753.9966,8558.9984,1.7816774228158303,0
18,G2J07,OSS-2,G2J07,turbine,36.88479216,-75.41155555,1.0,1.0,1.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,463326.1432,4082171.171,6221.9985,6846.9989,1.7815781212319877,0
19,G1M10,OSS-1,G1M10,turbine,36.83867271,-75.35897794,1.0,1.0,1.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,467992.1421,4077036.172,10887.9974,1711.9999,1.4404419093980274,0
20,G3H13,OSS-3,G3H13,turbine,36.90050632,-75.32020676,1.0,1.0,1.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,471472.1415,4083883.17,14367.9968,8558.9984,1.7815781212319877,0
21,G2K07,OSS-2,G2K07,turbine,36.86936608,-75.40957666,1.0,2.0,1.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,463495.1432,4080459.171,6390.9985,5134.9993,1.4405808884773057,0
22,G1M09,OSS-1,G1M09,turbine,36.83862476,-75.37452205,1.0,2.0,1.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,466606.1424,4077036.172,9501.9977,1712.0,1.7815719013413498,0
23,G3H12,OSS-3,G3H12,turbine,36.90046338,-75.33576347,1.0,2.0,1.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,470086.1418,4083883.17,12981.9971,8558.9984,1.4405808884773057,0
24,G2K08,OSS-2,G2K08,turbine,36.86941865,-75.39402638,1.0,3.0,1.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,464881.1429,4080459.171,7776.9982,5134.9993,2.3701889986980347,0
25,G1N08,OSS-1,G1N08,turbine,36.82314823,-75.38808162,1.0,3.0,1.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,465390.1426,4075324.172,8285.9979,0.0004,1.4405819036454572,0
26,G3J13,OSS-3,G3J13,turbine,36.88507871,-75.31823457,1.0,3.0,1.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,471642.1415,4082171.171,14537.9968,6846.9988,2.3701889986980347,0
27,G1N07,OSS-1,G1N07,turbine,36.82309649,-75.40362254,1.0,4.0,1.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,464004.1429,4075324.172,6899.9982,0.0004,1.4405782554783604,0
28,G3J12,OSS-3,G3J12,turbine,36.88503604,-75.33378816,1.0,4.0,1.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,470256.1418,4082171.171,13151.9971,6846.9988,,0
29,G2H06,OSS-2,G2H06,turbine,36.90016295,-75.42910299,2.0,0.0,2.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,461770.1436,4083883.17,4665.9989,8558.9986,1.7798328550312734,0
30,G1M08,OSS-1,G1M08,turbine,36.83857477,-75.39006613,2.0,0.0,2.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,465220.1427,4077036.172,8115.998,1712.0,2.370970007698357,0
31,G3G14,OSS-3,G3G14,turbine,36.91597507,-75.30660866,2.0,0.0,2.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,472689.1413,4085595.17,15584.9966,10270.998,1.7798328550312734,0
32,G2J06,OSS-2,G2J06,turbine,36.88473727,-75.42710892,2.0,1.0,2.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,461940.1435,4082171.171,4835.9988,6846.999,1.440578816001255,0
33,G1N06,OSS-1,G1N06,turbine,36.82304272,-75.41916342,2.0,1.0,2.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,462618.1432,4075324.172,5513.9985,0.0004,1.4405765962224988,0
34,G3G13,OSS-3,G3G13,turbine,36.91593389,-75.32216853,2.0,1.0,2.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,471303.1416,4085595.17,14198.9969,10270.998,1.440578816001255,0
35,G2K06,OSS-2,G2K06,turbine,36.86931148,-75.42512689,2.0,2.0,2.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,462109.1435,4080459.171,5004.9988,5134.9993,2.371634873635004,0
36,G1N05,OSS-1,G1N05,turbine,36.82298693,-75.43470426,2.0,2.0,2.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,461232.1435,4075324.172,4127.9988,0.0005,1.440579222467612,0
37,G3G12,OSS-3,G3G12,turbine,36.91589068,-75.33772838,2.0,2.0,2.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,469917.1419,4085595.17,12812.9972,10270.9981,2.371634873635004,0
38,G2K05,OSS-2,G2K05,turbine,36.86925484,-75.44067709,2.0,3.0,2.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,460723.1438,4080459.171,3618.9991,5134.9994,2.1199286682074363,0
39,G1N04,OSS-1,G1N04,turbine,36.8229291,-75.45024506,2.0,3.0,2.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,459846.1438,4075324.172,2741.9991,0.0005,5.228504530573203,0
40,G3G11,OSS-3,G3G11,turbine,36.91584542,-75.35328819,2.0,3.0,2.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,468531.1422,4085595.17,11426.9975,10270.9981,2.1199286682074363,0
41,G2K04,OSS-2,G2K04,turbine,36.86919617,-75.45622724,2.0,4.0,2.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,459337.1441,4080459.171,2232.9994,5134.9994,1.440031373093946,0
42,G1N03,OSS-1,G1N03,turbine,36.82286923,-75.46578581,2.0,4.0,2.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,458460.1441,4075324.172,1355.9994,0.0005,1.7806531999024235,0
43,G3F12,OSS-3,G3F12,turbine,36.93130885,-75.33970529,2.0,4.0,2.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,469747.142,4087306.169,12642.9973,11981.9977,1.440031373093946,0
44,G2H05,OSS-2,G2H05,turbine,36.90010575,-75.44465943,3.0,0.0,3.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,460384.1439,4083883.17,3279.9992,8558.9987,1.4407304839097852,0
45,G1M07,OSS-1,G1M07,turbine,36.83852276,-75.40561017,3.0,0.0,3.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,463834.143,4077036.172,6729.9983,1712.0,1.7806776463987228,0
46,G3G17,OSS-3,G3G17,turbine,36.91608637,-75.25992885,3.0,0.0,3.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,476847.1404,4085595.17,19742.9957,10270.9979,1.4407304839097852,0
47,G2J05,OSS-2,G2J05,turbine,36.88468035,-75.44266223,3.0,1.0,3.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,460554.1438,4082171.171,3449.9991,6846.999,1.781664683028889,0
48,G1M06,OSS-1,G1M06,turbine,36.83846871,-75.42115417,3.0,1.0,3.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,462448.1433,4077036.172,5343.9986,1712.0001,1.4405847325194412,0
49,G3F17,OSS-3,G3F17,turbine,36.93150591,-75.26189011,3.0,1.0,3.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,476677.1405,4087306.169,19572.9958,11981.9975,1.781664683028889,0
50,G2J04,OSS-2,G2J04,turbine,36.8846214,-75.45821551,3.0,2.0,3.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,459168.1441,4082171.171,2063.9994,6846.999,1.780678969574962,0
51,G1M05,OSS-1,G1M05,turbine,36.83841263,-75.43669813,3.0,2.0,3.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,461062.1436,4077036.172,3957.9989,1712.0001,1.7815745731399222,0
52,G3D17,OSS-3,G3D17,turbine,36.9623628,-75.26580388,3.0,2.0,3.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,476338.1407,4090730.169,19233.996,15405.9968,1.780678969574962,0
53,G2J03,OSS-2,G2J03,turbine,36.88456041,-75.47376873,3.0,3.0,3.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,457782.1444,4082171.171,677.9997,6846.9991,1.7816695265343188,0
54,G1M04,OSS-1,G1M04,turbine,36.83835452,-75.45224204,3.0,3.0,3.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,459676.1439,4077036.172,2571.9992,1712.0001,4.207348823173567,0
55,G3C17,OSS-3,G3C17,turbine,36.97779114,-75.26775636,3.0,3.0,3.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,476169.1407,4092442.168,19064.996,17117.9965,1.7816695265343188,0
56,G2K03,OSS-2,G2K03,turbine,36.86913546,-75.47177735,3.0,4.0,3.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,457951.1443,4080459.171,846.9996,5134.9994,1.440590993813425,0
57,G1M03,OSS-1,G1M03,turbine,36.83829438,-75.46778591,3.0,4.0,3.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,458290.1442,4077036.172,1185.9995,1712.0002,1.7815788172304785,0
58,G3B17,OSS-3,G3B17,turbine,36.99321037,-75.26972085,3.0,4.0,3.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,475999.1408,4094153.168,18894.9961,18828.9961,1.440590993813425,0
59,G2G06,OSS-2,G2G06,turbine,36.91558859,-75.43108666,4.0,0.0,4.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,461601.1437,4085595.17,4496.999,10270.9983,2.3717312192347992,0
60,G1L13,OSS-1,G1L13,turbine,36.85423224,-75.31430391,4.0,0.0,4.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,471981.1413,4078748.171,14876.9966,3423.9995,1.7817117134933838,0
61,G3H16,OSS-3,G3H16,turbine,36.90062293,-75.27353643,4.0,0.0,4.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,475630.1407,4083883.17,18525.996,8558.9983,2.3717312192347992,0
62,G2G05,OSS-2,G2G05,turbine,36.9155311,-75.44664624,4.0,1.0,4.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,460215.144,4085595.17,3110.9993,10270.9983,1.440599625657991,0
