id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
579,OSS 1,579,turbine,40.31601164,-73.46219013,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,630662.4628,4463967.035,8545.167882,5369.67803,3.0577086362081225,0
577,OSS 1,577,turbine,40.32227515,-73.47641603,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,629441.7231,4464641.403,7324.428239,6044.04594,1.46253412697444,0
575,OSS 1,575,turbine,40.32853694,-73.49064461,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,628220.9834,4465315.77,6103.68854,6718.41303,1.462538358558679,0
573,OSS 1,573,turbine,40.33479702,-73.50487585,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,627000.2437,4465990.137,4882.948775,7392.78001,1.462541690871324,0
571,OSS 1,571,turbine,40.34105534,-73.51910965,0.0,4.0,0.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,625779.514,4466664.499,3662.219139,8067.14195,1.4625349167185158,0
569,OSS 1,569,turbine,40.34731199,-73.53334623,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,624558.7743,4467338.866,2441.47941,8741.50897,7.406024583260997,0
567,OSS 1,567,turbine,40.35356693,-73.54758547,1.0,1.0,1.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,623338.0346,4468013.233,1220.739703,9415.87593,1.4625526798490835,0
565,OSS 1,565,turbine,40.35982017,-73.56182738,1.0,2.0,1.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,622117.2949,4468687.601,0.0,10090.24395,1.4625573537230798,0
564,OSS 1,564,turbine,40.37384701,-73.56152916,1.0,3.0,1.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,622117.2951,4470245.034,0.000197,11647.677,1.6297180663908573,0
590,OSS 1,590,turbine,40.31219906,-73.41917896,2.0,0.0,2.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,634324.6821,4463608.194,12207.38716,5010.837,4.003082517877411,0
624,OSS 1,624,turbine,40.28416362,-73.33367313,2.0,1.0,2.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,641649.1204,4460629.394,19531.82551,2032.03693,7.962992021077723,0
619,OSS 1,619,turbine,40.27566398,-73.34823988,2.0,2.0,2.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,640428.3805,4459662.715,18311.08564,1065.35794,1.6254978987907085,0
731,OSS 1,731,turbine,40.26606984,-73.34847887,2.0,3.0,2.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,640427.91,4458597.357,18310.61509,0.0,1.1368123638929035,0
574,OSS 1,574,turbine,40.35998665,-73.48994332,3.0,0.0,3.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,628220.9837,4468807.804,6103.688796,10210.44703,4.294141409745936,0
