id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
A05,FD OSS,A05,turbine,38.38737642,-74.86018857,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,512210.2218,4248805.911,0.0,9360.1524,1.4719417268979884,0
A04,FD OSS,A04,turbine,38.40424537,-74.85750051,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,512442.0878,4250678.043,231.866,11232.2848,1.940393148721084,0
A03,FD OSS,A03,turbine,38.42111421,-74.8548112,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,512673.9537,4252550.175,463.7319,13104.4171,1.940387734421875,0
A02,FD OSS,A02,turbine,38.43798294,-74.85212062,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,512905.8196,4254422.308,695.5978,14976.5494,1.940382528961756,0
A01,FD OSS,A01,turbine,38.45485155,-74.84942878,0.0,4.0,0.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,513137.6856,4256294.44,927.4638,16848.6818,1.940376104974136,0
B04,FD OSS,B04,turbine,38.40422593,-74.84118313,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,513866.8158,4250678.213,1656.594,11232.4545,1.94039208074164,0
B03,FD OSS,B03,turbine,38.42109439,-74.83848816,1.0,1.0,1.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,514098.8444,4252550.345,1888.6226,13104.5869,1.940407006080164,0
B02,FD OSS,B02,turbine,38.43796273,-74.83579565,1.0,2.0,1.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,514330.5476,4254422.477,2120.3258,14976.7192,1.940360357360359,0
B01,FD OSS,B01,turbine,38.45483096,-74.8331,1.0,3.0,1.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,514562.4136,4256294.61,2352.1918,16848.8516,1.940375362901676,0
C01,FD OSS,C01,turbine,38.45480809,-74.81677125,1.0,4.0,1.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,515987.1416,4256294.78,3776.9198,16849.0214,1.471934520027136,0
