id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
E-01,OSS_KHN,E-01,turbine,36.46630059,-75.32462903,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,470915.2628,4035718.175,481,22279,1.45910789,0
F-01,OSS_KHN,F-01,turbine,36.44793449,-75.32992016,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,470434.2359,4033682.551,0,20244,2.166184654,0
G-02,OSS_KHN,G-02,turbine,36.42278563,-75.32216848,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,471119.5917,4030890.61,685,17452,2.950985416,0
G-03,OSS_KHN,G-03,turbine,36.41600171,-75.30913039,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,472285.9744,4030134.294,1852,16695,1.459113519,0
G-04,OSS_KHN,G-04,turbine,36.40921634,-75.29609456,0.0,4.0,0.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,473452.357,4029377.978,3018,15939,1.459116831,0
G-05,OSS_KHN,G-05,turbine,36.40242953,-75.28306099,0.0,5.0,0.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,474618.7397,4028621.662,4185,15183,1.45911954,0
G-06,OSS_KHN,G-06,turbine,36.39564128,-75.27002968,0.0,6.0,0.0,6.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,475785.1224,4027865.347,5351,14426,1.459122249,0
H-07,OSS_KHN,H-07,turbine,36.3704882,-75.26230257,0.0,7.0,0.0,7.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,476470.4782,4025073.406,6036,11634,2.951024416,0
H-08,OSS_KHN,H-08,turbine,36.36369762,-75.2492784,0.0,8.0,0.0,8.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,477636.8609,4024317.09,7203,10878,1.459128631,0
F-02,OSS_KHN,F-02,turbine,36.44115147,-75.31687718,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,471600.6186,4032926.235,1166,19487,2.166187536,0
F-03,OSS_KHN,F-03,turbine,36.43436699,-75.30383646,1.0,1.0,1.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,472767.0013,4032169.919,2333,18731,1.459113169,0
F-04,OSS_KHN,F-04,turbine,36.42758108,-75.29079801,1.0,2.0,1.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,473933.384,4031413.603,3499,17975,1.459114633,0
F-05,OSS_KHN,F-05,turbine,36.42079372,-75.27776181,1.0,3.0,1.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,475099.7666,4030657.287,4666,17218,1.459118809,0
F-06,OSS_KHN,F-06,turbine,36.41400493,-75.26472789,1.0,4.0,1.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,476266.1493,4029900.971,5832,16462,1.459119523,0
F-07,OSS_KHN,F-07,turbine,36.40721469,-75.25169622,1.0,5.0,1.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,477432.532,4029144.656,6998,15706,1.4591237,0
G-07,OSS_KHN,G-07,turbine,36.38885159,-75.25700063,1.0,6.0,1.0,6.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,476951.5051,4027109.031,6517,13670,2.166209906,0
G-08,OSS_KHN,G-08,turbine,36.38206046,-75.24397385,1.0,7.0,1.0,7.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,478117.8878,4026352.715,7684,12914,1.459126917,0
G-09,OSS_KHN,G-09,turbine,36.3752679,-75.23094932,1.0,8.0,1.0,8.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,479284.2705,4025596.399,8850,12157,1.459129775,0
E-03,OSS_KHN,E-03,turbine,36.452732,-75.29854007,2.0,0.0,2.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,473248.0282,4034205.544,2814,20767,1.459111424,0
E-04,OSS_KHN,E-04,turbine,36.44594554,-75.28549899,2.0,1.0,2.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,474414.4109,4033449.228,3980,20010,1.459113605,0
F-08,OSS_KHN,F-08,turbine,36.40042302,-75.23866682,2.0,2.0,2.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,478598.9147,4028388.34,8165,14949,6.641055819,0
F-09,OSS_KHN,F-09,turbine,36.3936299,-75.22563968,2.0,3.0,2.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,479765.2974,4027632.024,9331,14193,1.459128592,0
F-10,OSS_KHN,F-10,turbine,36.38683536,-75.2126148,2.0,4.0,2.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,480931.6801,4026875.708,10497,13437,1.459130205,0
F-11,OSS_KHN,F-11,turbine,36.38003937,-75.19959219,2.0,5.0,2.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,482098.0628,4026119.392,11664,12680,1.459132881,0
F-12,OSS_KHN,F-12,turbine,36.37324196,-75.18657184,2.0,6.0,2.0,6.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,483264.4455,4025363.076,12830,11924,1.459134494,0
F-13,OSS_KHN,F-13,turbine,36.36644311,-75.17355375,2.0,7.0,2.0,7.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,484430.8282,4024606.761,13997,11168,1.459137317,0
F-14,OSS_KHN,F-14,turbine,36.35964282,-75.16053792,2.0,8.0,2.0,8.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,485597.2109,4023850.445,15163,10411,1.45914014,0
E-09,OSS_KHN,E-09,turbine,36.41199163,-75.22032756,3.0,0.0,3.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,480246.3243,4029667.649,9812,16229,9.794672384,0
E-10,OSS_KHN,E-10,turbine,36.40519653,-75.20730008,3.0,1.0,3.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,481412.707,4028911.333,10978,15472,1.459128197,0
E-11,OSS_KHN,E-11,turbine,36.3984,-75.19427485,3.0,2.0,3.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,482579.0897,4028155.017,12145,14716,1.459131277,0
E-12,OSS_KHN,E-12,turbine,36.39160203,-75.18125189,3.0,3.0,3.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,483745.4724,4027398.701,13311,13960,1.45913346,0
E-13,OSS_KHN,E-13,turbine,36.38480263,-75.1682312,3.0,4.0,3.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,484911.8551,4026642.385,14478,13203,1.459135038,0
E-14,OSS_KHN,E-14,turbine,36.37800179,-75.15521276,3.0,7.0,3.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,486078.2378,4025886.069,15644,12447,1.459138724,0
E-15,OSS_KHN,E-15,turbine,36.37119952,-75.1421966,3.0,8.0,3.0,6.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,487244.6205,4025129.754,16810,11691,1.459139551,0
F-15,OSS_KHN,F-15,turbine,36.35284111,-75.14752436,2.0,9.0,3.0,7.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,486763.5936,4023094.129,16329,9655,2.1662266,0
