id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
M10,MarW OSS,M10,turbine,38.3026747,-74.67807498,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,528147.6281,4239447.286,2120.3258,5616.5668,1.9404079696846808,0
M09,MarW OSS,M09,turbine,38.31953956,-74.67534795,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,528379.494,4241319.419,2352.1917,7488.6992,1.9404008351855584,0
N09,MarW OSS,N09,turbine,38.31949485,-74.65904979,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,529804.222,4241319.589,3776.9197,7488.869,1.4719347943025187,0
N10,MarW OSS,N10,turbine,38.30263038,-74.66178059,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,529572.3561,4239447.456,3545.0538,5616.7366,1.9403992639128864,0
O10,MarW OSS,O10,turbine,38.3025838,-74.64548623,0.0,4.0,0.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,530997.0841,4239447.626,4969.7818,5616.9064,1.4719355301599333,0
N11,MarW OSS,N11,turbine,38.28576579,-74.66451009,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,529340.4901,4237575.324,3313.1878,3744.6043,1.471938530102814,0
O11,MarW OSS,O11,turbine,38.28571961,-74.6482195,1.0,1.0,1.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,530765.2181,4237575.494,4737.9158,3744.7741,1.4719368067225047,0
P11,MarW OSS,P11,turbine,38.28567116,-74.63192895,1.0,2.0,1.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,532189.9461,4237575.663,6162.6438,3744.9439,1.4719351763326505,0
P12,MarW OSS,P12,turbine,38.26880725,-74.63466469,1.0,3.0,1.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,531958.0802,4235703.531,5930.7779,1872.8115,1.940405923247112,0
Q12,MarW OSS,Q12,turbine,38.26875694,-74.61837794,1.0,4.0,1.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,533382.8082,4235703.701,7355.5059,1872.9813,1.471935473742986,0
N12,MarW OSS,N12,turbine,38.26890108,-74.66723831,2.0,0.0,2.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,529108.6242,4235703.191,3081.3219,1872.4719,2.271908494016836,0
O12,MarW OSS,O12,turbine,38.2688553,-74.65095148,2.0,1.0,2.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,530533.3522,4235703.361,4506.0499,1872.6417,1.4719386839459316,0
O13,MarW OSS,O13,turbine,38.25199087,-74.65368216,2.0,2.0,2.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,530301.4863,4233831.229,4274.184,0.509400001,1.9404144959140284,0
P13,MarW OSS,P13,turbine,38.25194322,-74.63739913,2.0,3.0,2.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,531726.2142,4233831.399,5698.9119,0.6792,1.471938624714246,0
Q13,MarW OSS,Q13,turbine,38.25189331,-74.62111614,2.0,4.0,2.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,533150.9422,4233831.569,7123.6399,0.849,1.4719370449180913,0
R13,MarW OSS,R13,turbine,38.25184114,-74.60483319,2.0,5.0,2.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,534575.6702,4233831.738,8548.3679,1.018800001,1.4719355537507968,0
M12,MarW OSS,M12,turbine,38.26894461,-74.68352517,3.0,0.0,3.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,527683.8962,4235703.022,1656.5939,1872.3022,1.940412890648692,0
L12,MarW OSS,L12,turbine,38.26898588,-74.69981207,3.0,1.0,3.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,526259.1682,4235702.852,231.8659,1872.1324,1.4719413837320028,0
L13,MarW OSS,L13,turbine,38.25212026,-74.70253147,3.0,2.0,3.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,526027.3023,4233830.72,0.0,0.0,1.9404217533188093,0
M13,MarW OSS,M13,turbine,38.25207939,-74.68624833,3.0,3.0,3.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,527452.0303,4233830.889,1424.728,0.1698,1.4719430226686017,0
N13,MarW OSS,N13,turbine,38.25203626,-74.66996523,3.0,4.0,3.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,528876.7583,4233831.059,2849.456,0.339600001,1.471941176986796,0
MarW OSS,MarW OSS,MarW OSS,substation,38.28580971,-74.68080072,,,,,,offshore_substation_core_wind.yaml,export_core_wind.yaml,527915.7621,4237575.154,1888.4598,3744.4345,0.0,0
