Unnamed: 0,id,substation_id,name,type,longitude,latitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
0,BC46,OSS1,BC46,turbine,-70.28222109,40.87225946,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,391954.0056,4525368.009,11112.00279,22224.00467,2.7194747754336217,0
1,BB46,OSS1,BB46,turbine,-70.28254306,40.88893888,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,391954.0056,4527220.009,11112.00284,24076.0047,1.956044403617607,0
2,BA46,OSS1,BA46,turbine,-70.28286533,40.9056182,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,391954.0028,4529072.004,11112.00003,25927.99994,1.956033553815275,0
3,AZ46,OSS1,AZ46,turbine,-70.28318784,40.92229752,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,391954.0028,4530924.004,11112.00002,27779.99997,1.9560337486136845,0
4,BD47,OSS1,BD47,turbine,-70.25993166,40.85582206,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,393806.0056,4523516.009,12964.0028,20372.00469,3.7966817715588337,0
5,BC47,OSS1,BC47,turbine,-70.26024784,40.87250167,1.0,1.0,1.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,393806.0056,4525368.009,12964.00283,22224.00461,1.9560585832891595,0
6,BB47,OSS1,BB47,turbine,-70.2605643,40.88918123,1.0,2.0,1.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,393806.0056,4527220.009,12964.0028,24076.00469,1.956053265617259,0
7,BA47,OSS1,BA47,turbine,-70.26088102,40.90586073,1.0,3.0,1.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,393806.0056,4529072.009,12964.0028,25928.0047,1.956046811936598,0
8,AZ47,OSS1,AZ47,turbine,-70.26119804,40.92254015,1.0,4.0,1.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,393806.0028,4530924.004,12964.00001,27779.99992,1.956038182791044,0
9,BD46,OSS1,BD46,turbine,-70.28189942,40.85557995,2.0,0.0,2.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,391954.0028,4523516.004,11112.00005,20371.99996,1.9489237637736263,0
10,BE47,OSS1,BE47,turbine,-70.25961573,40.8391424,2.0,1.0,2.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,393806.0056,4521664.009,12964.00285,18520.00471,2.719196138872984,0
11,BF47,OSS1,BF47,turbine,-70.25930007,40.82246269,2.0,2.0,2.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,393806.0056,4519812.009,12964.00278,16668.00465,1.9560692666730253,0
12,BF48,OSS1,BF48,turbine,-70.23734311,40.82270025,2.0,3.0,2.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,395658.0028,4519812.004,14816.00003,16667.99995,1.948945289076292,0
13,BF49,OSS1,BF49,turbine,-70.21538583,40.82293372,2.0,4.0,2.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,397510.0056,4519812.009,16668.00283,16668.00467,1.9489592072268749,0
14,BE46,OSS1,BE46,turbine,-70.28157799,40.83890043,3.0,0.0,3.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,391954.0028,4521664.004,11112.00004,18519.99992,2.719183352040416,0
15,BF46,OSS1,BF46,turbine,-70.2812568,40.8222209,3.0,1.0,3.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,391954.0056,4519812.009,11112.00282,16668.00467,1.9560559751005349,0
16,BG46,OSS1,BG46,turbine,-70.28093594,40.80554124,3.0,2.0,3.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,391954.0028,4517960.005,11111.99997,14816.0,1.956070123447556,0
17,BG47,OSS1,BG47,turbine,-70.25898471,40.80578288,3.0,3.0,3.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,393806.0028,4517960.004,12963.99998,14815.99991,1.948940789643959,0
18,BH47,OSS1,BH47,turbine,-70.25866954,40.78910311,3.0,4.0,3.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,393806.0056,4516108.009,12964.00282,12964.00468,1.9560755385780408,0
19,BH46,OSS1,BH46,turbine,-70.28061532,40.78886157,3.0,5.0,3.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,391954.0028,4516108.004,11112.00005,12963.9999,1.9489460821607945,0
20,BE45,OSS1,BE45,turbine,-70.30353992,40.83865437,4.0,0.0,4.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,390102.0056,4521664.009,9260.002822,18520.00468,1.9560451834484045,0
21,BF45,OSS1,BF45,turbine,-70.30321326,40.82197494,4.0,1.0,4.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,390102.0056,4519812.009,9260.002844,16668.0046,1.9560516202907936,0
22,BG45,OSS1,BG45,turbine,-70.30288687,40.80529547,4.0,2.0,4.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,390102.0056,4517960.009,9260.002838,14816.0047,1.9560558334096247,0
23,BH45,OSS1,BH45,turbine,-70.30256076,40.78861594,4.0,3.0,4.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,390102.0056,4516108.009,9260.002776,12964.00463,1.9560622576595903,0
24,BJ45,OSS1,BJ45,turbine,-70.30223492,40.77193636,4.0,4.0,4.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,390102.0056,4514256.009,9260.002809,11112.00462,1.956067582476927,0
25,BK45,OSS1,BK45,turbine,-70.30190939,40.75525669,4.0,5.0,4.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,390102.0028,4512404.004,9259.999973,9259.99993,1.9560773047428108,0
26,BJ46,OSS1,BJ46,turbine,-70.28029497,40.77218185,4.0,6.0,4.0,6.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,391954.0028,4514256.004,11112.0,11111.99996,2.71950533809651,0
27,BH44,OSS1,BH44,turbine,-70.32450596,40.7883661,5.0,0.0,5.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,388250.0056,4516108.009,7408.002809,12964.00465,7.747482081023548,0
28,BJ44,OSS1,BJ44,turbine,-70.32417464,40.77168667,5.0,1.0,5.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,388250.0056,4514256.009,7408.002775,11112.00464,1.95605778874356,0
29,BK44,OSS1,BK44,turbine,-70.32384359,40.75500719,5.0,2.0,5.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,388250.0056,4512404.009,7408.00278,9260.00469,1.9560631112680016,0
30,BL44,OSS1,BL44,turbine,-70.32351285,40.73832761,5.0,3.0,5.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,388250.0028,4510552.004,7408.000025,7407.99996,1.9560739422207107,0
31,BL43,OSS1,BL43,turbine,-70.34544133,40.73807404,5.0,4.0,5.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,386398.0028,4510552.004,5556.000015,7407.99997,1.9489206359218167,0
32,BM43,OSS1,BM43,turbine,-70.34510533,40.72139465,5.0,5.0,5.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,386398.0056,4508700.009,5556.002821,5556.00462,1.956059636431308,0
33,BG44,OSS1,BG44,turbine,-70.3248376,40.80504544,6.0,0.0,6.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,388250.0028,4517960.005,7408.000047,14816.0,5.964740187089863,0
34,BK43,OSS1,BK43,turbine,-70.34577758,40.75475342,6.0,1.0,6.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,386398.0028,4512404.005,5556.000026,9260.0,5.964757679443536,0
35,BM42,OSS1,BM42,turbine,-70.36702806,40.72113706,6.0,2.0,6.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,384546.0056,4508700.009,3704.002813,5556.00462,4.245812075203515,0
36,BN42,OSS1,BN42,turbine,-70.36668694,40.70445769,6.0,3.0,6.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,384546.0028,4506848.004,3704.00001,3703.99993,1.956064161511054,0
37,BP41,OSS1,BP41,turbine,-70.38825755,40.6875169,6.0,4.0,6.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,382694.0056,4504996.009,1852.002839,1852.00467,2.7194768270219023,0
38,BQ40,OSS1,BQ40,turbine,-70.40981731,40.67057213,6.0,5.0,6.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,380842.0028,4503144.005,0.0,0.0,2.719480978978748,0
39,BF44,OSS1,BF44,turbine,-70.32516944,40.82172481,7.0,0.0,7.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,388250.0056,4519812.009,7408.002823,16668.00466,4.245790468689724,0
40,BG43,OSS1,BG43,turbine,-70.34678798,40.80479131,7.0,1.0,7.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,386398.0056,4517960.009,5556.002799,14816.00461,2.719469529176835,0
41,BH43,OSS1,BH43,turbine,-70.34645088,40.78811208,7.0,2.0,7.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,386398.0056,4516108.009,5556.002782,12964.00469,1.956042828221336,0
42,BJ43,OSS1,BJ43,turbine,-70.3461141,40.77143276,7.0,3.0,7.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,386398.0028,4514256.005,5556.000016,11112.0,1.95605253155184,0
43,BK42,OSS1,BK42,turbine,-70.36771125,40.75449554,7.0,4.0,7.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,384546.0028,4512404.004,3703.999979,9259.99994,2.7194731157106866,0
44,BL42,OSS1,BL42,turbine,-70.36736953,40.7378163,7.0,5.0,7.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,384546.0028,4510552.004,3704.000046,7407.99993,1.956050268377733,0
45,BH42,OSS1,BH42,turbine,-70.36839556,40.78785385,8.0,0.0,8.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,384546.0028,4516108.004,3704.00004,12963.99998,9.36319058221155,0
46,BJ42,OSS1,BJ42,turbine,-70.36805326,40.77117472,8.0,1.0,8.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,384546.0028,4514256.004,3704.000025,11111.99992,1.9560385724799063,0
47,BJ41,OSS1,BJ41,turbine,-70.3899921,40.77091255,8.0,2.0,8.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,382694.0056,4514256.009,1852.002842,11112.00462,1.9488954618290173,0
48,BK41,OSS1,BK41,turbine,-70.38964461,40.75423353,8.0,3.0,8.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,382694.0056,4512404.009,1852.002848,9260.0046,1.9560333020044096,0
49,BL41,OSS1,BL41,turbine,-70.38929744,40.7375544,8.0,4.0,8.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,382694.0028,4510552.004,1851.999988,7407.99995,1.956045222546302,0
50,BM41,OSS1,BM41,turbine,-70.3889505,40.72087532,8.0,5.0,8.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,382694.0056,4508700.009,1852.002821,5556.00463,1.956039473578816,0
51,BE44,OSS1,BE44,turbine,-70.3255016,40.83840409,9.0,0.0,9.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,388250.0056,4521664.009,7408.002848,18520.00466,2.7194685259273257,0
52,BF43,OSS1,BF43,turbine,-70.34712535,40.82147049,9.0,1.0,9.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,386398.0056,4519812.009,5556.00278,16668.00461,2.719464250406097,0
53,BG42,OSS1,BG42,turbine,-70.36873811,40.80453297,9.0,2.0,9.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,384546.0056,4517960.009,3704.002818,14816.00464,2.719457950920939,0
54,BH41,OSS1,BH41,turbine,-70.39033991,40.78759149,9.0,3.0,9.0,3.0,,15MW_core_wind.yaml,array_core_wind.yaml,382694.0028,4516108.005,1851.999995,12963.99999,2.71945639557397,0
55,BC45,OSS1,BC45,turbine,-70.30419406,40.87201307,10.0,0.0,10.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,390102.0056,4525368.009,9260.002854,22224.00468,1.9560409826685443,0
56,BB45,OSS1,BB45,turbine,-70.30452154,40.88869234,10.0,1.0,10.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,390102.0056,4527220.009,9260.002783,24076.00461,1.956034545693444,0
57,BA45,OSS1,BA45,turbine,-70.30484933,40.90537152,10.0,2.0,10.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,390102.0028,4529072.004,9260.000006,25927.99997,1.9560248231076425,0
58,BB44,OSS1,BB44,turbine,-70.32649979,40.88844158,10.0,3.0,10.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,388250.0028,4527220.005,7407.999994,24075.99999,2.7194539415376444,0
59,BC43,OSS1,BC43,turbine,-70.34813918,40.87150773,10.0,4.0,10.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,386398.0056,4525368.009,5556.002818,22224.00461,2.719443444804143,0
60,BL40,OSS1,BL40,turbine,-70.41122506,40.73728834,11.0,0.0,11.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,380842.0028,4510552.005,4.3e-05,7408.00001,16.037471330067376,0
61,BM40,OSS1,BM40,turbine,-70.41087265,40.72060941,11.0,1.0,11.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,380842.0056,4508700.009,0.002796,5556.00462,1.9560301202330923,0
62,BN40,OSS1,BN40,turbine,-70.41052056,40.70393038,11.0,2.0,11.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,380842.0056,4506848.009,0.002855,3704.00471,1.9560409257453213,0
63,BP40,OSS1,BP40,turbine,-70.41016878,40.6872513,11.0,3.0,11.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,380842.0056,4504996.009,0.002801,1852.00467,1.956046185654336,0
64,BN41,OSS1,BN41,turbine,-70.38860391,40.70419609,11.0,4.0,11.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,382694.0028,4506848.004,1852.000047,3703.99993,2.7194657992338267,0
65,BD44,OSS1,BD44,turbine,-70.32583404,40.85508331,12.0,0.0,12.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,388250.0056,4523516.009,7408.002831,20372.00461,1.9489175176718665,0
66,BC44,OSS1,BC44,turbine,-70.32616676,40.87176249,12.0,1.0,12.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,388250.0056,4525368.009,7408.002795,22224.00463,1.9560312384544856,0
