Unnamed: 0.1,Unnamed: 0,id,substation_id,name,type,longitude,latitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
0,0,BR34,OSS2,BR34,turbine,-70.54086166,40.65221405,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,369730.0028,4501292.005,7408.0,5556.00007,2.71940726440272,0
1,1,BR33,OSS2,BR33,turbine,-70.56275982,40.6519197,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,367878.0028,4501292.005,5556.000001,5556.00006,1.948827680935804,0
2,2,BR32,OSS2,BR32,turbine,-70.58465765,40.6516212,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,366026.0029,4501292.004,3704.000024,5556.00002,1.9488162836833205,0
3,3,BR31,OSS2,BR31,turbine,-70.60655515,40.65131855,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,364174.0029,4501292.005,1852.000022,5556.00006,1.9488051163995257,0
4,4,BS31,OSS2,BS31,turbine,-70.60615523,40.63464083,0.0,4.0,0.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,364174.0028,4499440.004,1852.000001,3703.99998,1.955964799210464,0
5,5,BS30,OSS2,BS30,turbine,-70.62804695,40.63433421,0.0,5.0,0.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,362322.0028,4499440.004,0.0,3704.00002,1.9487955484023096,0
6,6,BR35,OSS2,BR35,turbine,-70.51896318,40.65250424,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,371582.0028,4501292.005,9259.999983,5556.00008,1.9560048622682809,0
7,7,BS35,OSS2,BS35,turbine,-70.51858503,40.63582583,1.0,1.0,1.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,371582.0028,4499440.005,9260.00002,3704.00006,1.9560089966951264,0
8,8,BS34,OSS2,BS34,turbine,-70.54047803,40.63553584,1.0,2.0,1.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,369730.0056,4499440.009,7408.002794,3704.0047,1.9488373307417173,0
9,9,BS33,OSS2,BS33,turbine,-70.56237075,40.63524167,1.0,3.0,1.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,367878.0056,4499440.009,5556.002791,3704.00478,1.9488299580783552,0
10,10,BS32,OSS2,BS32,turbine,-70.58426317,40.6349433,1.0,4.0,1.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,366026.0028,4499440.005,3703.999959,3704.00006,1.9488211706497047,0
11,11,BS36,OSS2,BS36,turbine,-70.49669168,40.6361117,2.0,0.0,2.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,373434.0028,4499440.004,11112.00001,3704.00002,4.245294141577265,0
12,12,BS37,OSS2,BS37,turbine,-70.47479802,40.63639343,2.0,1.0,2.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,375286.0028,4499440.005,12964.00001,3704.00007,1.9488613956930152,0
13,13,BT36,OSS2,BT36,turbine,-70.4963193,40.61943307,2.0,2.0,2.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,373434.0028,4497588.005,11112.0,1852.00006,2.719442587372683,0
14,14,BU36,OSS2,BU36,turbine,-70.49594722,40.60275438,2.0,3.0,2.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,373434.0028,4495736.004,11111.99994,0.0,1.9560316514967488,0
15,15,BU35,OSS2,BU35,turbine,-70.51782969,40.60246884,2.0,4.0,2.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,371582.0028,4495736.004,9259.999983,0.0,1.948854501231911,0
