Unnamed: 0,id,substation_id,name,type,longitude,latitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
0,BR34,OSS2,BR34,turbine,-70.54086166,40.65221405,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,369730.0028,4501292.005,7408.0,5556.001,2.71940726440272,0
1,BC46,OSS1,BC46,turbine,-70.28222109,40.87225946,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,391954.0056,4525368.009,29632.0028,29632.005,1.948827680935804,0
2,BR33,OSS2,BR33,turbine,-70.56275982,40.6519197,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,367878.0028,4501292.005,5556.0,5556.001,1.9488162836833205,0
3,BB46,OSS1,BB46,turbine,-70.28254306,40.88893888,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,391954.0056,4527220.009,29632.0028,31484.005,1.9488051163995257,0
4,BR32,OSS2,BR32,turbine,-70.58465765,40.6516212,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,366026.0029,4501292.004,3704.0001,5556.0,1.955964799210464,0
5,BA46,OSS1,BA46,turbine,-70.28286533,40.9056182,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,391954.0028,4529072.004,29632.0,33336.0,1.9487955484023096,0
6,BR31,OSS2,BR31,turbine,-70.60655515,40.65131855,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,364174.0029,4501292.005,1852.0001,5556.001,1.9560048622682809,0
7,AZ46,OSS1,AZ46,turbine,-70.28318784,40.92229752,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,391954.0028,4530924.004,29632.0,35188.0,1.9560089966951264,0
8,BS31,OSS2,BS31,turbine,-70.60615523,40.63464083,0.0,4.0,0.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,364174.0028,4499440.004,1852.0,3704.0,1.9488373307417173,0
9,BS30,OSS2,BS30,turbine,-70.62804695,40.63433421,0.0,5.0,0.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,362322.0028,4499440.004,0.0,3704.0,1.9488299580783552,0
10,BR35,OSS2,BR35,turbine,-70.51896318,40.65250424,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,371582.0028,4501292.005,9260.0,5556.001,1.9488211706497047,0
11,BD47,OSS1,BD47,turbine,-70.25993166,40.85582206,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,393806.0056,4523516.009,31484.0028,27780.005,4.245294141577265,0
12,BS35,OSS2,BS35,turbine,-70.51858503,40.63582583,1.0,1.0,1.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,371582.0028,4499440.005,9260.0,3704.001,1.9488613956930152,0
13,BC47,OSS1,BC47,turbine,-70.26024784,40.87250167,1.0,1.0,1.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,393806.0056,4525368.009,31484.0028,29632.005,2.7194425873726824,0
14,BS34,OSS2,BS34,turbine,-70.54047803,40.63553584,1.0,2.0,1.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,369730.0056,4499440.009,7408.0028,3704.005,1.9560316514967488,0
15,BB47,OSS1,BB47,turbine,-70.2605643,40.88918123,1.0,2.0,1.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,393806.0056,4527220.009,31484.0028,31484.005,1.948854501231911,0
16,BS33,OSS2,BS33,turbine,-70.56237075,40.63524167,1.0,3.0,1.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,367878.0056,4499440.009,5556.0028,3704.005,1.9560205716254715,0
17,BA47,OSS1,BA47,turbine,-70.26088102,40.90586073,1.0,3.0,1.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,393806.0056,4529072.009,31484.0028,33336.005,1.9488475787300583,0
18,BS32,OSS2,BS32,turbine,-70.58426317,40.6349433,1.0,4.0,1.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,366026.0028,4499440.005,3704.0,3704.001,1.9488579589186568,0
19,AZ47,OSS1,AZ47,turbine,-70.26119804,40.92254015,1.0,4.0,1.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,393806.0028,4530924.004,31484.0,35188.0,1.9488685691660763,0
20,BS36,OSS2,BS36,turbine,-70.49669168,40.6361117,2.0,0.0,2.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,373434.0028,4499440.004,11112.0,3704.0,2.719451934819051,0
21,BD46,OSS1,BD46,turbine,-70.28189942,40.85557995,2.0,0.0,2.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,391954.0028,4523516.004,29632.0,27780.0,1.956040221923948,0
22,BS37,OSS2,BS37,turbine,-70.47479802,40.63639343,2.0,1.0,2.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,375286.0028,4499440.005,12964.0,3704.001,1.9560250544323925,0
23,BE47,OSS1,BE47,turbine,-70.25961573,40.8391424,2.0,1.0,2.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,393806.0056,4521664.009,31484.0028,25928.005,2.719072780156564,0
24,BT36,OSS2,BT36,turbine,-70.4963193,40.61943307,2.0,2.0,2.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,373434.0028,4497588.005,11112.0,1852.001,1.948862484268736,0
