id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
E06,MomW OSS 1,E06,turbine,38.37041902,-74.79763622,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,517677.2679,4246934.457,463.7319,13104.417,2.5507871973394862,0
I09,MomW OSS 2,I09,turbine,38.31969577,-74.74054095,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,522680.582,4241318.74,5467.046,7488.6991,1.9403988252830109,0
E07,MomW OSS 1,E07,turbine,38.35355138,-74.80033689,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,517445.4019,4245062.325,231.8659,11232.2847,1.9404049941692567,0
H09,MomW OSS 2,H09,turbine,38.31972916,-74.75683928,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,521255.8541,4241318.57,4042.3181,7488.5293,1.471943418886196,0
E08,MomW OSS 1,E08,turbine,38.33668362,-74.80303628,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,517213.536,4243190.193,0.0,9360.1523,1.9404094371510776,0
H10,MomW OSS 2,H10,turbine,38.30286234,-74.75954745,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,521023.9881,4239446.437,3810.4521,5616.397,1.940414487560498,0
F08,MomW OSS 1,F08,turbine,38.33665664,-74.7867341,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,518638.264,4243190.363,1424.728,9360.3221,1.9403917098372352,0
H11,MomW OSS 2,H11,turbine,38.28599539,-74.76225435,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,520792.1222,4237574.305,3578.5862,3744.2647,1.9403978851574504,0
F09,MomW OSS 1,F09,turbine,38.31978915,-74.78943601,0.0,4.0,0.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,518406.3981,4241318.23,1192.8621,7488.1898,1.4719405483410666,0
G11,MomW OSS 2,G11,turbine,38.28602574,-74.77854517,0.0,4.0,0.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,519367.3942,4237574.135,2153.8582,3744.0949,1.9404022860353376,0
F10,MomW OSS 1,F10,turbine,38.30292155,-74.79213664,0.0,5.0,0.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,518174.5321,4239446.098,960.9961,5616.0574,1.9404074518022216,0
F06,MomW OSS 1,F06,turbine,38.37039127,-74.78132649,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,519101.9959,4246934.627,1888.4599,13104.5868,1.94041360468449,0
I10,MomW OSS 2,I10,turbine,38.30282933,-74.7432529,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,522448.7161,4239446.607,5235.1801,5616.5668,1.940386630546184,0
F07,MomW OSS 1,F07,turbine,38.35352401,-74.78403093,1.0,1.0,1.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,518870.1299,4245062.495,1656.5939,11232.4545,1.940380331996952,0
I11,MomW OSS 2,I11,turbine,38.28596278,-74.74596357,1.0,1.0,1.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,522216.8502,4237574.475,5003.3142,3744.4344,1.4719349969074864,0
G07,MomW OSS 1,G07,turbine,38.35349438,-74.767725,1.0,3.0,1.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,520294.8579,4245062.665,3081.3219,11232.6243,1.940378676459562,0
I12,MomW OSS 2,I12,turbine,38.26909611,-74.74867296,1.0,2.0,1.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,521984.9842,4235702.343,4771.4482,1872.3021,1.4719352217941752,0
G08,MomW OSS 1,G08,turbine,38.33662739,-74.77043195,1.0,4.0,1.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,520062.992,4243190.532,2849.456,9360.4919,1.471937884058355,0
H12,MomW OSS 2,H12,turbine,38.26912987,-74.76495974,1.0,3.0,1.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,520560.2774,4235702.343,3346.7414,1872.3028,1.4719365121786785,0
G09,MomW OSS 1,G09,turbine,38.31976029,-74.77313763,1.0,5.0,1.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,519831.1261,4241318.4,2617.5901,7488.3596,1.4719352297367752,0
H13,MomW OSS 2,H13,turbine,38.25226116,-74.76766434,1.0,4.0,1.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,520328.3903,4233830.04,3114.8543,0.0,1.9403874766589024,0
G10,MomW OSS 1,G10,turbine,38.30289307,-74.77584203,1.0,6.0,1.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,519599.2601,4239446.268,2385.7241,5616.2272,1.471935892520763,0
F04,MomW OSS 1,F04,turbine,38.40412544,-74.77591377,2.0,0.0,2.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,519565.7277,4250678.892,2352.1917,16848.8515,3.2661143799743098,0
J10,MomW OSS 2,J10,turbine,38.30279407,-74.72695837,2.0,0.0,2.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,523873.4441,4239446.777,6659.9081,5616.7366,1.9403943029365007,0
