id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
AT32,PCW OSS,AT32,turbine,41.01853028,-70.59342083,0,0,0,0,0,16MW_operations.yaml,array.yaml,366026,4542036,20372,29632,0,0
AU33,PCW OSS,AU33,turbine,41.00215583,-70.57100556,0,1,0,1,0,16MW_operations.yaml,array.yaml,367878,4540184,22224,27780,0,0
AU34,PCW OSS,AU34,turbine,41.00245389,-70.54899194,0,2,0,2,0,16MW_operations.yaml,array.yaml,369730,4540184,24076,27780,0,0
AV35,PCW OSS,AV35,turbine,40.98607028,-70.52659333,0,3,0,3,0,16MW_operations.yaml,array.yaml,371582,4538332,25928,25928,0,0
AW36,PCW OSS,AW36,turbine,40.96968194,-70.50420556,0,4,0,4,0,16MW_operations.yaml,array.yaml,373434,4536480,27780,24076,0,0
AX37,PCW OSS,AX37,turbine,40.95328944,-70.48182889,0,5,0,5,0,16MW_operations.yaml,array.yaml,375286,4534628,29632,22224,0,0
AU35,PCW OSS,AU35,turbine,41.0027475,-70.52697806,1,0,1,0,0,16MW_operations.yaml,array.yaml,371582,4540184,25928,27780,0,0
AV36,PCW OSS,AV36,turbine,40.98635972,-70.50458444,1,1,1,1,0,16MW_operations.yaml,array.yaml,373434,4538332,27780,25928,0,0
AW37,PCW OSS,AW37,turbine,40.96996722,-70.48220222,1,2,1,2,0,16MW_operations.yaml,array.yaml,375286,4536480,29632,24076,0,0
AU32,PCW OSS,AU32,turbine,41.00185361,-70.59301889,2,0,2,0,0,16MW_operations.yaml,array.yaml,366026,4540184,20372,27780,0,0
AV33,PCW OSS,AV33,turbine,40.98547889,-70.57060972,2,1,2,1,0,16MW_operations.yaml,array.yaml,367878,4538332,22224,25928,0,0
AV34,PCW OSS,AV34,turbine,40.98577667,-70.54860167,2,2,2,2,0,16MW_operations.yaml,array.yaml,369730,4538332,24076,25928,0,0
AW35,PCW OSS,AW35,turbine,40.96939278,-70.52620861,2,3,2,3,0,16MW_operations.yaml,array.yaml,371582,4536480,25928,24076,0,0
AX36,PCW OSS,AX36,turbine,40.95300444,-70.50382694,2,4,2,4,0,16MW_operations.yaml,array.yaml,373434,4534628,27780,22224,0,0
AY36,PCW OSS,AY36,turbine,40.93632667,-70.50344861,2,5,2,5,0,16MW_operations.yaml,array.yaml,373434,4532776,27780,20372,0,0
AU30,PCW OSS,AU30,turbine,41.00123667,-70.63704444,3,0,3,0,0,16MW_operations.yaml,array.yaml,362322,4540184,16668,27780,0,0
AV29,PCW OSS,AV29,turbine,40.98424556,-70.65863861,3,1,3,1,0,16MW_operations.yaml,array.yaml,360470,4538332,14816,25928,0,0
AV28,PCW OSS,AV28,turbine,40.98392667,-70.680645,3,2,3,2,0,16MW_operations.yaml,array.yaml,358618,4538332,12964,25928,0,0
AW28,PCW OSS,AW28,turbine,40.96725056,-70.68022167,3,3,3,3,0,16MW_operations.yaml,array.yaml,358618,4536480,12964,24076,0,0
AW30,PCW OSS,AW30,turbine,40.96788361,-70.63621972,4,0,4,0,0,16MW_operations.yaml,array.yaml,362322,4536480,16668,24076,0,0
AX30,PCW OSS,AX30,turbine,40.95120722,-70.63580778,4,1,4,1,0,16MW_operations.yaml,array.yaml,362322,4534628,16668,22224,0,0
AY30,PCW OSS,AY30,turbine,40.93453056,-70.63539611,4,2,4,2,0,16MW_operations.yaml,array.yaml,362322,4532776,16668,20372,0,0
AU31,PCW OSS,AU31,turbine,41.00154722,-70.61503194,5,0,5,0,0,16MW_operations.yaml,array.yaml,364174,4540184,18520,27780,0,0
AV31,PCW OSS,AV31,turbine,40.98487056,-70.61462472,5,1,5,1,0,16MW_operations.yaml,array.yaml,364174,4538332,18520,25928,0,0
AW31,PCW OSS,AW31,turbine,40.96819389,-70.61421806,5,2,5,2,0,16MW_operations.yaml,array.yaml,364174,4536480,18520,24076,0,0
