id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
A05,FD OSS,A05,turbine,38.38737642,-74.86018857,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,512210.2218,4248805.911,0.0,14975.871,1.4719417268979884,0
M10,MarW OSS,M10,turbine,38.3026747,-74.67807498,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,528147.6281,4239447.286,15937.4063,5617.246,1.940393148721084,0
E06,MomW OSS 1,E06,turbine,38.37041902,-74.79763622,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,517677.2679,4246934.457,5467.0461,13104.417,1.940405923247112,0
I09,MomW OSS 2,I09,turbine,38.31969577,-74.74054095,0.0,0.0,0.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,522680.582,4241318.74,10470.3602,7488.7,1.4719347943025187,0
A04,FD OSS,A04,turbine,38.40424537,-74.85750051,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,512442.0878,4250678.043,231.866,16848.003,1.940376104974136,0
M09,MarW OSS,M09,turbine,38.31953956,-74.67534795,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,528379.494,4241319.419,16169.2722,7489.379,1.94039208074164,0
E07,MomW OSS 1,E07,turbine,38.35355138,-74.80033689,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,517445.4019,4245062.325,5235.1801,11232.285,2.271879856770398,0
H09,MomW OSS 2,H09,turbine,38.31972916,-74.75683928,0.0,1.0,0.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,521255.8541,4241318.57,9045.6323,7488.53,1.4719355301599333,0
A03,FD OSS,A03,turbine,38.42111421,-74.8548112,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,512673.9537,4252550.175,463.7319,18720.135,1.940375362901676,0
N09,MarW OSS,N09,turbine,38.31949485,-74.65904979,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,529804.222,4241319.589,17594.0002,7489.549,1.471934520027136,0
E08,MomW OSS 1,E08,turbine,38.33668362,-74.80303628,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,517213.536,4243190.193,5003.3142,9360.153,2.2718954772321167,0
H10,MomW OSS 2,H10,turbine,38.30286234,-74.75954745,0.0,2.0,0.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,521023.9881,4239446.437,8813.7663,5616.397,1.4719368067225047,0
A02,FD OSS,A02,turbine,38.43798294,-74.85212062,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,512905.8196,4254422.308,695.5978,20592.268,1.4719391527669197,0
N10,MarW OSS,N10,turbine,38.30263038,-74.66178059,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,529572.3561,4239447.456,17362.1343,5617.416,1.9403873519658472,0
F08,MomW OSS 1,F08,turbine,38.33665664,-74.7867341,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,518638.264,4243190.363,6428.0422,9360.323,1.94037967579879,0
H11,MomW OSS 2,H11,turbine,38.28599539,-74.76225435,0.0,3.0,0.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,520792.1222,4237574.305,8581.9004,3744.265,1.940405923247112,0
A01,FD OSS,A01,turbine,38.45485155,-74.84942878,0.0,4.0,0.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,513137.6856,4256294.44,927.4638,22464.4,1.4719370725197949,0
O10,MarW OSS,O10,turbine,38.3025838,-74.64548623,0.0,4.0,0.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,530997.0841,4239447.626,18786.8623,5617.586,1.940397379379176,0
F09,MomW OSS 1,F09,turbine,38.31978915,-74.78943601,0.0,4.0,0.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,518406.3981,4241318.23,6196.1763,7488.19,1.9404079696846808,0
G11,MomW OSS 2,G11,turbine,38.28602574,-74.77854517,0.0,4.0,0.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,519367.3942,4237574.135,7157.1724,3744.095,1.4719386839459316,0
F10,MomW OSS 1,F10,turbine,38.30292155,-74.79213664,0.0,5.0,0.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,518174.5321,4239446.098,5964.3103,5616.058,,0
B04,FD OSS,B04,turbine,38.40422593,-74.84118313,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,513866.8158,4250678.213,1656.594,16848.173,1.471946147430406,0
N11,MarW OSS,N11,turbine,38.28576579,-74.66451009,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,529340.4901,4237575.324,17130.2683,3745.284,2.2718789733918485,0
F06,MomW OSS 1,F06,turbine,38.37039127,-74.78132649,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,519101.9959,4246934.627,6891.7741,13104.587,1.4719347943025187,0
I10,MomW OSS 2,I10,turbine,38.30282933,-74.7432529,1.0,0.0,1.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,522448.7161,4239446.607,10238.4943,5616.567,1.940412890648692,0
B03,FD OSS,B03,turbine,38.42109439,-74.83848816,1.0,1.0,1.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,514098.8444,4252550.345,1888.6226,18720.305,2.271895147255069,0
O11,MarW OSS,O11,turbine,38.28571961,-74.6482195,1.0,1.0,1.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,530765.2181,4237575.494,18554.9963,3745.454,1.940417425658893,0
F07,MomW OSS 1,F07,turbine,38.35352401,-74.78403093,1.0,1.0,1.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,518870.1299,4245062.495,6659.9081,11232.455,1.4719355301599333,0
I11,MomW OSS 2,I11,turbine,38.28596278,-74.74596357,1.0,1.0,1.0,1.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,522216.8502,4237574.475,10006.6284,3744.435,1.4719413837320028,0
B02,FD OSS,B02,turbine,38.43796273,-74.83579565,1.0,2.0,1.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,514330.5476,4254422.477,2120.3258,20592.437,1.9404007108904449,0
P11,MarW OSS,P11,turbine,38.28567116,-74.63192895,1.0,2.0,1.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,532189.9461,4237575.663,19979.7243,3745.623,1.940405994181762,0
G07,MomW OSS 1,G07,turbine,38.35349438,-74.767725,1.0,3.0,1.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,520294.8579,4245062.665,8084.6361,11232.625,1.4719368067225047,0
I12,MomW OSS 2,I12,turbine,38.26909611,-74.74867296,1.0,2.0,1.0,2.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,521984.9842,4235702.343,9774.7624,1872.303,1.9404217533188093,0
B01,FD OSS,B01,turbine,38.45483096,-74.8331,1.0,3.0,1.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,514562.4136,4256294.61,2352.1918,22464.57,2.550791666220356,0
P12,MarW OSS,P12,turbine,38.26880725,-74.63466469,1.0,3.0,1.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,531958.0802,4235703.531,19747.8584,1873.491,1.9403848800205008,0
G08,MomW OSS 1,G08,turbine,38.33662739,-74.77043195,1.0,4.0,1.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,520062.992,4243190.532,7852.7702,9360.492,1.940405923247112,0
H12,MomW OSS 2,H12,turbine,38.26912987,-74.76495974,1.0,3.0,1.0,3.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,520560.2774,4235702.343,8350.0556,1872.303,1.4719430226686017,0
C01,FD OSS,C01,turbine,38.45480809,-74.81677125,1.0,4.0,1.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,515987.1416,4256294.78,3776.9198,22464.74,1.4719343125073596,0
Q12,MarW OSS,Q12,turbine,38.26875694,-74.61837794,1.0,4.0,1.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,533382.8082,4235703.701,21172.5864,1873.661,1.9404079696846808,0
G09,MomW OSS 1,G09,turbine,38.31976029,-74.77313763,1.0,5.0,1.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,519831.1261,4241318.4,7620.9043,7488.36,1.4719386839459316,0
H13,MomW OSS 2,H13,turbine,38.25226116,-74.76766434,1.0,4.0,1.0,4.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,520328.3903,4233830.04,8118.1685,0.0,1.471941176986796,0
D01,FD OSS,D01,turbine,38.45478295,-74.80044251,1.0,5.0,1.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,517411.8696,4256294.949,5201.6478,22464.909,1.9403992639128864,0
G10,MomW OSS 1,G10,turbine,38.30289307,-74.77584203,1.0,6.0,1.0,5.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,519599.2601,4239446.268,7389.0383,5616.228,1.471938624714246,0
D05,FD OSS,D05,turbine,38.38731243,-74.81124783,3.0,0.0,2.0,0.0,0.0,15MW_core_wind.yaml,array_core_wind.yaml,516484.4058,4248806.42,4274.184,14976.38,1.471938530102814,0
