,CapEx Component,Value ($),Value ($/kW)
0,Array System,111193235.7130277,185.32205952171284
1,Export System,100357800.0,167.263
2,Offshore Substation,83413425.0,139.022375
3,Scour Protection,10242000.0,17.07
4,Substructure,307153308.5870442,511.92218097840697
5,Array System Installation,66031500.75816275,110.05250126360458
6,Export System Installation,19947645.360920466,33.24607560153411
7,Offshore Substation Installation,5453357.716851489,9.088929528085815
8,Scour Protection Installation,41467689.49771691,69.11281582952819
9,Substructure Installation,41289627.025784254,68.81604504297376
10,Turbine Installation,53629398.85844754,89.3823314307459
11,Turbine,1020000000.0,1700.0
12,Soft,325896000.0,543.16
13,Project,151250000.0,252.08333333333334
