,CapEx Component,Value ($),Value ($/kW)
0,Array System,133234144.1709662,222.05690695161033
1,Export System,75794538.60938,126.32423101563334
2,Substructure,630709636.6,1051.1827276666668
3,Mooring System,275612740.3282033,459.3545672136722
4,Offshore Substation,83413425.0,139.022375
5,Array System Installation,56649656.61793591,94.41609436322652
6,Export System Installation,10499476.913377559,17.499128188962597
7,Substructure Installation,74778544.29223743,124.63090715372905
8,Mooring System Installation,58067242.009132355,96.77873668188725
9,Offshore Substation Installation,5772624.522488584,9.621040870814307
10,Turbine,1020000000.0,1700.0
11,Soft,325896000.0,543.16
12,Project,151250000.0,252.08333333333334
