,CapEx Component,Value ($),Value ($/kW)
0,Array System,111193235.7130277,185.32205952171284
1,Export System,100357800.0,167.263
2,Offshore Substation,83413425.0,139.022375
3,Scour Protection,10242000.0,17.07
4,Substructure,307153308.5870442,511.92218097840697
5,Array System Installation,47558925.9290331,79.2648765483885
6,Export System Installation,15562380.491355248,25.93730081892541
7,Offshore Substation Installation,4104004.7549467273,6.8400079249112125
8,Scour Protection Installation,29856689.49771691,49.76114916286152
9,Substructure Installation,33768463.067478724,56.28077177913121
10,Turbine Installation,43885248.85844754,73.14208143074589
11,Turbine,900000000.0,1500.0
12,Soft,325896000.0,543.16
13,Project,151250000.0,252.08333333333334
