Metrics,COE_2022_fixed_bottom,COE_2022_fixed_bottom,COE_2022_fixed_bottom,COE_2022_fixed_bottom,COE_2022_fixed_bottom,COE_2022_fixed_bottom,COE_2022_fixed_bottom,COE_2022_fixed_bottom,COE_2022_fixed_bottom,COE_2022_fixed_bottom,COE_2022_GF_fixed_bottom,COE_2022_GF_fixed_bottom,COE_2022_GF_fixed_bottom,COE_2022_GF_fixed_bottom,COE_2022_GF_fixed_bottom,COE_2022_GF_fixed_bottom,COE_2022_GF_fixed_bottom,COE_2022_GF_fixed_bottom,COE_2022_GF_fixed_bottom,COE_2022_GF_fixed_bottom
# Turbines,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Turbine Rating (MW),12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Project Capacity (MW),600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
# OSS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Total Export Cable Length (km),118.068,118.068,118.068,118.068,118.068,118.068,118.068,118.068,118.068,118.068,118.068,118.068,118.068,118.068,118.068,118.068,118.068,118.068,118.068,118.068
Total Array Cable Length (km),277.98308928256927,277.98308928256927,277.98308928256927,277.98308928256927,277.98308928256927,277.98308928256927,277.98308928256927,277.98308928256927,277.98308928256927,277.98308928256927,277.98308928256927,277.98308928256927,277.98308928256927,277.98308928256927,277.98308928256927,277.98308928256927,277.98308928256927,277.98308928256927,277.98308928256927,277.98308928256927
FCR (%),0.0569,0.0569,0.0569,0.0569,0.0569,0.0569,0.0569,0.0569,0.0569,0.0569,0.0648,0.0648,0.0648,0.0648,0.0648,0.0648,0.0648,0.0648,0.0648,0.0648
CapEx ($),2164241481.89905,2164241481.89905,2164241481.89905,2164241481.89905,2164241481.89905,2164241481.89905,2164241481.89905,2164241481.89905,2164241481.89905,2164241481.89905,2337324988.5179553,2337324988.5179553,2337324988.5179553,2337324988.5179553,2337324988.5179553,2337324988.5179553,2337324988.5179553,2337324988.5179553,2337324988.5179553,2337324988.5179553
CapEx per kW ($/kW),3607.0691364984173,3607.0691364984173,3607.0691364984173,3607.0691364984173,3607.0691364984173,3607.0691364984173,3607.0691364984173,3607.0691364984173,3607.0691364984173,3607.0691364984173,3895.5416475299253,3895.5416475299253,3895.5416475299253,3895.5416475299253,3895.5416475299253,3895.5416475299253,3895.5416475299253,3895.5416475299253,3895.5416475299253,3895.5416475299253
OpEx ($),1156471639.8128335,1132064371.2452824,1164818462.1834297,1085350850.7913783,1209856580.7781844,1029285649.5010027,1249591828.9070234,1123090146.6228344,1084334023.8706229,1223325432.3089476,1183825045.2720704,1159251631.4665453,1076155234.18856,1202532094.4567559,1042124404.1732677,1012695288.1937344,1205311057.56572,1057591323.7519312,1106975665.625901,1253654555.370796
OpEx per kW ($/kW),1927.4527330213893,1886.7739520754708,1941.3641036390495,1808.918084652297,2016.4276346303075,1715.476082501671,2082.6530481783725,1871.8169110380575,1807.2233731177048,2038.8757205149127,1973.0417421201173,1932.0860524442423,1793.5920569809334,2004.2201574279266,1736.8740069554462,1687.8254803228906,2008.8517626095336,1762.6522062532185,1844.959442709835,2089.4242589513265
Annual OpEx per kW ($/kW),91.78346347720901,89.84637867026052,92.44590969709759,86.13895641201414,96.02036355382417,81.68933726198433,99.1739546751606,89.13413862085989,86.05825586274784,97.08932002451965,93.95436867238654,92.00409773544011,85.40914557052064,95.43905511561555,82.70828604549745,80.37264192013765,95.65960774331113,83.93581934539137,87.85521155761118,99.4963932833965
Energy Availability (%),0.9334336755918485,0.9342793293178793,0.9357033358260747,0.9346600305215236,0.9322607032306911,0.9362609747484397,0.9323705379928523,0.9349160343361446,0.9357202196134163,0.9332905630230405,0.9345735214572616,0.9337211899500296,0.9350756961835914,0.9328093806342782,0.935887138361005,0.9363132539079431,0.933016819608222,0.935436017839359,0.9347869550696272,0.932203161193012
Gross Capacity Factor (%),0.48959767479920774,0.48959767479920774,0.48959767479920774,0.48959767479920774,0.48959767479920774,0.48959767479920774,0.48959767479920774,0.48959767479920774,0.48959767479920774,0.48959767479920774,0.48959767479920774,0.48959767479920774,0.48959767479920774,0.48959767479920774,0.48959767479920774,0.48959767479920774,0.48959767479920774,0.48959767479920774,0.48959767479920774,0.48959767479920774
Net Capacity Factor Without Unmodeled Losses (%),0.4570221268335906,0.45729944293365393,0.45819276796556774,0.45763708329891106,0.45647695942208005,0.45839173988968807,0.45641665963701317,0.4577248823104345,0.4580968909328395,0.456956857614679,0.4575607624868669,0.4571651128838697,0.4576948231861156,0.4567213654870654,0.4582319084831981,0.45845087965724535,0.45682136864074024,0.4580549862168983,0.4576418168887727,0.4564023345168002
Net Capacity Factor With All Losses (%),0.4080623593536679,0.40833967545373123,0.40923300048564526,0.40867731581898903,0.4075171919421593,0.4094319724097641,0.4074568921570905,0.40876511483051453,0.40913712345292047,0.40799709013475965,0.40860099500694635,0.4082053454039499,0.40873505570619445,0.4077615980071436,0.40927214100327414,0.40949111217732326,0.40786160116082104,0.40909521873697646,0.4086820494088534,0.4074425670368802
AEP (MWh),2146454.645898532,2147913.360278129,2152612.3520402843,2149689.387186868,2143587.00300913,2153658.9671008047,2143269.819248276,2150151.220021649,2152108.027890778,2146111.3223477285,2149287.9309931328,2147206.7688642736,2149993.105592399,2144872.6068430897,2152818.2356362166,2153970.049037004,2145398.6348603624,2151887.604295803,2149714.286410521,2143194.467478819
AEP per kW (MWh/kW),3.5774244098308867,3.5798556004635484,3.587687253400474,3.582815645311447,3.5726450050152163,3.5894316118346743,3.572116365413793,3.583585366702748,3.586846713151297,3.576852203912881,3.5821465516552213,3.5786779481071225,3.5833218426539983,3.574787678071816,3.5880303927270276,3.5899500817283396,3.5756643914339374,3.5864793404930047,3.5828571440175345,3.571990779131365
LCOE ($/MWh),83.02780529135207,82.43031157424619,82.97494250138537,81.32743046940806,84.32480613038153,79.93788492381508,85.2201209034961,82.14576809662418,81.21353183603985,84.52447477716451,96.69773763786117,96.24649143898576,94.2813007497639,97.31211618788794,93.40483444197334,92.70428086839924,97.34993791284101,93.78749636379973,94.97624288083671,98.5241882760171
