Metrics,COE_2022_floating,COE_2022_floating,COE_2022_floating,COE_2022_floating,COE_2022_floating,COE_2022_floating,COE_2022_floating,COE_2022_floating,COE_2022_floating,COE_2022_floating,COE_2022_GF_floating,COE_2022_GF_floating,COE_2022_GF_floating,COE_2022_GF_floating,COE_2022_GF_floating,COE_2022_GF_floating,COE_2022_GF_floating,COE_2022_GF_floating,COE_2022_GF_floating,COE_2022_GF_floating
# Turbines,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Turbine Rating (MW),12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Project Capacity (MW),600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
# OSS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Total Export Cable Length (km),89.1700454228,89.1700454228,89.1700454228,89.1700454228,89.1700454228,89.1700454228,89.1700454228,89.1700454228,89.1700454228,89.1700454228,89.1700454228,89.1700454228,89.1700454228,89.1700454228,89.1700454228,89.1700454228,89.1700454228,89.1700454228,89.1700454228,89.1700454228
Total Array Cable Length (km),333.0853604274155,333.0853604274155,333.0853604274155,333.0853604274155,333.0853604274155,333.0853604274155,333.0853604274155,333.0853604274155,333.0853604274155,333.0853604274155,333.0853604274155,333.0853604274155,333.0853604274155,333.0853604274155,333.0853604274155,333.0853604274155,333.0853604274155,333.0853604274155,333.0853604274155,333.0853604274155
FCR (%),0.0569,0.0569,0.0569,0.0569,0.0569,0.0569,0.0569,0.0569,0.0569,0.0569,0.0648,0.0648,0.0648,0.0648,0.0648,0.0648,0.0648,0.0648,0.0648,0.0648
CapEx ($),2725126231.402032,2725126231.402032,2725126231.402032,2725126231.402032,2725126231.402032,2725126231.402032,2725126231.402032,2725126231.402032,2725126231.402032,2725126231.402032,2901678029.0637217,2901678029.0637217,2901678029.0637217,2901678029.0637217,2901678029.0637217,2901678029.0637217,2901678029.0637217,2901678029.0637217,2901678029.0637217,2901678029.0637217
CapEx per kW ($/kW),4541.87705233672,4541.87705233672,4541.87705233672,4541.87705233672,4541.87705233672,4541.87705233672,4541.87705233672,4541.87705233672,4541.87705233672,4541.87705233672,4836.130048439536,4836.130048439536,4836.130048439536,4836.130048439536,4836.130048439536,4836.130048439536,4836.130048439536,4836.130048439536,4836.130048439536,4836.130048439536
OpEx ($),1642514829.0543833,1577738198.0675788,1651398241.3397396,1534326509.6923103,1539054222.143481,1435828090.0995011,1582690487.5678127,1476689513.8036454,1658663136.3543808,1600298012.985698,1458128429.5303457,1748316908.7283058,1620239134.6807837,1561945491.8899944,1626606318.4269261,1559789587.9086428,1497366378.3759332,1548457112.640015,1618700794.3389382,1568790014.3728566
OpEx per kW ($/kW),2737.524715090639,2629.5636634459647,2752.3304022328994,2557.210849487184,2565.090370239135,2393.046816832502,2637.8174792796876,2461.149189672742,2764.4385605906346,2667.163354976163,2430.214049217243,2913.8615145471763,2700.398557801306,2603.242486483324,2711.0105307115437,2599.649313181071,2495.610630626555,2580.7618544000247,2697.8346572315636,2614.650023954761
Annual OpEx per kW ($/kW),130.3583197662209,125.2173173069507,131.06335248728092,121.77194521367544,122.14716048757786,113.95461032535724,125.6103561561756,117.19758046060676,131.63993145669687,127.00777880838872,115.72447853415443,138.7553102165322,128.5904075143479,123.96392792777732,129.09573955769255,123.79282443719387,118.83860145840738,122.89342163809641,128.46831701102684,124.50714399784576
Energy Availability (%),0.9242014683568677,0.9250366580612122,0.924668903399378,0.9257560547276029,0.9252150933551118,0.9267978539757801,0.9256491654924721,0.926560384847801,0.9246699319041822,0.9258013615763969,0.9267219148056691,0.9233385147438663,0.9244363326632754,0.9259778669636791,0.924690263047379,0.9258463971294997,0.9264019998555966,0.9258751733440103,0.9247997883173654,0.9255190071167066
Gross Capacity Factor (%),0.4629476761146004,0.4629476761146004,0.4629476761146004,0.4629476761146004,0.4629476761146004,0.4629476761146004,0.4629476761146004,0.4629476761146004,0.4629476761146004,0.4629476761146004,0.4629476761146004,0.4629476761146004,0.4629476761146004,0.4629476761146004,0.4629476761146004,0.4629476761146004,0.4629476761146004,0.4629476761146004,0.4629476761146004,0.4629476761146004
Net Capacity Factor Without Unmodeled Losses (%),0.4278718866528016,0.42817708406510935,0.42799359227063843,0.42849050788496923,0.42828658721795,0.428936866460314,0.4285149869612005,0.4288701178313771,0.42800304619419693,0.42848945145471323,0.42894858259004165,0.42739703177697946,0.4278820509909636,0.42859452628105493,0.42799912072194735,0.42857646822927276,0.4288265211125711,0.42859459150295165,0.42806054134036425,0.42848485419505977
Net Capacity Factor With All Losses (%),0.38157711904133634,0.38188231645364323,0.38169882465917526,0.3821957402735065,0.38199181960648826,0.3826420988488511,0.382220219349738,0.38257535021991645,0.38170827858273304,0.3821946838432509,0.3826538149785788,0.3811022641655161,0.38158728337949926,0.3822997586695947,0.38170435311048473,0.3822817006178095,0.38253175350110785,0.38229982389148986,0.3817657737289061,0.38219008658359854
AEP (MWh),2006877.6020894113,2008482.7660796263,2007517.7040931734,2010131.1962727797,2009058.6900903548,2012478.787317053,2010259.942225717,2012127.727670925,2007567.4263288549,2010125.6400533027,2012540.4074644889,2004380.1367882385,2006931.0606999546,2010678.2735971182,2007546.780587953,2010583.298563622,2011898.4338424087,2010678.616627019,2007869.817943342,2010101.4610945373
AEP per kW (MWh/kW),3.3447960034823523,3.3474712767993773,3.345862840155289,3.3502186604546327,3.3484311501505912,3.354131312195088,3.3504332370428616,3.3535462127848747,3.3459457105480914,3.350209400088838,3.354234012440815,3.340633561313731,3.344885101166591,3.351130455995197,3.345911300979922,3.350972164272703,3.3531640564040144,3.3511310277116984,3.3464496965722366,3.350169101824229
LCOE ($/MWh),116.2376191670284,114.60893607778169,116.41127427302514,113.48654760344512,113.65918775078327,111.02350502777728,114.62492557323624,112.00990262383549,116.58071274287333,115.04969900571807,127.92956725186387,135.3445473910667,132.13357747298522,130.50675311199706,132.24408147549687,130.461857080499,128.89909987309377,130.18728458221048,132.03531629430873,130.7063487924503
