Metrics,COE_2022_GF_fixed_bottom
# Turbines,50.0
Turbine Rating (MW),12.0
Project Capacity (MW),600.0
# OSS,1.0
Total Export Cable Length (km),118.068
Total Array Cable Length (km),277.98308928256927
FCR (%),0.0648
CapEx ($),2337324988.5179553
CapEx per kW ($/kW),3895.5416475299253
OpEx ($),1078460027.8475134
OpEx per kW ($/kW),1797.4333797458557
Annual OpEx per kW ($/kW),85.5920657021836
Energy Availability (%),0.9361698379259327
Gross Capacity Factor (%),0.48959767479920774
Net Capacity Factor Without Unmodeled Losses (%),0.4582459638834774
Net Capacity Factor With All Losses (%),0.40928619640355257
AEP (MWh),2152892.168648021
AEP per kW (MWh/kW),3.588153614413368
LCOE ($/MWh),94.20532139546835
