Metrics,COE_2022_GF_floating
# Turbines,50.0
Turbine Rating (MW),12.0
Project Capacity (MW),600.0
# OSS,1.0
Total Export Cable Length (km),89.1700454228
Total Array Cable Length (km),333.0853604274155
FCR (%),0.0648
CapEx ($),2901678029.0637217
CapEx per kW ($/kW),4836.130048439536
OpEx ($),1619423586.6059406
OpEx per kW ($/kW),2699.0393110099008
Annual OpEx per kW ($/kW),128.52568147666193
Energy Availability (%),0.9248770995725752
Gross Capacity Factor (%),0.4629476761146004
Net Capacity Factor Without Unmodeled Losses (%),0.4281128749591393
Net Capacity Factor With All Losses (%),0.3818181073476741
AEP (MWh),2008145.0628731572
AEP per kW (MWh/kW),3.3469084381219285
LCOE ($/MWh),132.03435850892706
