Metrics,COE_2022_floating
# Turbines,50.0
Turbine Rating (MW),12.0
Project Capacity (MW),600.0
# OSS,1.0
Total Export Cable Length (km),89.1700454228
Total Array Cable Length (km),333.0853604274155
FCR (%),0.0569
CapEx ($),2725126231.402032
CapEx per kW ($/kW),4541.87705233672
OpEx ($),1513749519.8714025
OpEx per kW ($/kW),2522.9158664523375
Annual OpEx per kW ($/kW),120.13885078344464
Energy Availability (%),0.9276804929293976
Gross Capacity Factor (%),0.47951141259883007
Net Capacity Factor Without Unmodeled Losses (%),0.4475866497095135
Net Capacity Factor With All Losses (%),0.39963550844963225
AEP (MWh),2101854.4112973954
AEP per kW (MWh/kW),3.5030906854956587
LCOE ($/MWh),108.06790033408433
