year,month,CapEx ($),OpEx ($),Energy Production (GWh),Revenue ($),Cash Flow ($)
1995,1,-1108046400.0,-0.0,0.0,0.0,-1108046400.0
1995,2,0.0,0.0,0.0,0.0,0.0
1995,3,0.0,0.0,0.0,0.0,0.0
1995,4,0.0,0.0,0.0,0.0,0.0
1995,5,0.0,0.0,0.0,0.0,0.0
1995,6,0.0,0.0,0.0,0.0,0.0
1995,7,0.0,0.0,0.0,0.0,0.0
1995,8,0.0,0.0,0.0,0.0,0.0
1995,9,0.0,0.0,0.0,0.0,0.0
1995,10,0.0,0.0,0.0,0.0,0.0
1995,11,0.0,0.0,0.0,0.0,0.0
1995,12,0.0,0.0,0.0,0.0,0.0
1996,1,-296312023.7766336,-0.0,0.0,0.0,-296312023.7766336
1996,2,0.0,0.0,0.0,0.0,0.0
1996,3,0.0,0.0,0.0,0.0,0.0
1996,4,-283198271.0266336,-0.0,0.0,0.0,-283198271.0266336
1996,5,0.0,0.0,0.0,0.0,0.0
1996,6,0.0,0.0,0.0,0.0,0.0
1996,7,-296312023.7766336,-0.0,0.0,0.0,-296312023.7766336
1996,8,0.0,0.0,0.0,0.0,0.0
1996,9,0.0,0.0,0.0,0.0,0.0
1996,10,-283198271.0266336,-0.0,0.0,0.0,-283198271.0266336
1996,11,0.0,0.0,0.0,0.0,0.0
1996,12,0.0,0.0,0.0,0.0,0.0
1997,1,-296312023.7766336,-0.0,0.0,0.0,-296312023.7766336
1997,2,0.0,0.0,0.0,0.0,0.0
1997,3,0.0,0.0,0.0,0.0,0.0
1997,4,-283198271.0266336,-0.0,0.0,0.0,-283198271.0266336
1997,5,0.0,0.0,0.0,0.0,0.0
1997,6,0.0,0.0,0.0,0.0,0.0
1997,7,-296312023.7766336,-0.0,0.0,0.0,-296312023.7766336
1997,8,0.0,0.0,0.0,0.0,0.0
1997,9,0.0,0.0,0.0,0.0,0.0
1997,10,-283198271.0266336,-0.0,0.0,0.0,-283198271.0266336
1997,11,0.0,0.0,0.0,0.0,0.0
1997,12,0.0,0.0,0.0,0.0,0.0
1998,1,-318439887.6935191,-0.0,0.0,0.0,-318439887.6935191
1998,2,-15584583.080388498,-0.0,0.0,0.0,-15584583.080388498
1998,3,-16960528.737101354,-0.0,0.0,0.0,-16960528.737101354
1998,4,-296539887.28464305,-0.0,0.0,0.0,-296539887.284643
1998,5,-11518889.639444463,-0.0,0.0,0.0,-11518889.639444463
1998,6,-11151253.918669151,-0.0,0.0,0.0,-11151253.918669151
1998,7,-300641940.6643796,-0.0,0.0,0.0,-300641940.6643796
1998,8,-23291466.22639454,-0.0,0.0,0.0,-23291466.22639454
1998,9,-25874897.08280001,-0.0,0.0,0.0,-25874897.08280001
1998,10,-310085157.52629614,-0.0,0.0,0.0,-310085157.52629614
1998,11,-25791434.058581777,-0.0,0.0,0.0,-25791434.058581777
1998,12,-26741763.831092596,-0.0,0.0,0.0,-26741763.831092596
1999,1,-308085618.64414644,-0.0,0.0,0.0,-308085618.64414656
1999,2,-16607736.420031045,-0.0,0.0,0.0,-16607736.420031045
1999,3,-15252554.622506924,-0.0,0.0,0.0,-15252554.622506924
1999,4,-297839286.22766733,-0.0,0.0,0.0,-297839286.2276673
1999,5,-15300165.622506924,-0.0,0.0,0.0,-15300165.622506924
1999,6,-14753397.773191854,-0.0,0.0,0.0,-14753397.773191854
1999,7,-298053355.06046844,-0.0,0.0,0.0,-298053355.06046844
1999,8,-7621994.164383562,-0.0,0.0,0.0,-7621994.164383562
1999,9,-7361683.7397260275,-0.0,0.0,0.0,-7361683.7397260275
1999,10,-290815451.1910172,-0.0,0.0,0.0,-290815451.1910172
1999,11,-7377583.7397260275,-0.0,0.0,0.0,-7377583.7397260275
1999,12,-3254977.9269406637,-0.0,0.0,0.0,-3254977.9269406637
2000,1,0.0,-1075491.7862075304,734.3986558502498,43182640.96399469,42107149.17778716
2000,2,0.0,-1004241.2252504217,652.2444120447652,38351971.42823219,37347730.20298177
2000,3,0.0,-1088890.7638385107,719.158289188119,42286507.404261395,41197616.64042289
2000,4,0.0,-4036974.687240151,692.9392310087848,40744826.78331654,36707852.096076384
2000,5,0.0,-6712570.069939118,558.4581869906115,32837341.395047955,26124771.325108837
2000,6,0.0,-7740139.404602615,460.89194164208186,27100446.168554414,19360306.7639518
2000,7,0.0,-5141233.689275106,385.1554617526844,22647141.15105784,17505907.46178273
2000,8,0.0,-1052842.7090302906,337.2261922400309,19828900.103713818,18776057.39468353
2000,9,0.0,-2131326.4657311444,429.30673681146226,25243236.12451398,23111909.658782836
2000,10,0.0,-10813014.256914742,612.7014406709961,36026844.71145457,25213830.454539828
2000,11,0.0,-5172045.90232403,662.8405885638234,38975026.60755281,33802980.70522878
2000,12,0.0,-10024685.18289778,719.7946329603914,42323924.41807101,32299239.23517323
2001,1,0.0,-6039970.5397279,723.3091280072887,42530576.726828575,36490606.18710068
2001,2,0.0,-11177904.55863755,631.5989682650645,37138019.33398579,25960114.77534824
2001,3,0.0,-8375065.065168297,705.4479962748561,41480342.18096154,33105277.115793243
2001,4,0.0,-7747518.646681706,675.4320250903597,39715403.07531315,31967884.428631444
2001,5,0.0,-8469169.297908658,544.3891185345753,32010080.169833027,23540910.87192437
2001,6,0.0,-4969834.303601301,444.2042736150415,26119211.288564436,21149376.984963134
