Metrics,Atlantic Shores South 2
# Turbines,64.0
Turbine Rating (MW),15.0
Project Capacity (MW),960.0
# OSS,1.0
Total Export Cable Length (km),354.07308
Total Array Cable Length (km),101.4056387846453
FCR (%),0.0582
Offtake Price ($/MWh),58.8
CapEx ($),3344872843.896117
CapEx per kW ($/kW),3484.242545725122
System CapEx for Export Cables ($),601924236.0
Installation CapEx for Export Cables ($),32590114.423219256
CapEx Without Export Cables ($),2710358493.472898
OpEx ($),1254561801.480105
OpEx per kW ($/kW),1306.8352098751093
Annual OpEx per kW ($/kW),62.23024808929092
Energy Availability (%),0.945159968219311
Gross Capacity Factor (%),0.41033496876524617
Net Capacity Factor Without Unmodeled Losses (%),0.38756220197375657
Annual Losses (MWh),537005.182461028
AEP (MWh),2916448.9473472866
AEP per kW (MWh/kW),3.037967653486757
Net Capacity Factor With All Losses (%),0.34652870509723643
LCOE ($/MWh),87.23370176319368
IRR (%),-0.0011870403005025398
NPV ($),-1681034999.007879
