Metrics,Atlantic Shores South
# Turbines,200.0
Turbine Rating (MW),15.0
Project Capacity (MW),3000.0
# OSS,3.0
Total Export Cable Length (km),604.19488
Total Array Cable Length (km),346.68734406120893
FCR (%),0.0582
Offtake Price ($/MWh),58.8
CapEx ($),9324020799.41842
CapEx per kW ($/kW),3108.0069331394734
System CapEx for Export Cables ($),1027131296.0
Installation CapEx for Export Cables ($),60139962.46855593
CapEx Without Export Cables ($),8236749540.949865
OpEx ($),1961905108.9125688
OpEx per kW ($/kW),653.968369637523
Annual OpEx per kW ($/kW),31.14135093512014
Energy Availability (%),0.9507858846681078
Gross Capacity Factor (%),0.3934901124507279
Net Capacity Factor Without Unmodeled Losses (%),0.37411345690673875
Annual Losses (MWh),1544518.594076477
AEP (MWh),8804496.214870494
AEP per kW (MWh/kW),2.934832071623498
Net Capacity Factor With All Losses (%),0.3347644456616474
LCOE ($/MWh),72.24514018839506
IRR (%),0.0005760404023926746
NPV ($),-4636162323.108639
