year,month,CapEx ($),OpEx ($),Energy Production (GWh),Revenue ($),Cash Flow ($)
1995,1,-1629480000.0,-0.0,0.0,0.0,-1629480000.0
1995,2,0.0,0.0,0.0,0.0,0.0
1995,3,0.0,0.0,0.0,0.0,0.0
1995,4,0.0,0.0,0.0,0.0,0.0
1995,5,0.0,0.0,0.0,0.0,0.0
1995,6,0.0,0.0,0.0,0.0,0.0
1995,7,0.0,0.0,0.0,0.0,0.0
1995,8,0.0,0.0,0.0,0.0,0.0
1995,9,0.0,0.0,0.0,0.0,0.0
1995,10,0.0,0.0,0.0,0.0,0.0
1995,11,0.0,0.0,0.0,0.0,0.0
1995,12,0.0,0.0,0.0,0.0,0.0
1996,1,-453345420.06145906,-0.0,0.0,0.0,-453345420.06145906
1996,2,0.0,0.0,0.0,0.0,0.0
1996,3,0.0,0.0,0.0,0.0,0.0
1996,4,-440231667.31145906,-0.0,0.0,0.0,-440231667.31145906
1996,5,0.0,0.0,0.0,0.0,0.0
1996,6,0.0,0.0,0.0,0.0,0.0
1996,7,-453345420.06145906,-0.0,0.0,0.0,-453345420.06145906
1996,8,0.0,0.0,0.0,0.0,0.0
1996,9,0.0,0.0,0.0,0.0,0.0
1996,10,-440231667.31145906,-0.0,0.0,0.0,-440231667.31145906
1996,11,0.0,0.0,0.0,0.0,0.0
1996,12,0.0,0.0,0.0,0.0,0.0
1997,1,-453345420.06145906,-0.0,0.0,0.0,-453345420.06145906
1997,2,0.0,0.0,0.0,0.0,0.0
1997,3,0.0,0.0,0.0,0.0,0.0
1997,4,-440231667.31145906,-0.0,0.0,0.0,-440231667.31145906
1997,5,0.0,0.0,0.0,0.0,0.0
1997,6,0.0,0.0,0.0,0.0,0.0
1997,7,-453345420.06145906,-0.0,0.0,0.0,-453345420.06145906
1997,8,0.0,0.0,0.0,0.0,0.0
1997,9,0.0,0.0,0.0,0.0,0.0
1997,10,-440231667.31145906,-0.0,0.0,0.0,-440231667.31145906
1997,11,0.0,0.0,0.0,0.0,0.0
1997,12,0.0,0.0,0.0,0.0,0.0
1998,1,-492735938.67703456,-0.0,0.0,0.0,-492735938.67703456
1998,2,-20766264.444956165,-0.0,0.0,0.0,-20766264.444956165
1998,3,-22674909.82053706,-0.0,0.0,0.0,-22674909.82053706
1998,4,-458903894.382537,-0.0,0.0,0.0,-458903894.382537
1998,5,-13138310.147731999,-0.0,0.0,0.0,-13138310.147731999
1998,6,-11162600.978831127,-0.0,0.0,0.0,-11162600.978831127
1998,7,-451668302.130197,-0.0,0.0,0.0,-451668302.130197
1998,8,-11487982.37309925,-0.0,0.0,0.0,-11487982.37309925
1998,9,-11174135.886089958,-0.0,0.0,0.0,-11174135.886089958
1998,10,-458820676.2843042,-0.0,0.0,0.0,-458820676.2843042
1998,11,-18455614.71150989,-0.0,0.0,0.0,-18455614.71150989
1998,12,-27227661.505755007,-0.0,0.0,0.0,-27227661.505755007
1999,1,-467194693.9143051,-0.0,0.0,0.0,-467194693.9143051
1999,2,-24108619.047268584,-0.0,0.0,0.0,-24108619.047268584
1999,3,-26821196.5921842,-0.0,0.0,0.0,-26821196.5921842
1999,4,-466093290.743593,-0.0,0.0,0.0,-466093290.743593
1999,5,-26644416.77189804,-0.0,0.0,0.0,-26644416.77189804
1999,6,-25950199.889140844,-0.0,0.0,0.0,-25950199.889140844
1999,7,-464069791.5541204,-0.0,0.0,0.0,-464069791.5541204
1999,8,-15473489.72844918,-0.0,0.0,0.0,-15473489.72844918
1999,9,-14701472.201033691,-0.0,0.0,0.0,-14701472.201033691
1999,10,-455476332.933966,-0.0,0.0,0.0,-455476332.933966
1999,11,-14781815.773191854,-0.0,0.0,0.0,-14781815.773191854
