Metrics,Commonwealth
# Turbines,78.0
Turbine Rating (MW),16.0
Project Capacity (MW),1248.0
# OSS,1.0
Total Export Cable Length (km),440.2044
Total Array Cable Length (km),201.35417560620758
FCR (%),0.0582
Offtake Price ($/MWh),72.0
CapEx ($),4145146082.0531063
CapEx per kW ($/kW),3321.431155491271
System CapEx for Export Cables ($),374173740.0
Installation CapEx for Export Cables ($),35679524.72531307
CapEx Without Export Cables ($),3735292817.327793
OpEx ($),1430446937.096173
OpEx per kW ($/kW),1146.1914560065488
Annual OpEx per kW ($/kW),54.580545524121376
Energy Availability (%),0.9440089101133119
Gross Capacity Factor (%),0.5101256106657875
Net Capacity Factor Without Unmodeled Losses (%),0.48149136341890575
Annual Losses (MWh),871418.7335800364
AEP (MWh),4709884.811737375
AEP per kW (MWh/kW),3.773946163251102
Net Capacity Factor With All Losses (%),0.4304788023523256
LCOE ($/MWh),65.6839891325233
IRR (%),0.003113798292091907
NPV ($),-1978967755.5802834
