year,month,CapEx ($),OpEx ($),Energy Production (GWh),Revenue ($),Cash Flow ($)
1995,1,-677863679.9999999,-0.0,0.0,0.0,-677863679.9999999
1995,2,0.0,0.0,0.0,0.0,0.0
1995,3,0.0,0.0,0.0,0.0,0.0
1995,4,0.0,0.0,0.0,0.0,0.0
1995,5,0.0,0.0,0.0,0.0,0.0
1995,6,0.0,0.0,0.0,0.0,0.0
1995,7,0.0,0.0,0.0,0.0,0.0
1995,8,0.0,0.0,0.0,0.0,0.0
1995,9,0.0,0.0,0.0,0.0,0.0
1995,10,0.0,0.0,0.0,0.0,0.0
1995,11,0.0,0.0,0.0,0.0,0.0
1995,12,0.0,0.0,0.0,0.0,0.0
1996,1,-210847932.79797244,-0.0,0.0,0.0,-210847932.79797244
1996,2,0.0,0.0,0.0,0.0,0.0
1996,3,0.0,0.0,0.0,0.0,0.0
1996,4,-197989848.79797244,-0.0,0.0,0.0,-197989848.79797244
1996,5,0.0,0.0,0.0,0.0,0.0
1996,6,0.0,0.0,0.0,0.0,0.0
1996,7,-210847932.79797244,-0.0,0.0,0.0,-210847932.79797244
1996,8,0.0,0.0,0.0,0.0,0.0
1996,9,0.0,0.0,0.0,0.0,0.0
1996,10,-197989848.79797244,-0.0,0.0,0.0,-197989848.79797244
1996,11,0.0,0.0,0.0,0.0,0.0
1996,12,0.0,0.0,0.0,0.0,0.0
1997,1,-210847932.79797244,-0.0,0.0,0.0,-210847932.79797244
1997,2,0.0,0.0,0.0,0.0,0.0
1997,3,0.0,0.0,0.0,0.0,0.0
1997,4,-197989848.79797244,-0.0,0.0,0.0,-197989848.79797244
1997,5,0.0,0.0,0.0,0.0,0.0
1997,6,0.0,0.0,0.0,0.0,0.0
1997,7,-210847932.79797244,-0.0,0.0,0.0,-210847932.79797244
1997,8,0.0,0.0,0.0,0.0,0.0
1997,9,0.0,0.0,0.0,0.0,0.0
1997,10,-197989848.79797244,-0.0,0.0,0.0,-197989848.79797244
1997,11,0.0,0.0,0.0,0.0,0.0
1997,12,0.0,0.0,0.0,0.0,0.0
1998,1,-230238486.58495104,-0.0,0.0,0.0,-230238486.58495104
1998,2,-15362291.692191359,-0.0,0.0,0.0,-15362291.692191359
1998,3,-17406942.28868541,-0.0,0.0,0.0,-17406942.28868541
1998,4,-222315020.4008875,-0.0,0.0,0.0,-222315020.40088746
1998,5,-32660635.0949832,-0.0,0.0,0.0,-32660635.0949832
1998,6,-25811246.14143259,-0.0,0.0,0.0,-25811246.14143259
1998,7,-222198298.1461755,-0.0,0.0,0.0,-222198298.1461755
1998,8,-20947476.452473193,-0.0,0.0,0.0,-20947476.452473193
1998,9,-20324273.20149281,-0.0,0.0,0.0,-20324273.20149281
1998,10,-212833861.50156188,-0.0,0.0,0.0,-212833861.50156185
1998,11,-7369787.7397260275,-0.0,0.0,0.0,-7369787.7397260275
1998,12,-7628666.164383561,-0.0,0.0,0.0,-7628666.164383561
1999,1,-202864743.86646557,-0.0,0.0,0.0,-202864743.86646557
1999,2,0.0,0.0,0.0,0.0,0.0
1999,3,0.0,0.0,0.0,0.0,0.0
1999,4,-197989848.79797244,-0.0,0.0,0.0,-197989848.79797244
1999,5,0.0,0.0,0.0,0.0,0.0
1999,6,0.0,0.0,0.0,0.0,0.0
1999,7,-197989848.79797244,-0.0,0.0,0.0,-197989848.79797244
1999,8,0.0,0.0,0.0,0.0,0.0
1999,9,0.0,0.0,0.0,0.0,0.0
1999,10,-197989848.79797244,-0.0,0.0,0.0,-197989848.79797244
1999,11,0.0,0.0,0.0,0.0,0.0
1999,12,0.0,0.0,0.0,0.0,0.0
2000,1,0.0,-1922765.250505866,559.9796055122348,40318531.59688091,38395766.34637505
2000,2,0.0,-2731399.3262107326,484.47728302158043,34882364.37755379,32150965.051343057
