year,month,CapEx ($),OpEx ($),Energy Production (GWh),Revenue ($),Cash Flow ($)
1995,1,-1433942400.0,-0.0,0.0,0.0,-1433942400.0
1995,2,0.0,0.0,0.0,0.0,0.0
1995,3,0.0,0.0,0.0,0.0,0.0
1995,4,0.0,0.0,0.0,0.0,0.0
1995,5,0.0,0.0,0.0,0.0,0.0
1995,6,0.0,0.0,0.0,0.0,0.0
1995,7,0.0,0.0,0.0,0.0,0.0
1995,8,0.0,0.0,0.0,0.0,0.0
1995,9,0.0,0.0,0.0,0.0,0.0
1995,10,0.0,0.0,0.0,0.0,0.0
1995,11,0.0,0.0,0.0,0.0,0.0
1995,12,0.0,0.0,0.0,0.0,0.0
1996,1,-379148142.2759194,-0.0,0.0,0.0,-379148142.2759194
1996,2,0.0,0.0,0.0,0.0,0.0
1996,3,0.0,0.0,0.0,0.0,0.0
1996,4,-365842823.2759194,-0.0,0.0,0.0,-365842823.2759194
1996,5,0.0,0.0,0.0,0.0,0.0
1996,6,0.0,0.0,0.0,0.0,0.0
1996,7,-379148142.2759194,-0.0,0.0,0.0,-379148142.2759194
1996,8,0.0,0.0,0.0,0.0,0.0
1996,9,0.0,0.0,0.0,0.0,0.0
1996,10,-365842823.2759194,-0.0,0.0,0.0,-365842823.2759194
1996,11,0.0,0.0,0.0,0.0,0.0
1996,12,0.0,0.0,0.0,0.0,0.0
1997,1,-379148142.2759194,-0.0,0.0,0.0,-379148142.2759194
1997,2,0.0,0.0,0.0,0.0,0.0
1997,3,0.0,0.0,0.0,0.0,0.0
1997,4,-365842823.2759194,-0.0,0.0,0.0,-365842823.2759194
1997,5,0.0,0.0,0.0,0.0,0.0
1997,6,0.0,0.0,0.0,0.0,0.0
1997,7,-379148142.2759194,-0.0,0.0,0.0,-379148142.2759194
1997,8,0.0,0.0,0.0,0.0,0.0
1997,9,0.0,0.0,0.0,0.0,0.0
1997,10,-365842823.2759194,-0.0,0.0,0.0,-365842823.2759194
1997,11,0.0,0.0,0.0,0.0,0.0
1997,12,0.0,0.0,0.0,0.0,0.0
1998,1,-397426186.40482515,-0.0,0.0,0.0,-397426186.40482515
1998,2,-15748394.917523634,-0.0,0.0,0.0,-15748394.917523634
1998,3,-17211996.143487547,-0.0,0.0,0.0,-17211996.143487547
1998,4,-382429525.2658599,-0.0,0.0,0.0,-382429525.26585984
1998,5,-14802467.553401563,-0.0,0.0,0.0,-14802467.553401563
1998,6,-11172530.13379779,-0.0,0.0,0.0,-11172530.13379779
1998,7,-382377432.46231973,-0.0,0.0,0.0,-382377432.4623198
1998,8,-20823700.761124443,-0.0,0.0,0.0,-20823700.761124443
1998,9,-25905665.844730623,-0.0,0.0,0.0,-25905665.844730623
1998,10,-392605436.1352277,-0.0,0.0,0.0,-392605436.13522774
1998,11,-25943070.252963647,-0.0,0.0,0.0,-25943070.252963647
1998,12,-26693518.10769702,-0.0,0.0,0.0,-26693518.10769702
1999,1,-392190493.0413668,-0.0,0.0,0.0,-392190493.0413669
1999,2,-18993497.174216796,-0.0,0.0,0.0,-18993497.174216796
1999,3,-20932827.63420674,-0.0,0.0,0.0,-20932827.63420674
1999,4,-386126113.2472791,-0.0,0.0,0.0,-386126113.2472791
1999,5,-21052144.99873344,-0.0,0.0,0.0,-21052144.99873344
1999,6,-19330577.28279928,-0.0,0.0,0.0,-19330577.28279928
1999,7,-381054383.95359445,-0.0,0.0,0.0,-381054383.95359445
1999,8,-14591051.958528303,-0.0,0.0,0.0,-14591051.958528303
1999,9,-15380829.390066467,-0.0,0.0,0.0,-15380829.390066467
1999,10,-374108133.2854152,-0.0,0.0,0.0,-374108133.2854152
1999,11,-7387971.7397260275,-0.0,0.0,0.0,-7387971.7397260275
1999,12,-7641189.164383561,-0.0,0.0,0.0,-7641189.164383561
2000,1,-7596225.164383561,-1086411.8226396646,1049.6258036835316,93479674.07605532,84797037.08903208
2000,2,-7129768.315068493,-1004841.3050802724,911.1851581020693,81150150.18057029,73015540.56042153
2000,3,-7623639.164383561,-12847291.99649967,1045.157316949794,93081710.64754865,72610779.48666541
2000,4,-4846741.397260098,-5975681.652978071,998.5011022360628,88926508.16514376,78104085.1149056
2000,5,0.0,-9636716.969259255,807.9947951409551,71960016.45525347,62323299.48599421
2000,6,0.0,-2902178.354701564,602.418233935617,53651367.914306045,50749189.55960448
2000,7,0.0,-6888870.321600183,506.869414008505,45141790.011597455,38252919.68999727
2000,8,0.0,-5572113.806040713,440.1910243757218,39203412.63090178,33631298.82486107
2000,9,0.0,-10442703.181590363,625.2935888160443,55688647.01995692,45245943.83836655
2000,10,0.0,-7052432.511766526,788.0843074174338,70186788.41859666,63134355.90683013
2000,11,0.0,-6650560.295998838,862.446476609535,76809483.2068452,70158922.91084635
2000,12,0.0,-4995398.847940813,966.7683734841789,86100391.34250097,81104992.49456015
2001,1,0.0,-11037485.86991727,1030.5100336084595,91777223.5931694,80739737.72325213
2001,2,0.0,-6456352.929220408,889.5899402249531,79226880.07643433,72770527.14721392
2001,3,0.0,-9780495.929846002,1019.1351487145649,90764176.34451915,80983680.41467315
2001,4,0.0,-7754745.799695808,986.0699264732949,87819387.65171166,80064641.85201585
2001,5,0.0,-8277867.605940976,799.9673307596497,71245090.47745441,62967222.871513434
2001,6,0.0,-8447170.86307446,593.175746239255,52828231.96006805,44381061.09699359
2001,7,0.0,-4699009.431502932,500.715845499759,44593753.20020854,39894743.76870561
2001,8,0.0,-8281051.459561842,435.47987018661,38783837.23881949,30502785.779257648
2001,9,0.0,-1099729.968788751,614.1989655720515,54700559.8738469,53600829.90505815
2001,10,0.0,-1121622.7965322514,777.0387712450994,69203072.96708855,68081450.17055629
2001,11,0.0,-4784813.536079897,847.9930795761163,75522263.66704892,70737450.13096902
2001,12,0.0,-13277002.30963039,942.1202561693416,83905230.01444156,70628227.70481117
2002,1,0.0,-4087661.4210621268,1033.1151417313908,92009234.52259767,87921573.10153554
2002,2,0.0,-4735471.404954099,891.253307076469,79375019.52823034,74639548.12327623
2002,3,0.0,-15753894.324329155,1014.5986376963347,90360154.67323557,74606260.34890641
2002,4,0.0,-9606924.266630663,981.9515328927986,87452603.51943263,77845679.25280197
2002,5,0.0,-7763093.714422238,799.9449772139839,71243099.67067741,63480005.95625517
2002,6,0.0,-7771083.588911434,594.5069136901609,52946785.73324572,45175702.14433429
2002,7,0.0,-1170762.822943613,500.6434174239067,44587302.755773135,43416539.93282952
2002,8,0.0,-11818520.22180429,434.79333210502864,38722694.15727385,26904173.93546956
2002,9,0.0,-3442184.105979097,613.8215018445596,54666942.95427649,51224758.84829739
2002,10,0.0,-7335972.541867313,774.3453034062787,68963192.72136319,61627220.17949587
2002,11,0.0,-4104965.9798228,847.974285059284,75520589.82737984,71415623.84755704
2002,12,0.0,-10723990.704923576,943.345565662472,84014356.07789977,73290365.3729762
2003,1,0.0,-5069958.419902883,1030.2580216332476,91754779.40665704,86684820.98675416
2003,2,0.0,-4882005.070686132,889.2636226925085,79197818.2369948,74315813.16630867
2003,3,0.0,-6974331.492437344,1018.719639142401,90727171.06202222,83752839.56958488
2003,4,0.0,-6425957.00414736,986.0295960033003,87815795.82005392,81389838.81590655
2003,5,0.0,-9568219.948078025,796.9780199935684,70978862.4606272,61410642.51254918
2003,6,0.0,-1188898.028848697,594.6132417946553,52956255.31423201,51767357.28538331
2003,7,0.0,-2919210.8534477954,500.50458807221196,44574938.6137112,41655727.760263406
2003,8,0.0,-12453841.686157951,433.9470488649661,38647324.171913885,26193482.485755935
2003,9,0.0,-1081582.0507320645,612.5865186014604,54556955.34664606,53475373.295914
2003,10,0.0,-8098206.132524321,772.6128354515471,68808899.12531479,60710692.99279047
2003,11,0.0,-11888243.80716535,842.8745714146623,75066409.33018982,63178165.52302447
2003,12,0.0,-3198687.0554209785,944.6086905367439,84126849.9792024,80928162.92378142
2004,1,0.0,-4067970.102897547,1028.8321898734723,91627794.83013144,87559824.72723389
2004,2,0.0,-3293893.381889678,887.5149876654916,79042084.80148868,75748191.41959901
2004,3,0.0,-5236197.570589323,1018.3965929066272,90698400.56426422,85462202.9936749
2004,4,0.0,-10981531.101469114,980.5152018040591,87324683.8726695,76343152.77120039
2004,5,0.0,-8709504.380594429,796.4642290149375,70933104.23607033,62223599.8554759
2004,6,0.0,-2906414.462852552,594.2846483194693,52926990.77933194,50020576.316479385
2004,7,0.0,-2608213.931371028,499.4811608868523,44483792.18858307,41875578.25721204
2004,8,0.0,-1166550.8236002233,435.7154026019616,38804813.7557307,37638262.93213048
2004,9,0.0,-8945833.969377616,610.6861816960787,54387711.34185278,45441877.37247516
2004,10,0.0,-11762724.83487392,771.0390525401755,68668738.01922803,56906013.184354104
2004,11,0.0,-3309167.502192715,845.4638650403201,75297011.82049091,71987844.31829819
2004,12,0.0,-12026595.32220905,938.4570992514749,83578989.25933637,71552393.93712732
2005,1,0.0,-4741247.151098283,1029.8892578982102,91721937.30841461,86980690.15731633
2005,2,0.0,-8284555.91824981,885.3728667598587,78851307.51363301,70566751.5953832
2005,3,0.0,-6163548.252884744,1017.9054784052088,90654661.9067679,84491113.65388316
2005,4,0.0,-2874583.4396721115,987.1475830644869,87915363.7477232,85040780.3080511
2005,5,0.0,-9403038.695779797,795.2941353891133,70828895.69775444,61425857.00197464
2005,6,0.0,-5787611.502746571,592.506391489824,52768619.22608372,46981007.72333714
