Inputs,Empire Wind 1
FCR,0.0582
Offtake price ($/MWh),83.3
Lease Area Price ($),48611290
Discount rate (%),0.025
# Turbines,54
Turbine Rating (MW),15
Project Capacity (MW),810
# OSS,1
Substructure type,??
Row spacing (rotor diameters),not used for custom layouts
Turbine spacing (rotor diameters),not used for custom layouts
Depth (m),34.9
Mean wind speed (m/s),7.547582618743443
Distance to landfall (km),74
Distance to port (km),75
Interconnection distance (km),1
# of POIs,??
Export cable type,['XLPE_1000m_220kV']
Array cable type,"['XLPE_185mm_66kV', 'XLPE_630mm_66kV']"
