Metrics,Empire Wind 2
# Turbines,85.0
Turbine Rating (MW),15.0
Project Capacity (MW),1275.0
# OSS,1.0
Total Export Cable Length (km),315.1745
Total Array Cable Length (km),165.6435996491649
FCR (%),0.0582
Offtake Price ($/MWh),107.5
CapEx ($),3953159331.525256
CapEx per kW ($/kW),3100.5171227649066
System CapEx for Export Cables ($),267898325.00000003
Installation CapEx for Export Cables ($),19940423.65246305
CapEx Without Export Cables ($),3665320582.872793
OpEx ($),1310301101.4842293
OpEx per kW ($/kW),1027.6871384190033
Annual OpEx per kW ($/kW),48.9374827818573
Energy Availability (%),0.9539203521117081
Gross Capacity Factor (%),0.4098311587307261
Net Capacity Factor Without Unmodeled Losses (%),0.39085281152436213
Annual Losses (MWh),670233.8156400082
AEP (MWh),3910753.4914969467
AEP per kW (MWh/kW),3.0672576403897622
Net Capacity Factor With All Losses (%),0.34986969565128906
LCOE ($/MWh),74.78588570656432
IRR (%),0.005391845622271463
NPV ($),-1842615069.2809718
