year,month,CapEx ($),OpEx ($),Energy Production (GWh),Revenue ($),Cash Flow ($)
1995,1,-692529000.0,-0.0,0.0,0.0,-692529000.0
1995,2,0.0,0.0,0.0,0.0,0.0
1995,3,0.0,0.0,0.0,0.0,0.0
1995,4,0.0,0.0,0.0,0.0,0.0
1995,5,0.0,0.0,0.0,0.0,0.0
1995,6,0.0,0.0,0.0,0.0,0.0
1995,7,0.0,0.0,0.0,0.0,0.0
1995,8,0.0,0.0,0.0,0.0,0.0
1995,9,0.0,0.0,0.0,0.0,0.0
1995,10,0.0,0.0,0.0,0.0,0.0
1995,11,0.0,0.0,0.0,0.0,0.0
1995,12,0.0,0.0,0.0,0.0,0.0
1996,1,-208648338.2426635,-0.0,0.0,0.0,-208648338.2426635
1996,2,0.0,0.0,0.0,0.0,0.0
1996,3,0.0,0.0,0.0,0.0,0.0
1996,4,-183683015.7426635,-0.0,0.0,0.0,-183683015.7426635
1996,5,0.0,0.0,0.0,0.0,0.0
1996,6,0.0,0.0,0.0,0.0,0.0
1996,7,-208648338.2426635,-0.0,0.0,0.0,-208648338.2426635
1996,8,0.0,0.0,0.0,0.0,0.0
1996,9,0.0,0.0,0.0,0.0,0.0
1996,10,-183683015.7426635,-0.0,0.0,0.0,-183683015.7426635
1996,11,0.0,0.0,0.0,0.0,0.0
1996,12,0.0,0.0,0.0,0.0,0.0
1997,1,-208648338.2426635,-0.0,0.0,0.0,-208648338.2426635
1997,2,0.0,0.0,0.0,0.0,0.0
1997,3,0.0,0.0,0.0,0.0,0.0
1997,4,-183683015.7426635,-0.0,0.0,0.0,-183683015.7426635
1997,5,0.0,0.0,0.0,0.0,0.0
1997,6,0.0,0.0,0.0,0.0,0.0
1997,7,-208648338.2426635,-0.0,0.0,0.0,-208648338.2426635
1997,8,0.0,0.0,0.0,0.0,0.0
1997,9,0.0,0.0,0.0,0.0,0.0
1997,10,-183683015.7426635,-0.0,0.0,0.0,-183683015.7426635
1997,11,0.0,0.0,0.0,0.0,0.0
1997,12,0.0,0.0,0.0,0.0,0.0
1998,1,-211401028.2265214,-0.0,0.0,0.0,-211401028.22652137
1998,2,-15251525.24094003,-0.0,0.0,0.0,-15251525.24094003
1998,3,-19599010.357826516,-0.0,0.0,0.0,-19599010.357826516
1998,4,-208510070.2549029,-0.0,0.0,0.0,-208510070.2549029
1998,5,-26763137.786507644,-0.0,0.0,0.0,-26763137.786507644
1998,6,-22301460.39018458,-0.0,0.0,0.0,-22301460.39018458
1998,7,-204649616.49442366,-0.0,0.0,0.0,-204649616.49442366
1998,8,-21026407.06737776,-0.0,0.0,0.0,-21026407.06737776
1998,9,-18376956.211763784,-0.0,0.0,0.0,-18376956.211763784
1998,10,-191282821.9070471,-0.0,0.0,0.0,-191282821.90704706
1998,11,-7394112.7397260275,-0.0,0.0,0.0,-7394112.7397260275
1998,12,-7595761.164383561,-0.0,0.0,0.0,-7595761.164383561
1999,1,-186103960.51435292,-0.0,0.0,0.0,-186103960.51435292
1999,2,0.0,0.0,0.0,0.0,0.0
1999,3,0.0,0.0,0.0,0.0,0.0
1999,4,-183683015.7426635,-0.0,0.0,0.0,-183683015.7426635
1999,5,0.0,0.0,0.0,0.0,0.0
1999,6,0.0,0.0,0.0,0.0,0.0
1999,7,-183683015.7426635,-0.0,0.0,0.0,-183683015.7426635
1999,8,0.0,0.0,0.0,0.0,0.0
1999,9,0.0,0.0,0.0,0.0,0.0
1999,10,-183683015.7426635,-0.0,0.0,0.0,-183683015.7426635
1999,11,0.0,0.0,0.0,0.0,0.0
1999,12,0.0,0.0,0.0,0.0,0.0
2000,1,0.0,-1088571.7075214644,477.3865155049085,51319050.41677766,50230478.7092562
2000,2,0.0,-972681.2878835892,421.7575043539314,45338931.71804763,44366250.43016404
2000,3,0.0,-1061122.6249660146,461.560968976049,49617804.16492527,48556681.53995925
2000,4,0.0,-977421.9828035355,416.6037838991134,44784906.76915469,43807484.78635115
2000,5,0.0,-1077922.7375537697,345.01509127225154,37089122.31176704,36011199.574213274
2000,6,0.0,-5312566.0926548205,288.4325787107052,31006502.211400803,25693936.118745983
2000,7,0.0,-6023058.453993873,254.01340357363256,27306440.8841655,21283382.430171628
2000,8,0.0,-5172861.037509971,220.01345200928145,23651446.090997756,18478585.053487785
2000,9,0.0,-12279782.68648512,269.4209229299275,28962749.214967202,16682966.528482083
2000,10,0.0,-1261544.0581194838,403.76820174208166,43405081.68727378,42143537.629154295
2000,11,0.0,-9005834.589146746,426.7422103110723,45874787.60844027,36868953.019293524
2000,12,0.0,-10793089.109417425,473.6435202790469,50916678.42999754,40123589.32058012
2001,1,0.0,-2884592.424603874,456.3360527016985,49056125.66543259,46171533.240828715
2001,2,0.0,-9848127.99128909,388.316724691081,41744047.904291205,31895919.913002115
2001,3,0.0,-6682859.262919508,430.0322948031169,46228471.69133507,39545612.42841556
2001,4,0.0,-2429611.502180001,409.9021648139459,44064482.71749918,41634871.21531918
2001,5,0.0,-10681698.922611654,343.38934106555166,36914354.1645468,26232655.24193515
2001,6,0.0,-974901.8629153571,291.0824958013246,31291368.298642397,30316466.43572704
2001,7,0.0,-1021642.7611673574,254.02114214294002,27307272.780366052,26285630.019198693
2001,8,0.0,-3471932.744698517,216.4208069362204,23265236.745643694,19793304.000945177
2001,9,0.0,-10670260.726147033,269.7766201566725,29000986.666842293,18330725.94069526
2001,10,0.0,-1002922.647856571,408.1198727779337,43872886.323627874,42869963.6757713
2001,11,0.0,-5446350.872427407,427.18329220485145,45922203.91202153,40475853.03959413
2001,12,0.0,-3821885.8176945033,478.51447205831147,51440305.74626848,47618419.92857398
2002,1,0.0,-10557725.37681785,460.37883834120174,49490725.12167919,38932999.744861335
2002,2,0.0,-4213657.851790173,387.42167175719317,41647829.713898264,37434171.86210809
2002,3,0.0,-3437742.356224151,428.8674442190652,46103250.25354951,42665507.89732536
2002,4,0.0,-3284742.735616699,395.68122227843855,42535731.39493214,39250988.659315445
2002,5,0.0,-3305722.7412528154,346.5516777558593,37254305.35875488,33948582.61750206
2002,6,0.0,-4260259.209486335,289.1830284064485,31087175.553693213,26826916.344206877
2002,7,0.0,-7280694.3052338585,252.203403335916,27111865.85861097,19831171.55337711
2002,8,0.0,-6147467.3440139275,218.42132017298258,23480291.918595627,17332824.574581698
2002,9,0.0,-5901482.15220535,270.8522509326198,29116616.975256633,23215134.82305128
2002,10,0.0,-9634355.249726636,402.52342807221174,43271268.517762765,33636913.26803613
2002,11,0.0,-10632475.49276573,426.27760759993964,45824842.81699351,35192367.32422778
2002,12,0.0,-1075786.7665394903,473.2430595576746,50873628.902450025,49797842.13591053
2003,1,0.0,-4796577.347845578,475.64338217027216,51131663.583304256,46335086.23545868
2003,2,0.0,-8926213.421149267,387.6485926611456,41672223.71107315,32746010.289923884
2003,3,0.0,-2890072.00720476,432.5928650743438,46503732.99549196,43613660.988287196
2003,4,0.0,-1760933.349447546,391.1246542806432,42045900.335169144,40284966.985721596
2003,5,0.0,-1608561.0041335982,333.3130936341919,35831157.56567563,34222596.561542034
2003,6,0.0,-11480930.46468839,287.2071271270541,30874766.166158315,19393835.701469924
2003,7,0.0,-2556680.4348152564,253.82663965220354,27286363.76261188,24729683.327796623
2003,8,0.0,-4698218.397393216,217.19243278386284,23348186.524265256,18649968.12687204
2003,9,0.0,-10126821.714001382,268.08489342637984,28819126.043335833,18692304.329334453
2003,10,0.0,-1589358.8125295767,407.79461433693365,43837921.04122037,42248562.22869079
2003,11,0.0,-8790456.050888462,423.25779368473326,45500212.821108826,36709756.77022036
2003,12,0.0,-1108654.7019924251,472.4361580987459,50786886.995615184,49678232.29362276
2004,1,0.0,-2358572.2533425745,479.5392912397602,51550473.80827422,49191901.55493164
