Metrics,Empire Wind
# Turbines,139.0
Turbine Rating (MW),15.0
Project Capacity (MW),2085.0
# OSS,2.0
Total Export Cable Length (km),540.2792000000001
Total Array Cable Length (km),310.30392153800005
FCR (%),0.0582
Offtake Price ($/MWh),97.99
CapEx ($),6319721993.771889
CapEx per kW ($/kW),3031.041723631601
System CapEx for Export Cables ($),459237320.0
Installation CapEx for Export Cables ($),30328372.407376684
CapEx Without Export Cables ($),5830156301.364512
OpEx ($),1684569763.713713
OpEx per kW ($/kW),807.9471288794787
Annual OpEx per kW ($/kW),38.4736728037847
Energy Availability (%),0.9504781268130731
Gross Capacity Factor (%),0.35740251528617784
Net Capacity Factor Without Unmodeled Losses (%),0.33960465486346564
Annual Losses (MWh),978617.641581253
AEP (MWh),5554306.17393322
AEP per kW (MWh/kW),2.6639358148360768
Net Capacity Factor With All Losses (%),0.3038644033348441
LCOE ($/MWh),80.6627171429678
IRR (%),0.0038493071139467094
NPV ($),-3035950528.1263723
