year,month,CapEx ($),OpEx ($),Energy Production (GWh),Revenue ($),Cash Flow ($)
1995,1,-1132488599.9999998,-0.0,0.0,0.0,-1132488599.9999998
1995,2,0.0,0.0,0.0,0.0,0.0
1995,3,0.0,0.0,0.0,0.0,0.0
1995,4,0.0,0.0,0.0,0.0,0.0
1995,5,0.0,0.0,0.0,0.0,0.0
1995,6,0.0,0.0,0.0,0.0,0.0
1995,7,0.0,0.0,0.0,0.0,0.0
1995,8,0.0,0.0,0.0,0.0,0.0
1995,9,0.0,0.0,0.0,0.0,0.0
1995,10,0.0,0.0,0.0,0.0,0.0
1995,11,0.0,0.0,0.0,0.0,0.0
1995,12,0.0,0.0,0.0,0.0,0.0
1996,1,-321501850.7847079,-0.0,0.0,0.0,-321501850.7847079
1996,2,0.0,0.0,0.0,0.0,0.0
1996,3,0.0,0.0,0.0,0.0,0.0
1996,4,-296536528.2847079,-0.0,0.0,0.0,-296536528.2847079
1996,5,0.0,0.0,0.0,0.0,0.0
1996,6,0.0,0.0,0.0,0.0,0.0
1996,7,-321501850.7847079,-0.0,0.0,0.0,-321501850.7847079
1996,8,0.0,0.0,0.0,0.0,0.0
1996,9,0.0,0.0,0.0,0.0,0.0
1996,10,-296536528.2847079,-0.0,0.0,0.0,-296536528.2847079
1996,11,0.0,0.0,0.0,0.0,0.0
1996,12,0.0,0.0,0.0,0.0,0.0
1997,1,-321501850.7847079,-0.0,0.0,0.0,-321501850.7847079
1997,2,0.0,0.0,0.0,0.0,0.0
1997,3,0.0,0.0,0.0,0.0,0.0
1997,4,-296536528.2847079,-0.0,0.0,0.0,-296536528.2847079
1997,5,0.0,0.0,0.0,0.0,0.0
1997,6,0.0,0.0,0.0,0.0,0.0
1997,7,-321501850.7847079,-0.0,0.0,0.0,-321501850.7847079
1997,8,0.0,0.0,0.0,0.0,0.0
1997,9,0.0,0.0,0.0,0.0,0.0
1997,10,-296536528.2847079,-0.0,0.0,0.0,-296536528.2847079
1997,11,0.0,0.0,0.0,0.0,0.0
1997,12,0.0,0.0,0.0,0.0,0.0
1998,1,-332359647.44935423,-0.0,0.0,0.0,-332359647.44935423
