Inputs,Revolution Wind,CVOW C,Sunrise Wind,Kitty Hawk North,Marwin,Momentum Wind,Future Development,US Wind,Park City,Commonwealth,New England,Empire Wind 1,Empire Wind 2,Empire Wind,Atlantic Shores South 1,Atlantic Shores South 2,Atlantic Shores South,Mayflower Wind 1,Mayflower Wind 2,Mayflower Wind,Ocean Wind 1
FCR,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582
Offtake price ($/MWh),99.03,89.06,83.3,89.06,131.9,71.6,86.7,86.7,79.8,72,75.07,83.3,107.5,97.99,58.8,58.8,58.8,58.4,77,64.56,116.8
Lease Area Price ($),1903181,1971276,1903181,10592835,10553535,10553535,10553535,10553535,182336,182336,182336,48611290,48611290,48611290,1205011,1205011,1205011,154525000,154525000,154525000,1054690
Discount rate (%),0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
# Turbines,79,176,102,69,21,55,38,114,50,78,128,54,85,139,136,64,200,80,67,147,98
Turbine Rating (MW),11,15,11,15,15,15,15,15,16,16,16,15,15,15,15,15,15,15,15,15,12
Project Capacity (MW),869,2640,1122,1035,315,825,570,1710,800,1248,2048,810,1275,2085,2040,960,3000,1200,1005,2205,1176
# OSS,2,3,1,1,1,2,1,4,1,1,2,1,1,2,2,1,3,1,1,2,3
Substructure type,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??
Row spacing (rotor diameters),not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts
Turbine spacing (rotor diameters),not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts
Depth (m),34.7,28.64,47.52,34.93,25.04,25.04,25.04,25.04,51.1,51.1,51.1,34.9,34.9,34.9,24.36,24.36,24.36,50.59,50.59,50.59,26.381765177291
Mean wind speed (m/s),8.996010967057243,8.168117143172747,8.996010967057243,8.371018229890675,8.587894570207704,7.261211463442823,7.261211463442823,7.261211463442823,9.15166971905148,8.996010967057243,9.15166971905148,7.547582618743443,8.176109289572958,7.547582618743443,7.996682151675415,7.996682151675415,7.996682151675415,9.15166971905148,9.21673306772638,9.15166971905148,8.586498120787025
Distance to landfall (km),74.31,58,169,89,41,41,41,41,93,93,93,74,54,74,31,99,31,88,154,88,36
Distance to port (km),82,108,103,141,252,252,252,252,100,100,100,75,75,75,147,147,147,208,208,208,214
Interconnection distance (km),2,8,28,9,17,17,17,17,17,17,17,1,9,1,19,19,19,4,2,4,7
# of POIs,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??
Export cable type,['XLPE_1900mm_275kV'],['XLPE_1000m_220kV'],['HVDC_2000mm_320kV'],['XLPE_1900mm_275kV'],['XLPE_1900mm_275kV'],['XLPE_1900mm_275kV'],['XLPE_1900mm_275kV'],['XLPE_1900mm_275kV'],['XLPE_1000m_220kV'],['XLPE_1000m_220kV'],['XLPE_1000m_220kV'],['XLPE_1000m_220kV'],['XLPE_1000m_220kV'],['XLPE_1000m_220kV'],['XLPE_1900mm_275kV'],['XLPE_1900mm_275kV'],['XLPE_1900mm_275kV'],['XLPE_1900mm_275kV'],['HVDC_2000mm_320kV'],['XLPE_1900mm_275kV'],['XLPE_1900mm_275kV']
Array cable type,"['XLPE_185mm_66kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_500mm_132kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_500mm_132kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_500mm_132kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_500mm_132kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_500mm_132kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_500mm_132kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_500mm_132kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_500mm_132kV', 'XLPE_630mm_66kV']"
