Inputs,Empire Wind,Atlantic Shores South,Mayflower Wind
FCR,0.0582,0.0582,0.0582
Offtake price ($/MWh),97.99,58.8,64.56
Lease Area Price ($),48611290,1205011,154525000
Discount rate (%),0.025,0.025,0.025
# Turbines,139,200,147
Turbine Rating (MW),15,15,15
Project Capacity (MW),2085,3000,2205
# OSS,2,3,2
Substructure type,??,??,??
Row spacing (rotor diameters),not used for custom layouts,not used for custom layouts,not used for custom layouts
Turbine spacing (rotor diameters),not used for custom layouts,not used for custom layouts,not used for custom layouts
Depth (m),34.9,24.36,50.59
Mean wind speed (m/s),7.547582618743443,7.996682151675415,9.15166971905148
Distance to landfall (km),74,31,88
Distance to port (km),75,147,208
Interconnection distance (km),1,19,4
# of POIs,??,??,??
Export cable type,['XLPE_1000m_220kV'],['XLPE_1900mm_275kV'],['XLPE_1900mm_275kV']
Array cable type,"['XLPE_185mm_66kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_500mm_132kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_630mm_66kV']"
