Inputs,Revolution Wind,CVOW C,Sunrise Wind,Kitty Hawk North,Marwin,Momentum Wind,Future Development,US Wind,Park City,Commonwealth,New England,Empire Wind 1,Empire Wind 2,Atlantic Shores South 1,Atlantic Shores South 2,Mayflower Wind 1,Mayflower Wind 2
FCR,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582
Offtake price ($/MWh),99.03,89.06,83.3,89.06,131.9,71.6,86.7,86.7,79.9,72,75.07,83.3,107.5,58.8,58.8,80,80
Lease Area Price ($),1903181,1971276,1903181,10592835,10553535,10553535,10553535,10553535,182336,182336,182336,48611290,48611290,1205011,1205011,154525000,154525000
Discount rate (%),0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
# Turbines,79,176,102,69,21,55,38,114,50,78,128,54,85,136,64,80,67
Turbine Rating (MW),11,15,11,15,15,15,15,15,16,16,16,15,15,15,15,15,15
Project Capacity (MW),869,2640,1122,1035,315,825,570,1710,800,1248,2048,810,1275,2040,960,1200,1005
# OSS,2,6,3,3,1,2,2,4,2,3,5,2,3,5,2,3,3
Substructure type,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??
Row spacing (rotor diameters),not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts
Turbine spacing (rotor diameters),not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts,not used for custom layouts
Depth (m),34.7,28.64,47.52,34.93,25.04,25.04,25.04,25.04,51.1,51.1,51.1,34.9,34.9,24.36,24.36,50.59,50.59
Mean wind speed (m/s),8.586498120936913,8.586498120936913,8.586498120936913,8.586498120936913,8.586498120936913,8.586498120936913,8.586498120936913,8.586498120936913,8.586498120936913,8.586498120936913,8.586498120936913,8.586498120936913,8.586498120936913,8.586498120936913,8.586498120936913,8.586498120936913,8.586498120936913
Distance to landfall (km),74.31,58,169,89,41,41,41,41,93,93,93,74,54,31,99,88,154
Distance to port (km),82,108,103,141,252,252,252,252,100,100,100,75,75,147,147,208,208
Interconnection distance (km),2,8,28,9,17,17,17,17,17,17,17,1,1,19,19,4,2
# of POIs,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??
Export cable type,['XLPE_1000m_220kV'],['XLPE_1000m_220kV'],['XLPE_1000m_220kV'],['XLPE_1000m_220kV'],['XLPE_1000m_220kV'],['XLPE_1000m_220kV'],['XLPE_1000m_220kV'],['XLPE_1000m_220kV'],['XLPE_1000m_220kV'],['XLPE_1000m_220kV'],['XLPE_1000m_220kV'],['XLPE_1000m_220kV'],['XLPE_1000m_220kV'],['XLPE_1000m_220kV'],['XLPE_1000m_220kV'],['XLPE_1000m_220kV'],['XLPE_1000m_220kV']
Array cable type,"['XLPE_185mm_66kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_630mm_66kV']",['XLPE_500mm_132kV'],['XLPE_500mm_132kV'],['XLPE_500mm_132kV'],['XLPE_500mm_132kV'],['XLPE_500mm_132kV'],['XLPE_500mm_132kV'],['XLPE_500mm_132kV'],['XLPE_500mm_132kV'],"['XLPE_185mm_66kV', 'XLPE_630mm_66kV']","['XLPE_185mm_66kV', 'XLPE_630mm_66kV']",['XLPE_500mm_132kV'],['XLPE_500mm_132kV'],['XLPE_500mm_132kV'],['XLPE_500mm_132kV']
