Inputs,Kitty Hawk North
FCR,0.0582
Offtake price ($/MWh),89.06
Lease Area Price ($),10592835
Discount rate (%),0.025
# Turbines,69
Turbine Rating (MW),15
Project Capacity (MW),1035
# OSS,1
Substructure type,??
Row spacing (rotor diameters),not used for custom layouts
Turbine spacing (rotor diameters),not used for custom layouts
Depth (m),34.93
Mean wind speed (m/s),8.371018229890675
Distance to landfall (km),89
Distance to port (km),141
Interconnection distance (km),9
# of POIs,??
Export cable type,['XLPE_1900mm_275kV']
Array cable type,"['XLPE_185mm_66kV', 'XLPE_630mm_66kV']"
