Metrics,Kitty Hawk North
# Turbines,69.0
Turbine Rating (MW),15.0
Project Capacity (MW),1035.0
# OSS,1.0
Total Export Cable Length (km),294.10479
Total Array Cable Length (km),251.13957985476534
FCR (%),0.0582
Offtake Price ($/MWh),89.06
CapEx ($),3591735599.640486
CapEx per kW ($/kW),3470.275941681629
System CapEx for Export Cables ($),499978142.99999994
Installation CapEx for Export Cables ($),29851871.117755294
CapEx Without Export Cables ($),3061905585.5227304
OpEx ($),1224412482.1536582
OpEx per kW ($/kW),1183.0072291339693
Annual OpEx per kW ($/kW),56.33367757780806
Energy Availability (%),0.9415500838921752
Gross Capacity Factor (%),0.45877102085403165
Net Capacity Factor Without Unmodeled Losses (%),0.43185527074829344
Annual Losses (MWh),660500.2949472095
AEP (MWh),3502249.0062016724
AEP per kW (MWh/kW),3.383815464929152
Net Capacity Factor With All Losses (%),0.3859781686628891
LCOE ($/MWh),76.3350543375707
IRR (%),0.0036444377910329617
NPV ($),-1686875521.719947
