year,month,CapEx ($),OpEx ($),Energy Production (GWh),Revenue ($),Cash Flow ($)
1995,1,-562170600.0,-0.0,0.0,0.0,-562170600.0
1995,2,0.0,0.0,0.0,0.0,0.0
1995,3,0.0,0.0,0.0,0.0,0.0
1995,4,0.0,0.0,0.0,0.0,0.0
1995,5,0.0,0.0,0.0,0.0,0.0
1995,6,0.0,0.0,0.0,0.0,0.0
1995,7,0.0,0.0,0.0,0.0,0.0
1995,8,0.0,0.0,0.0,0.0,0.0
1995,9,0.0,0.0,0.0,0.0,0.0
1995,10,0.0,0.0,0.0,0.0,0.0
1995,11,0.0,0.0,0.0,0.0,0.0
1995,12,0.0,0.0,0.0,0.0,0.0
1996,1,-185841695.1974374,-0.0,0.0,0.0,-185841695.1974374
1996,2,0.0,0.0,0.0,0.0,0.0
1996,3,0.0,0.0,0.0,0.0,0.0
1996,4,-170380986.4474374,-0.0,0.0,0.0,-170380986.4474374
1996,5,0.0,0.0,0.0,0.0,0.0
1996,6,0.0,0.0,0.0,0.0,0.0
1996,7,-185841695.1974374,-0.0,0.0,0.0,-185841695.1974374
1996,8,0.0,0.0,0.0,0.0,0.0
1996,9,0.0,0.0,0.0,0.0,0.0
1996,10,-170380986.4474374,-0.0,0.0,0.0,-170380986.4474374
1996,11,0.0,0.0,0.0,0.0,0.0
1996,12,0.0,0.0,0.0,0.0,0.0
1997,1,-185841695.1974374,-0.0,0.0,0.0,-185841695.1974374
1997,2,0.0,0.0,0.0,0.0,0.0
1997,3,0.0,0.0,0.0,0.0,0.0
1997,4,-170380986.4474374,-0.0,0.0,0.0,-170380986.4474374
1997,5,0.0,0.0,0.0,0.0,0.0
1997,6,0.0,0.0,0.0,0.0,0.0
1997,7,-185841695.1974374,-0.0,0.0,0.0,-185841695.1974374
1997,8,0.0,0.0,0.0,0.0,0.0
1997,9,0.0,0.0,0.0,0.0,0.0
1997,10,-170380986.4474374,-0.0,0.0,0.0,-170380986.4474374
1997,11,0.0,0.0,0.0,0.0,0.0
1997,12,0.0,0.0,0.0,0.0,0.0
1998,1,-199444435.75107098,-0.0,0.0,0.0,-199444435.75107095
1998,2,-15587345.400097445,-0.0,0.0,0.0,-15587345.400097445
1998,3,-17227341.668347582,-0.0,0.0,0.0,-17227341.668347582
1998,4,-190574478.37346566,-0.0,0.0,0.0,-190574478.37346566
1998,5,-28941793.338980984,-0.0,0.0,0.0,-28941793.338980984
1998,6,-25956992.821098827,-0.0,0.0,0.0,-25956992.821098827
1998,7,-197064203.64944613,-0.0,0.0,0.0,-197064203.6494461
1998,8,-22452318.51078511,-0.0,0.0,0.0,-22452318.51078511
1998,9,-20191001.120759554,-0.0,0.0,0.0,-20191001.120759554
1998,10,-187737335.965952,-0.0,0.0,0.0,-187737335.965952
1998,11,-7420161.2397260275,-0.0,0.0,0.0,-7420161.2397260275
1998,12,-7590396.664383562,-0.0,0.0,0.0,-7590396.664383562
1999,1,-173343509.21456057,-0.0,0.0,0.0,-173343509.21456057
1999,2,0.0,0.0,0.0,0.0,0.0
1999,3,0.0,0.0,0.0,0.0,0.0
1999,4,-170380986.4474374,-0.0,0.0,0.0,-170380986.4474374
1999,5,0.0,0.0,0.0,0.0,0.0
1999,6,0.0,0.0,0.0,0.0,0.0
1999,7,-170380986.4474374,-0.0,0.0,0.0,-170380986.4474374
1999,8,0.0,0.0,0.0,0.0,0.0
1999,9,0.0,0.0,0.0,0.0,0.0
1999,10,-170380986.4474374,-0.0,0.0,0.0,-170380986.4474374
1999,11,0.0,0.0,0.0,0.0,0.0
1999,12,0.0,0.0,0.0,0.0,0.0
2000,1,0.0,-1026171.4187185398,418.7991683829609,37298253.9361865,36272082.51746796
2000,2,0.0,-934400.9473875735,379.7600099261623,33821426.48402402,32887025.536636446
2000,3,0.0,-1007602.2864861598,431.12604931565465,38396085.952052206,37388483.66556605
2000,4,0.0,-1842422.172627164,415.6070833943827,37013966.84710372,35171544.67447656
2000,5,0.0,-2866491.8121684766,340.6055111181457,30334326.82018206,27467835.008013584
2000,6,0.0,-9394742.127243439,260.3634679421836,23187970.45493087,13793228.327687433
2000,7,0.0,-3878180.046744217,246.16951020938535,21923856.579247862,18045676.532503646
2000,8,0.0,-9999358.47579929,193.87925567509498,17266886.51042396,7267528.034624668
2000,9,0.0,-4447933.487350543,261.98521228255385,23332403.005884245,18884469.518533703
2000,10,0.0,-3405569.3812308125,319.6051944631348,28464038.618886787,25058469.237655975
2000,11,0.0,-2791513.112618937,352.9294015199942,31431892.499370683,28640379.386751745
2000,12,0.0,-1822448.606753651,403.09226244962036,35899396.89376319,34076948.28700954
2001,1,0.0,-1074882.2838882315,402.2584622978675,35825138.65224808,34750256.36835985
2001,2,0.0,-1017412.2942643742,350.6972820577461,31233099.940062873,30215687.6457985
2001,3,0.0,-1829425.8287643408,399.2376496274538,35556105.075821035,33726679.24705669
2001,4,0.0,-12292894.609679341,383.0481243276711,34114265.952622384,21821371.342943043
2001,5,0.0,-7272530.85809573,341.18476071671245,30385914.789430413,23113383.93133468
2001,6,0.0,-7483732.9274112005,264.501779521043,23556528.48414409,16072795.556732891
2001,7,0.0,-7421980.191560521,244.38892346228363,21765277.52355098,14343297.331990458
2001,8,0.0,-1007122.3736266347,195.5477242010676,17415480.317347083,16408357.943720449
2001,9,0.0,-972981.6404659518,263.1907301374302,23439766.42603953,22466784.78557358
2001,10,0.0,-1017730.3597224631,321.9296668236288,28671056.127312377,27653325.767589916
2001,11,0.0,-981021.6152640765,354.02647130581914,31529597.534496255,30548575.91923218
2001,12,0.0,-1029082.3282990032,397.5581836071222,35406531.83205031,34377449.50375131
2002,1,0.0,-6891508.18726395,412.88897655603984,36771892.25208091,29880384.06481696
2002,2,0.0,-11168916.328344349,342.9801420773565,30545811.453409374,19376895.125065025
2002,3,0.0,-5341536.389654478,392.52325930481203,34958121.47368656,29616585.08403208
2002,4,0.0,-12756899.626192387,377.1851022340896,33592105.20496802,20835205.578775633
2002,5,0.0,-8676239.55576992,339.4522000731215,30231612.938512202,21555373.382742282
2002,6,0.0,-12192268.647518992,262.3400795288134,23364007.482836124,11171738.835317131
2002,7,0.0,-2654991.6227383446,245.8351493415821,21894078.400361303,19239086.77762296
2002,8,0.0,-2581235.8955351706,196.8137431672504,17528231.966475323,14946996.070940152
2002,9,0.0,-10874999.811168944,262.9363985964842,23417115.659002885,12542115.84783394
2002,10,0.0,-4745628.026441932,322.5893093387945,28729803.889713038,23984175.863271106
2002,11,0.0,-969621.6317003183,351.5614311913816,31310061.061904445,30340439.430204127
2002,12,0.0,-5541294.777728231,399.7895561636668,35605257.87193617,30063963.094207942
2003,1,0.0,-11510136.029612865,418.3579255210211,37258956.84690214,25748820.817289274
2003,2,0.0,-2497006.70339666,351.9830372874058,31347609.30081636,28850602.5974197
2003,3,0.0,-1104554.343938529,399.85860527731575,35611407.38599774,34506853.04205921
2003,4,0.0,-1505468.7754649827,388.5349460811949,34602922.297991216,33097453.522526234
2003,5,0.0,-8830963.816250095,317.8263992365363,28305619.116005924,19474655.299755827
2003,6,0.0,-984021.541673721,267.05260846951614,23783705.31029511,22799683.76862139
2003,7,0.0,-1591180.3719446622,242.29236862676822,21578558.34989998,19987377.97795532
2003,8,0.0,-10531700.002639959,194.00159532967874,17277782.08006119,6746082.077421231
2003,9,0.0,-6627998.971532333,260.25688007760914,23178477.739711873,16550478.76817954
2003,10,0.0,-4246546.966545303,319.98787063835374,28498119.759051785,24251572.792506482
2003,11,0.0,-6134029.526744738,345.19751611513,30743290.785213478,24609261.25846874
2003,12,0.0,-1031002.3131024502,396.3436317425283,35298363.84298957,34267361.529887125
2004,1,0.0,-1014322.3651379212,432.50831519051707,38519190.55086745,37504868.18572953
2004,2,0.0,-967480.8227788744,365.5491977313099,32555811.54995046,31588330.72717159
2004,3,0.0,-3024285.6635193997,395.2735741890064,35203064.51727291,32178778.85375351
2004,4,0.0,-3325469.633055281,383.72165944213714,34174250.989916734,30848781.356861454
2004,5,0.0,-3505798.3540846123,312.57083026993354,27837558.143840283,24331759.789755672
2004,6,0.0,-3232181.6378675285,264.6641527745714,23570989.446103327,20338807.808235798
2004,7,0.0,-9873409.421830479,241.7935499652631,21534133.559906334,11660724.138075855
2004,8,0.0,-2870331.3534564,193.89292411626332,17268103.82179441,14397772.468338009
2004,9,0.0,-2815202.2878963775,258.5185588282665,23023662.849245418,20208460.56134904
2004,10,0.0,-1534347.179702398,317.3053192205464,28259211.729781862,26724864.550079465
2004,11,0.0,-977661.6046538402,352.8289688064208,31422947.961899836,30445286.357245997
2004,12,0.0,-1022242.2705937009,396.22082608885165,35287426.77147313,34265184.50087943
2005,1,0.0,-1057462.4155347715,431.31188127346803,38412636.14621507,37355173.730680294
2005,2,0.0,-1676900.3539990806,377.2554757889949,33598372.67376789,31921472.319768805
2005,3,0.0,-2959521.0201206068,402.08434404424594,35809631.68058055,32850110.660459943
2005,4,0.0,-10388999.737373602,382.49633361618004,34065123.471857,23676123.734483395
2005,5,0.0,-7703673.2520544715,314.4405176353402,28004072.5006034,20300399.24854893
2005,6,0.0,-1026741.6165658836,248.13564404915545,22098960.459017783,21072218.8424519
2005,7,0.0,-1005682.4293217277,244.41445824617657,21767551.651404485,20761869.222082756
2005,8,0.0,-1010722.3744053586,195.97057662184406,17453139.553941432,16442417.179536074
2005,9,0.0,-5359491.317788182,263.14260289678487,23435480.21398766,18075988.89619948
2005,10,0.0,-11084859.603294015,311.10012187316306,27706576.8540239,16621717.250729885
2005,11,0.0,-3051057.366885646,349.10684168884205,31091455.320808273,28040397.953922626
2005,12,0.0,-1010722.3460629014,402.65067152138164,35860068.80569425,34849346.45963135
2006,1,0.0,-1010842.3852482283,432.6234308911256,38529442.75516365,37518600.36991542
2006,2,0.0,-920660.1881601593,376.3429353098945,33517101.818699203,32596441.630539045
2006,3,0.0,-995102.3144496444,425.96340566726195,37936300.90872635,36941198.594276704
2006,4,0.0,-11693339.418978075,378.7636727957612,33732692.69919049,22039353.280212417
2006,5,0.0,-4816726.604951542,311.62416765550967,27753248.371399693,22936521.76644815
2006,6,0.0,-3297222.4428918036,242.30937156693886,21580072.63175158,18282850.188859776
2006,7,0.0,-3428706.3422048367,231.9587855531605,20658249.441364475,17229543.09915964
2006,8,0.0,-9415643.96240627,191.41808805179718,17047694.921893056,7632050.959486786
2006,9,0.0,-981981.5816123358,259.74546262540616,23132930.901418675,22150949.319806337
2006,10,0.0,-1005442.3393806578,322.33096373923047,28706795.630615868,27701353.29123521
2006,11,0.0,-1003701.6100463199,352.6131071199818,31403723.32010558,30400021.71005926
2006,12,0.0,-1665579.9274774245,401.4835008097991,35756120.58212071,34090540.65464328
2007,1,0.0,-11437783.392507497,427.9396580584456,38112305.946685165,26674522.554177668
2007,2,0.0,-5547734.132139364,375.7152844046558,33461203.229078647,27913469.09693928
2007,3,0.0,-2492587.4341884907,431.7676708430779,38453228.765284516,35960641.33109602
2007,4,0.0,-9866560.68393125,398.0890007302607,35453806.405037016,25587245.721105766
2007,5,0.0,-9324972.68951252,313.88578671351127,27954668.164705314,18629695.475192793
2007,6,0.0,-1040841.6278566113,245.46658447012342,21861254.012909193,20820412.38505258
2007,7,0.0,-2794659.401709075,225.84851528532425,20114068.771310978,17319409.3696019
2007,8,0.0,-12569629.187527534,193.9981254786559,17277473.055129096,4707843.867601562
2007,9,0.0,-3271349.317143477,262.6584455857703,23392361.163868703,20121011.846725225
2007,10,0.0,-11889014.661066929,314.3784358860615,27998543.500012632,16109528.838945704
2007,11,0.0,-5511569.965112534,341.4789837102572,30412118.289235502,24900548.32412297
2007,12,0.0,-981442.3657988792,405.15170230602115,36082810.60737424,35101368.24157537
2008,1,0.0,-1029442.3196607529,430.0609759136166,38301230.514866695,37271788.19520594
2008,2,0.0,-8305917.531349719,369.79679239074136,32934102.330319427,24628184.79896971
2008,3,0.0,-11982960.80339579,419.65891901401665,37374823.327388324,25391862.523992535
2008,4,0.0,-3917500.7499964098,406.91326037639794,36239694.969122,32322194.21912559
2008,5,0.0,-3724919.279467188,318.7819625575566,28390721.58537599,24665802.305908803
2008,6,0.0,-3530833.3855195395,242.5464381756341,21601185.783921972,18070352.398402434
2008,7,0.0,-13160100.660318507,218.96936362764038,19501411.524677653,6341310.864359146
2008,8,0.0,-9713206.180883406,189.8819658231338,16910887.876208298,7197681.695324892
2008,9,0.0,-2728802.019849708,260.91731292424936,23237295.88903365,20508493.869183943
2008,10,0.0,-4505769.274177204,319.3923281516422,28445080.745185252,23939311.471008047
2008,11,0.0,-10258905.712530369,340.9121834203587,30361639.055417147,20102733.342886776
2008,12,0.0,-1002459.1753573164,396.86492986554254,35344790.653825216,34342331.4784679
2009,1,0.0,-1013345.5552503265,430.0220456549157,38297763.38602679,37284417.83077647
2009,2,0.0,-936860.1264388722,373.1371402056839,33231593.706718214,32294733.580279343
2009,3,0.0,-1011922.4157319017,429.24042195969906,38228151.9797308,37216229.5639989
2009,4,0.0,-10653110.0081825,412.6270520576521,36748565.256254494,26095455.248071995
2009,5,0.0,-6293180.980028976,330.8213396691955,29462948.510938548,23169767.53090957
2009,6,0.0,-2849082.5215689573,246.02817005231316,21911268.824859012,19062186.303290054
2009,7,0.0,-2080514.2647255016,224.87530989461564,20027395.09921447,17946880.834488966
2009,8,0.0,-1075862.2406535435,180.08528730883063,16038395.687724456,14962533.447070913
2009,9,0.0,-984221.6602280529,257.6405103156977,22945463.84871604,21961242.188487988
2009,10,0.0,-8825598.969258722,317.4224978134193,28269647.655263122,19444048.6860044
2009,11,0.0,-6282405.287174608,351.4350264547189,31298803.456057265,25016398.168882657
2009,12,0.0,-2860041.090967088,393.11094306068543,35010460.588984646,32150419.498017557
2010,1,0.0,-5274176.580235615,424.7978453096574,37832496.103278086,32558319.52304247
2010,2,0.0,-9806983.74966636,371.5999893446169,33094695.051031582,23287711.301365223
2010,3,0.0,-5558569.368164196,425.6012477473516,37904047.124379136,32345477.75621494
2010,4,0.0,-4905179.187579271,415.06034463723097,36965274.293391794,32060095.105812524
2010,5,0.0,-10454468.993398072,337.20294270741175,30031294.07752209,19576825.08412402
2010,6,0.0,-1601957.0642866392,254.15213928809783,22634789.524997994,21032832.460711356
2010,7,0.0,-3504774.4919431135,220.96381714037176,19679037.554521512,16174263.062578399
2010,8,0.0,-9839931.600030057,176.2553178039374,15697298.603618665,5857367.003588608
2010,9,0.0,-13221466.342423953,248.87187834317558,22164529.485243216,8943063.142819263
2010,10,0.0,-4149374.0617831727,318.6487314581062,28378856.023658942,24229481.96187577
2010,11,0.0,-986181.6349453451,349.4404912915239,31121170.15442312,30134988.519477777
2010,12,0.0,-2242359.556312666,399.3326403149078,35564564.94644569,33322205.390133023
2011,1,0.0,-2869371.9333713558,433.57520818695576,38614208.04113028,35744836.107758924
2011,2,0.0,-2609997.5628179563,376.3141426711562,33514537.546293173,30904539.983475216
2011,3,0.0,-2541766.9408466984,432.0500460344296,38478377.099826306,35936610.15897961
2011,4,0.0,-5967311.998925069,407.3021132795119,36274326.208673336,30307014.209748268
2011,5,0.0,-12686189.166846443,340.36969908923015,30313325.400886837,17627136.234040394
2011,6,0.0,-3222530.534933031,262.56475854367363,23384017.39589957,20161486.86096654
2011,7,0.0,-7775247.104310257,222.77038978590605,19839930.914332792,12064683.810022535
2011,8,0.0,-1073622.3733051983,179.67951139874933,16002257.285172617,14928634.91186742
2011,9,0.0,-1047881.7075805154,242.86384638724556,21629454.159248088,20581572.451667573
2011,10,0.0,-1038922.3673531464,314.53086713340616,28012119.026901152,26973196.659548007
2011,11,0.0,-1017049.6503301333,348.2844264654611,31018211.021013964,30001161.37068383
2011,12,0.0,-1036450.3177530516,396.72444335364895,35332278.92507598,34295828.607322924
2012,1,0.0,-6710291.120507697,423.802141321946,37743818.70613251,31033527.585624814
2012,2,0.0,-6509124.732257849,377.4136749928598,33612461.89486409,27103337.16260624
2012,3,0.0,-1003522.2500486952,429.82454622617973,38280174.08690357,37276651.836854875
2012,4,0.0,-6810167.259455076,411.93082648964736,36686559.40716799,29876392.147712916
2012,5,0.0,-6949089.014519965,338.91852817770916,30184084.119506776,23234995.10498681
2012,6,0.0,-2784533.628599696,266.1271627812583,23701285.117298864,20916751.488699168
2012,7,0.0,-8269393.690557189,225.64576617496544,20096011.935542423,11826618.244985234
2012,8,0.0,-3644231.8008249276,177.39341739005664,15798657.752758445,12154425.951933518
2012,9,0.0,-4754876.56739045,239.06549397094884,21291172.893052705,16536296.325662255
2012,10,0.0,-11097024.591180326,302.93742804905224,26979607.342048593,15882582.750868266
2012,11,0.0,-14628950.434463462,332.6692858793677,29627526.600416485,14998576.165953023
2012,12,0.0,-4824555.23698786,392.1656353402644,34926271.48340394,30101716.246416084
2013,1,0.0,-8097539.842231729,420.1095476137572,37414956.31048122,29317416.468249492
2013,2,0.0,-9701827.735885391,365.2969682874562,32533347.99568085,22831520.259795457
2013,3,0.0,-10835740.73442327,427.3491240280626,38059712.98593925,27223972.251515977
2013,4,0.0,-10627342.389511038,407.344938280317,36278140.20324504,25650797.813734
2013,5,0.0,-12784043.430846052,337.93567392903395,30096551.120119765,17312507.689273715
2013,6,0.0,-12589870.829452036,261.79488740388905,23315452.672190357,10725581.842738321
2013,7,0.0,-7436249.856864711,235.73996178030146,20995000.99615365,13558751.139288938
2013,8,0.0,-8155477.214314078,179.6067116831419,15995773.742500616,7840296.528186538
2013,9,0.0,-3219464.2414794336,241.70114183488457,21525903.69181482,18306439.450335387
2013,10,0.0,-3067712.3145851423,295.01583601509816,26274110.355504643,23206398.0409195
2013,11,0.0,-10023478.344872726,344.71332849974794,30700169.036187556,20676690.69131483
2013,12,0.0,-3039671.363487905,397.0617828420262,35362322.37991086,32322651.01642295
2014,1,0.0,-11286647.614343122,416.5222185434595,37095468.7834805,25808821.16913738
2014,2,0.0,-7109541.413376414,372.9604896121352,33215861.204856757,26106319.791480344
2014,3,0.0,-4456943.030741359,428.23793456927046,38138870.45273923,33681927.421997875
