Metrics,Marwin
# Turbines,21.0
Turbine Rating (MW),15.0
Project Capacity (MW),315.0
# OSS,1.0
Total Export Cable Length (km),58.02504
Total Array Cable Length (km),34.98996342800848
FCR (%),0.0582
Offtake Price ($/MWh),131.9
CapEx ($),1106039758.1098108
CapEx per kW ($/kW),3511.237327332733
System CapEx for Export Cables ($),98642568.0
Installation CapEx for Export Cables ($),12246417.019980105
CapEx Without Export Cables ($),995150773.0898308
OpEx ($),911686782.8530809
OpEx per kW ($/kW),2894.2437550891455
Annual OpEx per kW ($/kW),137.8211311947212
Energy Availability (%),0.905267687800314
Gross Capacity Factor (%),0.48668167088571207
Net Capacity Factor Without Unmodeled Losses (%),0.4404251331434358
Annual Losses (MWh),262140.26787268085
AEP (MWh),1081860.3671784662
AEP per kW (MWh/kW),3.4344773561221147
Net Capacity Factor With All Losses (%),0.3917569660548648
LCOE ($/MWh),99.62946561157064
IRR (%),0.0055247377139477916
NPV ($),-508092953.91611606
