year,month,CapEx ($),OpEx ($),Energy Production (GWh),Revenue ($),Cash Flow ($)
1995,1,-171095400.0,-0.0,0.0,0.0,-171095400.0
1995,2,0.0,0.0,0.0,0.0,0.0
1995,3,0.0,0.0,0.0,0.0,0.0
1995,4,0.0,0.0,0.0,0.0,0.0
1995,5,0.0,0.0,0.0,0.0,0.0
1995,6,0.0,0.0,0.0,0.0,0.0
1995,7,0.0,0.0,0.0,0.0,0.0
1995,8,0.0,0.0,0.0,0.0,0.0
1995,9,0.0,0.0,0.0,0.0,0.0
1995,10,0.0,0.0,0.0,0.0,0.0
1995,11,0.0,0.0,0.0,0.0,0.0
1995,12,0.0,0.0,0.0,0.0,0.0
1996,1,-63819324.202420086,-0.0,0.0,0.0,-63819324.202420086
1996,2,0.0,0.0,0.0,0.0,0.0
1996,3,0.0,0.0,0.0,0.0,0.0
1996,4,-48368440.452420086,-0.0,0.0,0.0,-48368440.452420086
1996,5,0.0,0.0,0.0,0.0,0.0
1996,6,0.0,0.0,0.0,0.0,0.0
1996,7,-63819324.202420086,-0.0,0.0,0.0,-63819324.202420086
1996,8,0.0,0.0,0.0,0.0,0.0
1996,9,0.0,0.0,0.0,0.0,0.0
1996,10,-48368440.452420086,-0.0,0.0,0.0,-48368440.452420086
1996,11,0.0,0.0,0.0,0.0,0.0
1996,12,0.0,0.0,0.0,0.0,0.0
1997,1,-63819324.202420086,-0.0,0.0,0.0,-63819324.202420086
1997,2,0.0,0.0,0.0,0.0,0.0
1997,3,0.0,0.0,0.0,0.0,0.0
1997,4,-48368440.452420086,-0.0,0.0,0.0,-48368440.452420086
1997,5,0.0,0.0,0.0,0.0,0.0
1997,6,0.0,0.0,0.0,0.0,0.0
1997,7,-63819324.202420086,-0.0,0.0,0.0,-63819324.202420086
1997,8,0.0,0.0,0.0,0.0,0.0
1997,9,0.0,0.0,0.0,0.0,0.0
1997,10,-48368440.452420086,-0.0,0.0,0.0,-48368440.452420086
1997,11,0.0,0.0,0.0,0.0,0.0
1997,12,0.0,0.0,0.0,0.0,0.0
1998,1,-77071819.60541594,-0.0,0.0,0.0,-77071819.60541593
1998,2,-11898355.300037235,-0.0,0.0,0.0,-11898355.300037235
1998,3,-26084060.049175255,-0.0,0.0,0.0,-26084060.049175255
1998,4,-68510831.61065406,-0.0,0.0,0.0,-68510831.61065404
1998,5,-12052432.868181322,-0.0,0.0,0.0,-12052432.868181322
1998,6,-365157.3424657598,-0.0,0.0,0.0,-365157.3424657598
1998,7,-48368440.452420086,-0.0,0.0,0.0,-48368440.452420086
1998,8,0.0,0.0,0.0,0.0,0.0
1998,9,0.0,0.0,0.0,0.0,0.0
1998,10,-48368440.452420086,-0.0,0.0,0.0,-48368440.452420086
1998,11,0.0,0.0,0.0,0.0,0.0
1998,12,0.0,0.0,0.0,0.0,0.0
1999,1,-48368440.452420086,-0.0,0.0,0.0,-48368440.452420086
1999,2,0.0,0.0,0.0,0.0,0.0
1999,3,0.0,0.0,0.0,0.0,0.0
1999,4,-48368440.452420086,-0.0,0.0,0.0,-48368440.452420086
1999,5,0.0,0.0,0.0,0.0,0.0
1999,6,0.0,0.0,0.0,0.0,0.0
1999,7,-48368440.452420086,-0.0,0.0,0.0,-48368440.452420086
1999,8,0.0,0.0,0.0,0.0,0.0
1999,9,0.0,0.0,0.0,0.0,0.0
1999,10,-48368440.452420086,-0.0,0.0,0.0,-48368440.452420086
1999,11,0.0,0.0,0.0,0.0,0.0
1999,12,0.0,0.0,0.0,0.0,0.0
2000,1,0.0,-985927.6284314982,128.61961318902476,16964926.979632366,15978999.351200867
2000,2,0.0,-2809986.4950773604,116.70325008407227,15393158.686089132,12583172.191011772
2000,3,0.0,-2824972.2679435746,133.54979800620978,17615218.35701907,14790246.089075496
2000,4,0.0,-2736357.331699652,122.43119308661404,16148674.368124394,13412317.036424741
2000,5,0.0,-2843638.0436775605,105.26527424887674,13884489.673426842,11040851.629749281
2000,6,0.0,-2736019.049427481,86.95665446581388,11469582.724040853,8733563.674613371
2000,7,0.0,-10780365.097089443,70.47249568194134,9295322.180448063,-1485042.9166413806
2000,8,0.0,-2820172.8361024274,65.7129191466978,8667534.03544944,5847361.199347012
2000,9,0.0,-2743218.585137545,81.69272510748671,10775270.441677498,8032051.856539953
2000,10,0.0,-2822921.243838362,108.7064674407714,14338383.05543775,11515461.811599387
2000,11,0.0,-2745146.3304493274,115.28480057364627,15206065.195663944,12460918.865214616
2000,12,0.0,-1642109.3881278522,123.24958559115386,16256620.339473194,14614510.951345341
2001,1,0.0,-1056298.5198852082,108.54811206799288,14317495.98176826,13261197.461883051
2001,2,0.0,-2177658.2260147897,89.32263279865907,11781655.266143132,9603997.040128343
