year,month,CapEx ($),OpEx ($),Energy Production (GWh),Revenue ($),Cash Flow ($)
1995,1,-651792000.0,-0.0,0.0,0.0,-651792000.0
1995,2,0.0,0.0,0.0,0.0,0.0
1995,3,0.0,0.0,0.0,0.0,0.0
1995,4,0.0,0.0,0.0,0.0,0.0
1995,5,0.0,0.0,0.0,0.0,0.0
1995,6,0.0,0.0,0.0,0.0,0.0
1995,7,0.0,0.0,0.0,0.0,0.0
1995,8,0.0,0.0,0.0,0.0,0.0
1995,9,0.0,0.0,0.0,0.0,0.0
1995,10,0.0,0.0,0.0,0.0,0.0
1995,11,0.0,0.0,0.0,0.0,0.0
1995,12,0.0,0.0,0.0,0.0,0.0
1996,1,-248858187.77633056,-0.0,0.0,0.0,-248858187.77633056
1996,2,0.0,0.0,0.0,0.0,0.0
1996,3,0.0,0.0,0.0,0.0,0.0
1996,4,-197414437.77633056,-0.0,0.0,0.0,-197414437.77633056
1996,5,0.0,0.0,0.0,0.0,0.0
1996,6,0.0,0.0,0.0,0.0,0.0
1996,7,-248858187.77633056,-0.0,0.0,0.0,-248858187.77633056
1996,8,0.0,0.0,0.0,0.0,0.0
1996,9,0.0,0.0,0.0,0.0,0.0
1996,10,-197414437.77633056,-0.0,0.0,0.0,-197414437.77633056
1996,11,0.0,0.0,0.0,0.0,0.0
1996,12,0.0,0.0,0.0,0.0,0.0
1997,1,-248858187.77633056,-0.0,0.0,0.0,-248858187.77633056
1997,2,0.0,0.0,0.0,0.0,0.0
1997,3,0.0,0.0,0.0,0.0,0.0
1997,4,-197414437.77633056,-0.0,0.0,0.0,-197414437.77633056
1997,5,0.0,0.0,0.0,0.0,0.0
1997,6,0.0,0.0,0.0,0.0,0.0
1997,7,-248858187.77633056,-0.0,0.0,0.0,-248858187.77633056
1997,8,0.0,0.0,0.0,0.0,0.0
1997,9,0.0,0.0,0.0,0.0,0.0
1997,10,-197414437.77633056,-0.0,0.0,0.0,-197414437.77633056
1997,11,0.0,0.0,0.0,0.0,0.0
1997,12,0.0,0.0,0.0,0.0,0.0
1998,1,-226323073.79006684,-0.0,0.0,0.0,-226323073.7900668
1998,2,-15937730.129202105,-0.0,0.0,0.0,-15937730.129202105
1998,3,-17252163.51636526,-0.0,0.0,0.0,-17252163.51636526
1998,4,-213462030.01085865,-0.0,0.0,0.0,-213462030.01085865
1998,5,-16492559.980817197,-0.0,0.0,0.0,-16492559.980817197
1998,6,-15123812.72028093,-0.0,0.0,0.0,-15123812.72028093
1998,7,-221520479.32401383,-0.0,0.0,0.0,-221520479.3240138
1998,8,-26442555.123386547,-0.0,0.0,0.0,-26442555.123386547
1998,9,-26169439.303671613,-0.0,0.0,0.0,-26169439.303671613
1998,10,-224095004.12740973,-0.0,0.0,0.0,-224095004.12740973
1998,11,-21702564.085724264,-0.0,0.0,0.0,-21702564.085724264
1998,12,-16347533.332127856,-0.0,0.0,0.0,-16347533.332127856
1999,1,-212534556.37101543,-0.0,0.0,0.0,-212534556.37101543
1999,2,-13755277.546739671,-0.0,0.0,0.0,-13755277.546739671
1999,3,-14210131.189512387,-0.0,0.0,0.0,-14210131.189512387
1999,4,-204774912.5160566,-0.0,0.0,0.0,-204774912.5160566
1999,5,-7003818.803652876,-0.0,0.0,0.0,-7003818.803652876
1999,6,0.0,0.0,0.0,0.0,0.0
1999,7,-197414437.77633056,-0.0,0.0,0.0,-197414437.77633056
1999,8,0.0,0.0,0.0,0.0,0.0
1999,9,0.0,0.0,0.0,0.0,0.0
1999,10,-197414437.77633056,-0.0,0.0,0.0,-197414437.77633056
1999,11,0.0,0.0,0.0,0.0,0.0
1999,12,0.0,0.0,0.0,0.0,0.0
2000,1,0.0,-1553176.786139513,544.1251312804819,31776907.666780144,30223730.88064063
2000,2,0.0,-1477162.4213017903,476.3902459945907,27821190.366084095,26344027.944782306
2000,3,0.0,-1561100.3766144346,535.550244461021,31276134.27652362,29715033.899909183
2000,4,0.0,-1528128.0514174667,476.22477752716475,27811527.00758642,26283398.956168953
2000,5,0.0,-2773913.0123845995,443.40236080742,25894697.871153325,23120784.858768724
2000,6,0.0,-4680449.391145693,384.58003043045403,22459473.777138513,17779024.385992818
2000,7,0.0,-9812555.675133977,336.23613925124397,19636190.532272648,9823634.857138671
2000,8,0.0,-6656118.576140586,288.5267048503652,16849959.56326133,10193840.987120744
2000,9,0.0,-11745368.480680559,331.40181061925597,19353865.74016455,7608497.259483989
2000,10,0.0,-3750565.947573304,456.6953753364297,26671009.919647496,22920443.972074192
2000,11,0.0,-10241217.420028016,483.3699042438899,28228802.40784317,17987584.987815153
2000,12,0.0,-2919029.0814943095,528.9964531803106,30893392.865730137,27974363.784235828
2001,1,0.0,-10824547.171383709,507.097929898196,29614519.106054645,18789971.934670936
2001,2,0.0,-10363676.995701557,447.2330232342328,26118408.556879196,15754731.56117764
2001,3,0.0,-1603770.1640391075,505.0962117203682,29497618.764469504,27893848.600430395
2001,4,0.0,-1538530.3119261041,463.4922993549117,27067950.282326844,25529419.97040074
2001,5,0.0,-2565357.46841796,420.42139434705126,24552609.429867793,21987251.96144983
2001,6,0.0,-3327063.6716954913,360.18810931651353,21034985.584084388,17707921.9123889
2001,7,0.0,-3433518.986389597,319.2010232148926,18641339.75574973,15207820.769360133
2001,8,0.0,-7901867.013216615,284.82895413519964,16634010.92149566,8732143.908279045
2001,9,0.0,-8841689.58557648,331.37055345007656,19352040.32148447,10510350.735907989
2001,10,0.0,-1597297.1788995324,460.4802041389004,26892043.92171178,25294746.742812246
2001,11,0.0,-1542569.3906809813,491.89218707729384,28726503.725313958,27183934.334632978
2001,12,0.0,-1584380.1733043636,526.6338140372063,30755414.73977285,29171034.566468485
2002,1,0.0,-3364817.3833115525,528.1747925899606,30845407.887253698,27480590.503942147
2002,2,0.0,-4791132.583013987,451.7499765609122,26382198.63115727,21591066.048143283
2002,3,0.0,-15175111.506693225,494.77497928988197,28894858.790529106,13719747.28383588
2002,4,0.0,-15005308.592222251,452.280901013131,26413204.619166847,11407896.026944596
2002,5,0.0,-9018159.265072998,415.21557730143,24248589.71440351,15230430.449330512
2002,6,0.0,-8548331.783029996,354.9473457881481,20728924.994027846,12180593.21099785
2002,7,0.0,-1598424.1816623653,318.3913259275019,18594053.43416611,16995629.252503745
2002,8,0.0,-10083861.031112093,274.0658377540766,16005444.924838072,5921583.893725978
2002,9,0.0,-3290226.8896096796,335.9215539378384,19617818.749969758,16327591.860360079
2002,10,0.0,-3404001.985047046,463.35640377934635,27060013.98071383,23656011.995666783
2002,11,0.0,-3348212.876529054,478.37057246332415,27936841.43185813,24588628.555329077
2002,12,0.0,-6951710.692123846,528.2618198330414,30850490.278249618,23898779.586125772
2003,1,0.0,-12087237.656238625,536.0433209054244,31304929.940876786,19217692.28463816
2003,2,0.0,-8217456.589950533,460.9823484398936,26921369.148889787,18703912.558939256
2003,3,0.0,-3267148.290507944,508.3340235115789,29686706.97307621,26419558.682568267
2003,4,0.0,-12997988.560464753,455.435805563571,26597451.044912547,13599462.484447794
2003,5,0.0,-7576805.343010453,418.22237089969093,24424186.460541952,16847381.1175315
2003,6,0.0,-10145270.755874459,356.54695570128104,20822342.21295481,10677071.457080353
