Inputs,Mayflower Wind 2
FCR,0.0582
Offtake price ($/MWh),77
Lease Area Price ($),154525000
Discount rate (%),0.025
# Turbines,67
Turbine Rating (MW),15
Project Capacity (MW),1005
# OSS,1
Substructure type,??
Row spacing (rotor diameters),not used for custom layouts
Turbine spacing (rotor diameters),not used for custom layouts
Depth (m),50.59
Mean wind speed (m/s),9.21673306772638
Distance to landfall (km),154
Distance to port (km),208
Interconnection distance (km),2
# of POIs,??
Export cable type,['HVDC_2000mm_320kV']
Array cable type,"['XLPE_185mm_66kV', 'XLPE_630mm_66kV']"
