Metrics,Mayflower Wind 2
# Turbines,67.0
Turbine Rating (MW),15.0
Project Capacity (MW),1005.0
# OSS,1.0
Total Export Cable Length (km),312.10118
Total Array Cable Length (km),159.8160304387548
FCR (%),0.0582
Offtake Price ($/MWh),77.0
CapEx ($),3498635149.34997
CapEx per kW ($/kW),3481.2290043283283
System CapEx for Export Cables ($),156050590.0
Installation CapEx for Export Cables ($),13722100.9881191
CapEx Without Export Cables ($),3328862458.3618507
OpEx ($),1576624345.47935
OpEx per kW ($/kW),1568.7804432630348
Annual OpEx per kW ($/kW),74.70383063157308
Energy Availability (%),0.9154914046444
Gross Capacity Factor (%),0.527592351936504
Net Capacity Factor Without Unmodeled Losses (%),0.48315952838328874
Annual Losses (MWh),856329.23892623
AEP (MWh),3792124.174060566
AEP per kW (MWh/kW),3.773257884637379
Net Capacity Factor With All Losses (%),0.43040029318962997
LCOE ($/MWh),73.49387907265506
IRR (%),0.0028364007478067776
NPV ($),-1677813869.4969647
