Inputs,Mayflower Wind
FCR,0.0582
Offtake price ($/MWh),64.56
Lease Area Price ($),154525000
Discount rate (%),0.025
# Turbines,147
Turbine Rating (MW),15
Project Capacity (MW),2205
# OSS,2
Substructure type,??
Row spacing (rotor diameters),not used for custom layouts
Turbine spacing (rotor diameters),not used for custom layouts
Depth (m),50.59
Mean wind speed (m/s),9.15166971905148
Distance to landfall (km),88
Distance to port (km),208
Interconnection distance (km),4
# of POIs,??
Export cable type,['XLPE_1900mm_275kV']
Array cable type,"['XLPE_185mm_66kV', 'XLPE_630mm_66kV']"
