year,month,CapEx ($),OpEx ($),Energy Production (GWh),Revenue ($),Cash Flow ($)
1995,1,-1197667799.9999998,-0.0,0.0,0.0,-1197667799.9999998
1995,2,0.0,0.0,0.0,0.0,0.0
1995,3,0.0,0.0,0.0,0.0,0.0
1995,4,0.0,0.0,0.0,0.0,0.0
1995,5,0.0,0.0,0.0,0.0,0.0
1995,6,0.0,0.0,0.0,0.0,0.0
1995,7,0.0,0.0,0.0,0.0,0.0
1995,8,0.0,0.0,0.0,0.0,0.0
1995,9,0.0,0.0,0.0,0.0,0.0
1995,10,0.0,0.0,0.0,0.0,0.0
1995,11,0.0,0.0,0.0,0.0,0.0
1995,12,0.0,0.0,0.0,0.0,0.0
1996,1,-394940751.1386821,-0.0,0.0,0.0,-394940751.1386821
1996,2,0.0,0.0,0.0,0.0,0.0
1996,3,0.0,0.0,0.0,0.0,0.0
1996,4,-343497001.1386821,-0.0,0.0,0.0,-343497001.1386821
1996,5,0.0,0.0,0.0,0.0,0.0
1996,6,0.0,0.0,0.0,0.0,0.0
1996,7,-394940751.1386821,-0.0,0.0,0.0,-394940751.1386821
1996,8,0.0,0.0,0.0,0.0,0.0
1996,9,0.0,0.0,0.0,0.0,0.0
1996,10,-343497001.1386821,-0.0,0.0,0.0,-343497001.1386821
1996,11,0.0,0.0,0.0,0.0,0.0
1996,12,0.0,0.0,0.0,0.0,0.0
1997,1,-394940751.1386821,-0.0,0.0,0.0,-394940751.1386821
1997,2,0.0,0.0,0.0,0.0,0.0
1997,3,0.0,0.0,0.0,0.0,0.0
1997,4,-343497001.1386821,-0.0,0.0,0.0,-343497001.1386821
1997,5,0.0,0.0,0.0,0.0,0.0
1997,6,0.0,0.0,0.0,0.0,0.0
1997,7,-394940751.1386821,-0.0,0.0,0.0,-394940751.1386821
1997,8,0.0,0.0,0.0,0.0,0.0
1997,9,0.0,0.0,0.0,0.0,0.0
1997,10,-343497001.1386821,-0.0,0.0,0.0,-343497001.1386821
1997,11,0.0,0.0,0.0,0.0,0.0
1997,12,0.0,0.0,0.0,0.0,0.0
1998,1,-383858751.47919375,-0.0,0.0,0.0,-383858751.47919375
1998,2,-21649384.475142762,-0.0,0.0,0.0,-21649384.475142762
1998,3,-18178298.47489206,-0.0,0.0,0.0,-18178298.47489206
1998,4,-359542056.0208901,-0.0,0.0,0.0,-359542056.0208901
1998,5,-16504682.991956828,-0.0,0.0,0.0,-16504682.991956828
1998,6,-11131138.26326521,-0.0,0.0,0.0,-11131138.26326521
1998,7,-354991532.96045524,-0.0,0.0,0.0,-354991532.96045524
1998,8,-11568901.351167293,-0.0,0.0,0.0,-11568901.351167293
1998,9,-11081371.945873275,-0.0,0.0,0.0,-11081371.945873275
1998,10,-355021906.88228285,-0.0,0.0,0.0,-355021906.88228285
1998,11,-18591119.581951246,-0.0,0.0,0.0,-18591119.581951246
1998,12,-21347079.32947983,-0.0,0.0,0.0,-21347079.32947983
1999,1,-370109492.18755037,-0.0,0.0,0.0,-370109492.18755037
1999,2,-24211671.358034182,-0.0,0.0,0.0,-24211671.358034182
1999,3,-26889723.537896045,-0.0,0.0,0.0,-26889723.537896045
1999,4,-369268980.1798432,-0.0,0.0,0.0,-369268980.1798432
1999,5,-26819498.770501457,-0.0,0.0,0.0,-26819498.770501457
1999,6,-25844521.124445237,-0.0,0.0,0.0,-25844521.124445237
1999,7,-367125007.76315093,-0.0,0.0,0.0,-367125007.76315093
1999,8,-21119576.521474823,-0.0,0.0,0.0,-21119576.521474823
1999,9,-16588809.14947923,-0.0,0.0,0.0,-16588809.14947923
1999,10,-358758800.32910675,-0.0,0.0,0.0,-358758800.32910675
1999,11,-14611533.341109527,-0.0,0.0,0.0,-14611533.341109527
1999,12,-15368277.594684877,-0.0,0.0,0.0,-15368277.594684877
2000,1,-15240000.40320544,-1034811.8118281837,986.1573784102355,63666320.35016481,47391508.13513119
2000,2,-14175151.49179446,-2030174.0348302852,873.3113490696369,56380980.69593576,40175655.16931102
2000,3,-15314599.190424595,-10651349.622806964,960.813294141562,62030106.26977924,36064157.456547685
2000,4,-11169281.743228478,-12307476.050356396,869.9280302422148,56162553.632437386,32685795.83885251
2000,5,-7546228.164383562,-4314679.797745332,796.7580322281567,51438698.5606498,39577790.598520905
2000,6,-7461695.2397260275,-7567025.201799959,681.1270523769821,43973562.50145797,28944842.05993198
