Metrics,Momentum Wind
# Turbines,55.0
Turbine Rating (MW),15.0
Project Capacity (MW),825.0
# OSS,2.0
Total Export Cable Length (km),116.05008
Total Array Cable Length (km),100.70030692415952
FCR (%),0.0582
Offtake Price ($/MWh),71.6
CapEx ($),2577120805.9139824
CapEx per kW ($/kW),3123.7827950472515
System CapEx for Export Cables ($),197285136.0
Installation CapEx for Export Cables ($),15865772.196124207
CapEx Without Export Cables ($),2363969897.7178583
OpEx ($),1454438390.754458
OpEx per kW ($/kW),1762.9556251569188
Annual OpEx per kW ($/kW),83.95026786461518
Energy Availability (%),0.9074085361124202
Gross Capacity Factor (%),0.35468671458714457
Net Capacity Factor Without Unmodeled Losses (%),0.3217729923389751
Annual Losses (MWh),494586.40828980476
AEP (MWh),2070740.9914454392
AEP per kW (MWh/kW),2.5099890805399263
Net Capacity Factor With All Losses (%),0.28630432088025337
LCOE ($/MWh),105.87871819713196
IRR (%),-0.0014421532447854712
NPV ($),-1325301819.2470362
