year,month,CapEx ($),OpEx ($),Energy Production (GWh),Revenue ($),Cash Flow ($)
1995,1,-448107000.0,-0.0,0.0,0.0,-448107000.0
1995,2,0.0,0.0,0.0,0.0,0.0
1995,3,0.0,0.0,0.0,0.0,0.0
1995,4,0.0,0.0,0.0,0.0,0.0
1995,5,0.0,0.0,0.0,0.0,0.0
1995,6,0.0,0.0,0.0,0.0,0.0
1995,7,0.0,0.0,0.0,0.0,0.0
1995,8,0.0,0.0,0.0,0.0,0.0
1995,9,0.0,0.0,0.0,0.0,0.0
1995,10,0.0,0.0,0.0,0.0,0.0
1995,11,0.0,0.0,0.0,0.0,0.0
1995,12,0.0,0.0,0.0,0.0,0.0
1996,1,-132040277.35147837,-0.0,0.0,0.0,-132040277.35147835
1996,2,0.0,0.0,0.0,0.0,0.0
1996,3,0.0,0.0,0.0,0.0,0.0
1996,4,-116589393.60147837,-0.0,0.0,0.0,-116589393.60147835
1996,5,0.0,0.0,0.0,0.0,0.0
1996,6,0.0,0.0,0.0,0.0,0.0
1996,7,-132040277.35147837,-0.0,0.0,0.0,-132040277.35147835
1996,8,0.0,0.0,0.0,0.0,0.0
1996,9,0.0,0.0,0.0,0.0,0.0
1996,10,-116589393.60147837,-0.0,0.0,0.0,-116589393.60147835
1996,11,0.0,0.0,0.0,0.0,0.0
1996,12,0.0,0.0,0.0,0.0,0.0
1997,1,-132040277.35147837,-0.0,0.0,0.0,-132040277.35147835
1997,2,0.0,0.0,0.0,0.0,0.0
1997,3,0.0,0.0,0.0,0.0,0.0
1997,4,-116589393.60147837,-0.0,0.0,0.0,-116589393.60147835
1997,5,0.0,0.0,0.0,0.0,0.0
1997,6,0.0,0.0,0.0,0.0,0.0
1997,7,-132040277.35147837,-0.0,0.0,0.0,-132040277.35147835
1997,8,0.0,0.0,0.0,0.0,0.0
1997,9,0.0,0.0,0.0,0.0,0.0
1997,10,-116589393.60147837,-0.0,0.0,0.0,-116589393.60147835
1997,11,0.0,0.0,0.0,0.0,0.0
1997,12,0.0,0.0,0.0,0.0,0.0
1998,1,-148014109.59817517,-0.0,0.0,0.0,-148014109.59817514
1998,2,-12441840.125763819,-0.0,0.0,0.0,-12441840.125763819
1998,3,-11568236.364476945,-0.0,0.0,0.0,-11568236.364476945
1998,4,-129837976.04181534,-0.0,0.0,0.0,-129837976.04181531
1998,5,-23896591.81693529,-0.0,0.0,0.0,-23896591.81693529
1998,6,-23379091.884504266,-0.0,0.0,0.0,-23379091.884504266
1998,7,-137387415.18832833,-0.0,0.0,0.0,-137387415.18832833
1998,8,-19325121.988919906,-0.0,0.0,0.0,-19325121.988919906
1998,9,-14742472.673851416,-0.0,0.0,0.0,-14742472.673851416
1998,10,-131772438.02394477,-0.0,0.0,0.0,-131772438.02394475
1998,11,-10751736.386787072,-0.0,0.0,0.0,-10751736.386787072
1998,12,-5020517.602739628,-0.0,0.0,0.0,-5020517.602739628
1999,1,-116589393.60147837,-0.0,0.0,0.0,-116589393.60147835
1999,2,0.0,0.0,0.0,0.0,0.0
1999,3,0.0,0.0,0.0,0.0,0.0
1999,4,-116589393.60147837,-0.0,0.0,0.0,-116589393.60147835
1999,5,0.0,0.0,0.0,0.0,0.0
1999,6,0.0,0.0,0.0,0.0,0.0
1999,7,-116589393.60147837,-0.0,0.0,0.0,-116589393.60147835
1999,8,0.0,0.0,0.0,0.0,0.0
1999,9,0.0,0.0,0.0,0.0,0.0
1999,10,-116589393.60147837,-0.0,0.0,0.0,-116589393.60147835
1999,11,0.0,0.0,0.0,0.0,0.0
1999,12,0.0,0.0,0.0,0.0,0.0
2000,1,0.0,-997284.7770255299,268.7678153157854,19243775.576610234,18246490.799584705
2000,2,0.0,-3564947.8522582785,235.27019217980796,16845345.760074247,13280397.907815969
2000,3,0.0,-12364641.640957888,268.27832522474915,19208728.08609204,6844086.445134152
2000,4,0.0,-3122047.2470069826,255.41059312315898,18287398.46761818,15165351.220611196
2000,5,0.0,-2866215.444516793,194.39021739481103,13918339.56546847,11052124.120951677
2000,6,0.0,-2744768.6922710245,142.53442068420242,10205464.520988893,7460695.828717869
2000,7,0.0,-2871640.9349025204,112.20919368543822,8034178.267877376,5162537.332974855
2000,8,0.0,-2913510.981127378,102.9008354032591,7367699.814873351,4454188.833745973
2000,9,0.0,-2759333.215398399,150.7266179885761,10792025.847982047,8032692.632583648
2000,10,0.0,-8969901.833612047,215.16356340919617,15405711.140098445,6435809.306486398
2000,11,0.0,-5423181.332517679,237.6892647734119,17018551.35777629,11595370.025258612
2000,12,0.0,-2840498.372016931,259.4805360679482,18578806.38246509,15738308.01044816
2001,1,0.0,-1861991.0192942698,254.18561931456594,18199690.34292292,16337699.32362865
2001,2,0.0,-921780.4617425167,218.56153738278613,15649006.076607486,14727225.61486497
2001,3,0.0,-3070001.040078332,248.04966756650327,17760356.197761633,14690355.1576833
2001,4,0.0,-6471223.684656775,234.11967768109398,16762968.921966327,10291745.237309553
2001,5,0.0,-5322382.315855615,177.5354033011125,12711534.876359655,7389152.56050404
2001,6,0.0,-9067540.621649241,139.46028086433947,9985356.109886706,917815.4882374648
2001,7,0.0,-2855572.190624556,112.77731443292099,8074855.7133971425,5219283.522772586
2001,8,0.0,-9739173.26200054,101.78870719629056,7288071.435254403,-2451101.826746137
2001,9,0.0,-4250479.244534075,151.1558674524683,10822760.10959673,6572280.865062654
2001,10,0.0,-8658690.91236224,210.85872044965885,15097484.384195572,6438793.4718333315
2001,11,0.0,-2748487.5826675724,238.76864261912297,17095834.811529204,14347347.228861632
2001,12,0.0,-11088302.02820749,252.41978774616294,18073256.802625265,6984954.774417775
2002,1,0.0,-8526009.940747278,266.1754682390014,19058163.5259125,10532153.585165223
2002,2,0.0,-7705372.037782199,215.45858486115569,15426834.676058745,7721462.638276546
2002,3,0.0,-14877749.198156787,238.82162266958593,17099628.18314235,2221878.984985562
2002,4,0.0,-8476846.68040054,229.28946885158734,16417125.969773654,7940279.289373115
2002,5,0.0,-5234434.701056753,173.85521761507866,12448033.581239631,7213598.880182878
2002,6,0.0,-4341871.318512192,129.0708316915699,9241471.549116405,4899600.230604213
2002,7,0.0,-4491118.81681541,109.07859257308917,7810027.228233184,3318908.411417774
2002,8,0.0,-8369525.412511944,103.31071518186187,7397047.20702131,-972478.2054906338
2002,9,0.0,-9459290.696211582,150.16608678804528,10751891.81402404,1292601.1178124584
2002,10,0.0,-10774191.997389868,208.62213159671165,14937344.622324554,4163152.6249346863
2002,11,0.0,-10381517.768686451,232.99580177577172,16682499.407145254,6300981.638458803
2002,12,0.0,-10862210.382761482,255.50808323848625,18294378.759875614,7432168.377114132
2003,1,0.0,-10640870.784831451,265.0743666778697,18979324.65413547,8338453.869304018
2003,2,0.0,-6833055.876873667,232.21373001558572,16626503.069115937,9793447.192242268
2003,3,0.0,-1090330.1350881686,247.42495619175136,17715626.863329396,16625296.728241228
2003,4,0.0,-9803713.563445441,230.5033080046859,16504036.853135508,6700323.289690066
2003,5,0.0,-2668940.009040637,175.8437026150344,12590409.107236462,9921469.098195825
2003,6,0.0,-996613.0855179927,130.87589642531645,9370714.184052657,8374101.098534664
2003,7,0.0,-1037815.8846398409,102.49641838717673,7338743.556521853,6300927.671882013
2003,8,0.0,-2913351.312708881,100.23922781137276,7177128.711294289,4263777.398585407
2003,9,0.0,-10425470.700632391,149.8670280267229,10730479.206713358,305008.50608096644
2003,10,0.0,-10841568.513552094,205.30185519213543,14699612.831756895,3858044.3182048015
2003,11,0.0,-10451928.410328142,227.9052439561939,16318015.467263483,5866087.05693534
2003,12,0.0,-11947741.85871098,245.55454722440558,17581705.58126744,5633963.722556459
2004,1,0.0,-13759955.32678503,264.295752914669,18923575.9086903,5163620.58190527
2004,2,0.0,-9866140.19294616,231.47209560582905,16573402.045377359,6707261.852431199
