year,month,CapEx ($),OpEx ($),Energy Production (GWh),Revenue ($),Cash Flow ($)
1995,1,-1112391680.0,-0.0,0.0,0.0,-1112391680.0
1995,2,0.0,0.0,0.0,0.0,0.0
1995,3,0.0,0.0,0.0,0.0,0.0
1995,4,0.0,0.0,0.0,0.0,0.0
1995,5,0.0,0.0,0.0,0.0,0.0
1995,6,0.0,0.0,0.0,0.0,0.0
1995,7,0.0,0.0,0.0,0.0,0.0
1995,8,0.0,0.0,0.0,0.0,0.0
1995,9,0.0,0.0,0.0,0.0,0.0
1995,10,0.0,0.0,0.0,0.0,0.0
1995,11,0.0,0.0,0.0,0.0,0.0
1995,12,0.0,0.0,0.0,0.0,0.0
1996,1,-337407414.6308403,-0.0,0.0,0.0,-337407414.63084024
1996,2,0.0,0.0,0.0,0.0,0.0
1996,3,0.0,0.0,0.0,0.0,0.0
1996,4,-324549330.6308403,-0.0,0.0,0.0,-324549330.63084024
1996,5,0.0,0.0,0.0,0.0,0.0
1996,6,0.0,0.0,0.0,0.0,0.0
1996,7,-337407414.6308403,-0.0,0.0,0.0,-337407414.63084024
1996,8,0.0,0.0,0.0,0.0,0.0
1996,9,0.0,0.0,0.0,0.0,0.0
1996,10,-324549330.6308403,-0.0,0.0,0.0,-324549330.63084024
1996,11,0.0,0.0,0.0,0.0,0.0
1996,12,0.0,0.0,0.0,0.0,0.0
1997,1,-337407414.6308403,-0.0,0.0,0.0,-337407414.63084024
1997,2,0.0,0.0,0.0,0.0,0.0
1997,3,0.0,0.0,0.0,0.0,0.0
1997,4,-324549330.6308403,-0.0,0.0,0.0,-324549330.63084024
1997,5,0.0,0.0,0.0,0.0,0.0
1997,6,0.0,0.0,0.0,0.0,0.0
1997,7,-337407414.6308403,-0.0,0.0,0.0,-337407414.63084024
1997,8,0.0,0.0,0.0,0.0,0.0
1997,9,0.0,0.0,0.0,0.0,0.0
1997,10,-324549330.6308403,-0.0,0.0,0.0,-324549330.63084024
1997,11,0.0,0.0,0.0,0.0,0.0
1997,12,0.0,0.0,0.0,0.0,0.0
1998,1,-358990904.44650304,-0.0,0.0,0.0,-358990904.44650304
1998,2,-15838715.7963599,-0.0,0.0,0.0,-15838715.7963599
1998,3,-17279304.945601616,-0.0,0.0,0.0,-17279304.945601616
1998,4,-341173545.94232106,-0.0,0.0,0.0,-341173545.942321
1998,5,-17136200.82491177,-0.0,0.0,0.0,-17136200.82491177
1998,6,-24177515.040422298,-0.0,0.0,0.0,-24177515.040422298
1998,7,-356814269.0975003,-0.0,0.0,0.0,-356814269.09750026
1998,8,-32570248.186497822,-0.0,0.0,0.0,-32570248.186497822
1998,9,-25982856.64870158,-0.0,0.0,0.0,-25982856.64870158
1998,10,-351200823.3865675,-0.0,0.0,0.0,-351200823.38656753
1998,11,-21558797.034294136,-0.0,0.0,0.0,-21558797.034294136
1998,12,-21003144.26122061,-0.0,0.0,0.0,-21003144.26122061
1999,1,-345513571.1442442,-0.0,0.0,0.0,-345513571.1442442
1999,2,-18798292.818610348,-0.0,0.0,0.0,-18798292.818610348
1999,3,-21156370.378731556,-0.0,0.0,0.0,-21156370.378731556
1999,4,-344222036.5790049,-0.0,0.0,0.0,-344222036.5790048
1999,5,-9911872.544378119,-0.0,0.0,0.0,-9911872.544378119
1999,6,-7397912.7397260275,-0.0,0.0,0.0,-7397912.7397260275
1999,7,-332196856.79522383,-0.0,0.0,0.0,-332196856.79522383
1999,8,-7581901.164383561,-0.0,0.0,0.0,-7581901.164383561
1999,9,-5856937.146118594,-0.0,0.0,0.0,-5856937.146118594
1999,10,-324549330.6308403,-0.0,0.0,0.0,-324549330.63084024
1999,11,0.0,0.0,0.0,0.0,0.0
1999,12,0.0,0.0,0.0,0.0,0.0
2000,1,0.0,-1087555.6733494299,914.3887980861011,68643167.0723236,67555611.39897418
2000,2,0.0,-1039249.31459109,804.3976583581742,60386132.212948136,59346882.89835705
2000,3,0.0,-4700829.050077852,909.5779608302363,68282017.51952584,63581188.469447985
2000,4,0.0,-10924496.333841788,819.3860767343937,61511312.78045093,50586816.44660915
2000,5,0.0,-2812804.2919515655,751.9714848167637,56450499.36519444,53637695.07324287
2000,6,0.0,-1022577.2634352723,648.6177466487013,48691734.240917996,47669156.97748272
2000,7,0.0,-2428025.3033581283,569.423802394439,42746644.84575053,40318619.5423924
2000,8,0.0,-8852743.86751896,485.9946841199411,36483620.93688397,27630877.06936501
2000,9,0.0,-2494184.0220342325,570.0363595873439,42792629.5142219,40298445.492187664
2000,10,0.0,-8258217.4968633605,783.7794287738433,58838321.71805242,50580104.22118906
2000,11,0.0,-1119522.3580216984,839.3057757065246,63006684.582288794,61887162.224267095
2000,12,0.0,-2498251.8447306766,906.7023169149401,68066142.93080454,65567891.08607386
2001,1,0.0,-10126690.279778898,891.0838261607119,66893662.82988463,56766972.550105736
2001,2,0.0,-1908190.7415350648,791.0067617548949,59380877.60493995,57472686.863404885
2001,3,0.0,-9023119.50799391,878.1382148874695,65921835.791602336,56898716.28360842
2001,4,0.0,-4542463.127339991,804.0809393846616,60362356.11960654,55819892.99226655
2001,5,0.0,-1830826.1716661626,730.7624437531999,54858336.65255271,53027510.48088655
2001,6,0.0,-4067448.5744664907,623.0576328424838,46772936.49748526,42705487.92301877
2001,7,0.0,-10587285.49051731,546.0404844413085,40991259.167009026,30403973.676491715
2001,8,0.0,-1184981.362406884,471.80208770041446,35418182.72367011,34233201.36126322
2001,9,0.0,-9725324.69477304,562.097233594752,42196639.32595802,32471314.63118498
2001,10,0.0,-2187732.2625157926,787.9963798329136,59154888.23405682,56967155.97154103
2001,11,0.0,-10660670.147415657,834.8184273775241,62669819.343230724,52009149.19581507
2001,12,0.0,-3937504.370491011,922.5848537664732,69258444.97224914,65320940.60175812
2002,1,0.0,-6707518.4881765,898.8093470900944,67473617.68605338,60766099.19787688
2002,2,0.0,-13381528.867727332,778.1582576764887,58416340.403774,45034811.53604667
2002,3,0.0,-9800830.70805708,871.1093330908724,65394177.635131784,55593346.9270747
2002,4,0.0,-4104128.8428043146,797.4494800759217,59864532.46929943,55760403.626495115
2002,5,0.0,-12425924.054493072,719.340015769967,54000854.98385142,41574930.92935835
2002,6,0.0,-1204259.2592570123,623.2742939954128,46789201.25023563,45584941.99097862
2002,7,0.0,-8403251.198799612,547.3653511598797,41090716.911572166,32687465.712772556
2002,8,0.0,-8904641.297887592,473.0682375327281,35513232.591581896,26608591.293694302
2002,9,0.0,-4552200.427765425,562.0300231133126,42191593.83511638,37639393.40735096
2002,10,0.0,-10221839.864822123,774.7595323377815,58161198.09259725,47939358.22777513
2002,11,0.0,-4272401.20283525,825.3875953490895,61961846.782856144,57689445.5800209
2002,12,0.0,-10909269.93472474,899.0361600139651,67490644.53224835,56581374.59752361
2003,1,0.0,-2979177.4059060053,909.3641975709394,68265970.31165041,65286792.9057444
2003,2,0.0,-6275932.444442626,785.9907710006547,59004327.17901914,52728394.73457651
2003,3,0.0,-5953467.006646673,878.3286714972344,65936133.36929738,59982666.36265071
2003,4,0.0,-7969296.7570390245,798.3390045739484,59931309.0733663,51962012.316327274
