year,month,CapEx ($),OpEx ($),Energy Production (GWh),Revenue ($),Cash Flow ($)
1995,1,-638756159.9999999,-0.0,0.0,0.0,-638756159.9999999
1995,2,0.0,0.0,0.0,0.0,0.0
1995,3,0.0,0.0,0.0,0.0,0.0
1995,4,0.0,0.0,0.0,0.0,0.0
1995,5,0.0,0.0,0.0,0.0,0.0
1995,6,0.0,0.0,0.0,0.0,0.0
1995,7,0.0,0.0,0.0,0.0,0.0
1995,8,0.0,0.0,0.0,0.0,0.0
1995,9,0.0,0.0,0.0,0.0,0.0
1995,10,0.0,0.0,0.0,0.0,0.0
1995,11,0.0,0.0,0.0,0.0,0.0
1995,12,0.0,0.0,0.0,0.0,0.0
1996,1,-187930317.2617041,-0.0,0.0,0.0,-187930317.2617041
1996,2,0.0,0.0,0.0,0.0,0.0
1996,3,0.0,0.0,0.0,0.0,0.0
1996,4,-174854144.7617041,-0.0,0.0,0.0,-174854144.7617041
1996,5,0.0,0.0,0.0,0.0,0.0
1996,6,0.0,0.0,0.0,0.0,0.0
1996,7,-187930317.2617041,-0.0,0.0,0.0,-187930317.2617041
1996,8,0.0,0.0,0.0,0.0,0.0
1996,9,0.0,0.0,0.0,0.0,0.0
1996,10,-174854144.7617041,-0.0,0.0,0.0,-174854144.7617041
1996,11,0.0,0.0,0.0,0.0,0.0
1996,12,0.0,0.0,0.0,0.0,0.0
1997,1,-187930317.2617041,-0.0,0.0,0.0,-187930317.2617041
1997,2,0.0,0.0,0.0,0.0,0.0
1997,3,0.0,0.0,0.0,0.0,0.0
1997,4,-174854144.7617041,-0.0,0.0,0.0,-174854144.7617041
1997,5,0.0,0.0,0.0,0.0,0.0
1997,6,0.0,0.0,0.0,0.0,0.0
1997,7,-187930317.2617041,-0.0,0.0,0.0,-187930317.2617041
1997,8,0.0,0.0,0.0,0.0,0.0
1997,9,0.0,0.0,0.0,0.0,0.0
1997,10,-174854144.7617041,-0.0,0.0,0.0,-174854144.7617041
1997,11,0.0,0.0,0.0,0.0,0.0
1997,12,0.0,0.0,0.0,0.0,0.0
1998,1,-204376437.71095482,-0.0,0.0,0.0,-204376437.71095482
1998,2,-10319452.36179833,-0.0,0.0,0.0,-10319452.36179833
1998,3,-11433249.447150733,-0.0,0.0,0.0,-11433249.447150733
1998,4,-180739666.9304055,-0.0,0.0,0.0,-180739666.9304055
1998,5,-5780022.831050228,-0.0,0.0,0.0,-5780022.831050228
1998,6,-5614269.4063926935,-0.0,0.0,0.0,-5614269.4063926935
1998,7,-183009078.4656486,-0.0,0.0,0.0,-183009078.4656486
1998,8,-15317985.527281227,-0.0,0.0,0.0,-15317985.527281227
1998,9,-20094859.88919475,-0.0,0.0,0.0,-20094859.88919475
1998,10,-196111350.67979696,-0.0,0.0,0.0,-196111350.67979696
1998,11,-20395459.88919475,-0.0,0.0,0.0,-20395459.88919475
1998,12,-20889286.829834018,-0.0,0.0,0.0,-20889286.829834018
1999,1,-195944843.41502038,-0.0,0.0,0.0,-195944843.41502038
1999,2,-17087424.49725343,-0.0,0.0,0.0,-17087424.49725343
1999,3,-15204633.075724807,-0.0,0.0,0.0,-15204633.075724807
1999,4,-189642318.57783946,-0.0,0.0,0.0,-189642318.57783946
1999,5,-15154768.841968186,-0.0,0.0,0.0,-15154768.841968186
1999,6,-14312234.992393643,-0.0,0.0,0.0,-14312234.992393643
1999,7,-182465606.33822948,-0.0,0.0,0.0,-182465606.33822948
1999,8,-7261642.4882665295,-0.0,0.0,0.0,-7261642.4882665295
1999,9,-2947196.2825163454,-0.0,0.0,0.0,-2947196.2825163454
1999,10,-174854144.7617041,-0.0,0.0,0.0,-174854144.7617041
1999,11,0.0,0.0,0.0,0.0,0.0
1999,12,0.0,0.0,0.0,0.0,0.0
2000,1,0.0,-1018737.3517178685,487.2445491999334,56910163.346552216,55891425.99483435
2000,2,0.0,-936233.9412276928,436.2796969060868,50957468.598630935,50021234.657403246
2000,3,0.0,-1037923.9777153576,486.49387530538155,56822484.63566856,55784560.6579532
2000,4,0.0,-987514.0300037516,471.0584521816532,55019627.21481709,54032113.18481334
2000,5,0.0,-1027193.290799011,390.73498162268066,45637845.8535291,44610652.56273009
2000,6,0.0,-4773941.939751641,323.54287158685025,37789807.40134411,33015865.461592473
2000,7,0.0,-9186844.081852414,262.1635910406338,30620707.433546025,21433863.35169361
2000,8,0.0,-2872901.536706046,235.31862995202152,27485215.978396114,24612314.44169007
2000,9,0.0,-6583670.532753245,289.5372278864979,33817948.21714295,27234277.684389703
2000,10,0.0,-5434460.473679517,399.0575560484323,46609922.54645689,41175462.07277737
2000,11,0.0,-10443979.112729622,431.2059764924216,50364858.05431484,39920878.94158521
2000,12,0.0,-8445731.176253248,478.3152971615348,55867226.70846726,47421495.532214016
2001,1,0.0,-2912201.144145089,483.71368843515233,56497758.80922579,53585557.665080704
2001,2,0.0,-6946301.199780325,415.63544051890415,48546219.452608004,41599918.25282768
2001,3,0.0,-11286692.768661998,460.8930669653079,53832310.22154796,42545617.45288596
2001,4,0.0,-12273785.625644552,450.6592373121629,52636998.91806062,40363213.29241607
2001,5,0.0,-4499256.145551892,379.8713851164829,44368977.78160521,39869721.63605332
2001,6,0.0,-4250115.711157346,312.0215396422815,36444115.83021848,32194000.119061135
2001,7,0.0,-9868753.236778248,253.0438025158531,29555516.13385164,19686762.89707339
2001,8,0.0,-2934709.6363652665,225.85105906456445,26379403.698741127,23444694.06237586
2001,9,0.0,-3305155.3424288,280.651752526106,32780124.69504918,29474969.35262038
2001,10,0.0,-9436841.657026447,387.4441679048238,45253478.81128342,35816637.15425697
2001,11,0.0,-2802196.3657747605,418.1854989918618,48844066.28224945,46041869.91647469
2001,12,0.0,-10809213.000845982,461.62091200467654,53917322.52214622,43108109.521300234
2002,1,0.0,-8819081.485009206,487.26128607622115,56912118.21370263,48093036.72869342
2002,2,0.0,-2785274.623980664,416.2743060416054,48620838.94565951,45835564.32167885
2002,3,0.0,-3379063.332665642,461.0626335804433,53852115.60219577,50473052.269530125
2002,4,0.0,-8727836.097567571,448.43677114812607,52377414.870101124,43649578.77253355
2002,5,0.0,-10578039.319426525,375.069302180751,43808094.49471171,33230055.175285187
