Metrics,Empire Wind,Atlantic Shores South,Mayflower Wind
# Turbines,139.0,200.0,147.0
Turbine Rating (MW),15.0,15.0,15.0
Project Capacity (MW),2085.0,3000.0,2205.0
# OSS,2.0,3.0,2.0
Total Export Cable Length (km),540.2792000000001,604.19488,588.25295
Total Array Cable Length (km),310.30392153800005,346.68734406120893,386.9290152086386
FCR (%),0.0582,0.0582,0.0582
Offtake Price ($/MWh),97.99,58.8,64.56
CapEx ($),6319721993.771889,9324020799.41842,7452923652.675224
CapEx per kW ($/kW),3031.041723631601,3108.0069331394734,3380.0107268368365
System CapEx for Export Cables ($),459237320.0,1027131296.0,625508599.0
Installation CapEx for Export Cables ($),30328372.407376684,60139962.46855593,42817019.29222034
CapEx Without Export Cables ($),5830156301.364512,8236749540.949865,6784598034.383004
OpEx ($),1684569763.713713,1961905108.9125688,1966834104.6996038
OpEx per kW ($/kW),807.9471288794787,653.968369637523,891.9882560995935
Annual OpEx per kW ($/kW),38.4736728037847,31.14135093512014,42.475631242837785
Energy Availability (%),0.9504781268130731,0.9507858846681078,0.9373701425574498
Gross Capacity Factor (%),0.35740251528617784,0.3934901124507279,0.5189710157666646
Net Capacity Factor Without Unmodeled Losses (%),0.33960465486346564,0.37411345690673875,0.4864597675195011
Annual Losses (MWh),978617.641581253,1544518.594076477,1631691.0577764753
AEP (MWh),5554306.17393322,8804496.214870494,8400496.130327655
AEP per kW (MWh/kW),2.6639358148360768,2.934832071623498,3.8097488119399796
Net Capacity Factor With All Losses (%),0.3038644033348441,0.3347644456616474,0.43456266594282406
LCOE ($/MWh),80.6627171429678,72.24514018839506,62.784258845386056
IRR (%),0.0038493071139467094,0.0005760404023926746,0.002496682305266784
NPV ($),-3035950528.1263723,-4636162323.108639,-3559554958.269751
