Metrics,Revolution Wind,CVOW C,Sunrise Wind,Kitty Hawk North,Marwin,Momentum Wind,Future Development,US Wind,Park City,Commonwealth,New England,Empire Wind 1,Empire Wind 2,Atlantic Shores South 1,Atlantic Shores South 2,Mayflower Wind 1,Mayflower Wind 2
# Turbines,79,176,102,69,21,55,38,114,50,78,128,54,85,136,64,80,67
Turbine Rating (MW),11,15,11,15,15,15,15,15,16,16,16,15,15,15,15,15,15
Project Capacity (MW),869,2640,1122,1035,315,825,570,1710,800,1248,2048,810,1275,2040,960,1200,1005
# OSS,2,6,3,3,1,2,2,4,2,3,5,2,3,5,2,3,3
Total Export Cable Length (km),229.0341,528.22912,788.19008,392.13972,58.02504,174.07512,116.05008,290.1252,330.1533,440.2044,660.3066,225.1047,220.1396,300.14616,354.07308,368.20236,468.15177
Total Array Cable Length (km),186.9965011,354.9486935,296.3929973,164.6135679,34.98996343,100.7003069,71.94020882,200.5584032,142.0921803,201.3541756,343.4463559,144.6603219,165.6435996,233.1351052,101.4056388,227.1129848,159.8160304
FCR (%),0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582
Offtake Price ($/MWh),99.03,89.06,83.3,89.06,131.9,71.6,86.7,86.7,79.9,72,75.07,83.3,107.5,58.8,58.8,80,80
CapEx ($),3027512783,8614197682,4472815012,3661907774,1121876437,2799307407,1971399840,5643514625,2934368989,4457951073,7220639701,2825983083,4237096336,6552761863,3307042974,4473128779,3927999860
CapEx per kW ($/kW),3483.904238,3262.953667,3986.466143,3538.075144,3561.512499,3393.099888,3458.59621,3300.30095,3667.961236,3572.07618,3525.702979,3488.868004,3323.212813,3212.138168,3444.836431,3727.607316,3908.457572
System CapEx for Export Cables ($),194678985,448994752,669961568,333318762,49321284,147963852,98642568,246606420,280630305,374173740,561260610,191338995,187118660,255124236,300962118,312972006,397929004.5
Installation CapEx for Export Cables ($),160749626.8,467775950.4,235887616.4,205163526.1,70604801.05,163514614.5,117759063.1,317216604.3,160263812.4,238378835.4,378738621.2,153546685,231921886.2,371500411.4,193817673.5,229984545,201358383.4
CapEx Without Export Cables ($),2672084171,7697426980,3566965828,3123425486,1001950352,2487828941,1754998209,5079691601,2493474871,3845398498,6280640470,2481097403,3818055790,5926137215,2812263182,3930172228,3328712472
OpEx ($),1340414222,1831498111,1565826702,1297534985,882782144.5,1545583956,1403929401,2011267251,1061665536,1374721596,1721954594,1136394348,1382491446,1787228916,1272580163,1818893323,1465563975
OpEx per kW ($/kW),1542.478967,693.7492845,1395.567471,1253.65699,2802.482998,1873.435098,2463.034036,1176.179679,1327.081921,1101.53974,840.7981417,1402.955985,1084.307016,876.0926056,1325.604336,1515.744436,1458.272612
Annual OpEx per kW ($/kW),73.45137938,33.03568021,66.45559385,59.69795192,133.4515714,89.21119516,117.2873351,56.00855613,63.19437717,52.45427334,40.03800675,66.80742785,51.63366745,41.71869551,63.12401601,72.17830645,69.44155294
Energy Availability (%),0.949412002,0.946614481,0.943844797,0.940764314,0.90452446,0.905398967,0.900977513,0.924136624,0.949615357,0.945023675,0.94464892,0.95348405,0.951904139,0.936623196,0.938963621,0.920432079,0.924051752
Gross Capacity Factor (%),0.477702329,0.477689758,0.477702329,0.477689758,0.477689758,0.477689758,0.477689758,0.477689758,0.477694225,0.477694225,0.477694225,0.477689758,0.477689758,0.477689758,0.477689758,0.477689758,0.477689758
Net Capacity Factor Without Unmodeled Losses (%),0.46762067,0.434676327,0.459140932,0.445694389,0.440651989,0.430452205,0.434130483,0.433239482,0.454953424,0.449620106,0.444901856,0.453838534,0.424996495,0.425378853,0.434603276,0.439941892,0.443199044
Net Capacity Factor With All Losses (%),0.419850437,0.386907351,0.411370699,0.397925413,0.392883013,0.382683229,0.386361507,0.385470506,0.407184002,0.401850684,0.397132434,0.406069558,0.377227519,0.377609877,0.386834301,0.392172917,0.395430068
AEP (MWh),3198588.092,8954778.298,4046412.387,3610654.682,1084970.014,2767816.593,1930690.4,5778713.906,2855779.18,4396663.488,7130323.584,2883562.582,4216552.209,6753321.773,3255668.209,4125748.722,3484012.309
AEP per kW (MWh/kW),3.680768806,3.391961476,3.606428153,3.488555249,3.44434925,3.354929204,3.387176141,3.379364858,3.569723975,3.522967538,3.481603313,3.559953805,3.307099772,3.310451849,3.391321051,3.438123935,3.466678914
LCOE ($/MWh),75.04263935,65.72585957,82.75998044,76.13866096,98.92481107,85.45325139,94.05405011,73.41204099,77.50451379,73.90051262,70.43706537,75.80422682,74.09654078,69.07369365,77.73180196,84.09384237,85.64790422
IRR (%),0.005267665,0.005096399,0.002653375,0.003702203,0.005618463,0.000748776,0.001735155,0.003796916,0.002816633,0.002249843,0.003019752,0.003174677,0.005560864,0.000980002,-0.000124515,0.001918946,0.001727352
NPV ($),-1311082820,-3814346874,-1988712085,-1703328424,-509588331.7,-1369142276,-956289637,-2630336891,-1336492712,-2060938639,-3299882004,-1343787969,-1931421994,-3217120961,-1640530160,-2141940116,-1883091597
