Metrics,Revolution Wind,CVOW C,Kitty Hawk North,Marwin,Momentum Wind,Future Development,US Wind,Park City,Commonwealth,New England,Empire Wind 1,Empire Wind 2,Atlantic Shores South 1,Atlantic Shores South 2,Mayflower Wind 1
# Turbines,79.0,176.0,69.0,21.0,55.0,38.0,114.0,50.0,78.0,128.0,54.0,85.0,136.0,64.0,80.0
Turbine Rating (MW),11.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0
Project Capacity (MW),869.0,2640.0,1035.0,315.0,825.0,570.0,1710.0,800.0,1248.0,2048.0,810.0,1275.0,2040.0,960.0,1200.0
# OSS,2.0,3.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
Total Export Cable Length (km),229.0341,594.25776,294.10479,58.02504,116.05008,116.05008,232.10016,330.1533,440.2044,770.3577,225.1047,315.1745,250.1218,354.07308,276.15177
Total Array Cable Length (km),186.99650114174372,354.9486935037968,251.13957985476534,34.98996342800848,100.70030692415952,71.94020882411014,200.55840317511957,142.09218028532092,201.35417560620758,343.4463558915285,144.66032188428366,165.6435996491649,233.13510522873702,101.4056387846453,227.11298476988372
FCR (%),0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582
Offtake Price ($/MWh),99.03,89.06,89.06,131.9,71.6,86.7,86.7,79.9,72.0,75.07,83.3,107.5,58.8,58.8,80.0
CapEx ($),2994396587.804679,7813031773.101726,3591735599.640486,1106039758.1098108,2577120805.9139824,1906470115.5788267,5192854896.015973,2782692391.903181,4145146082.0531063,6761130068.598885,2566363303.000787,3953159331.525256,6091033074.088692,3344872843.896117,4324859019.634207
CapEx per kW ($/kW),3445.7958432735086,2959.481732235502,3470.275941681629,3511.237327332733,3123.7827950472515,3344.6844132961874,3036.757249132148,3478.3654898789764,3321.431155491271,3301.333041308049,3168.349756791095,3100.5171227649066,2985.8005265140646,3484.242545725122,3604.0491830285055
System CapEx for Export Cables ($),389357970.00000006,505119095.99999994,499978142.99999994,98642568.0,197285136.0,197285136.0,394570272.0,280630305.0,374173740.0,654804045.0,191338994.99999997,267898325.00000003,425207060.0,601924236.0,469458009.0
Installation CapEx for Export Cables ($),19491941.849867333,29822186.63800744,29851871.117755294,12246417.019980105,15865772.196124207,15865772.196124207,22794893.50731652,31124165.854258876,35679524.72531307,53192245.1740921,10387948.754913637,19940423.65246305,27549848.04533667,32590114.423219256,29094918.304101244
CapEx Without Export Cables ($),2585546675.9548116,7278090490.463718,3061905585.5227304,995150773.0898308,2363969897.7178583,1693319207.3827024,4775489730.5086565,2470937921.048922,3735292817.327793,6053133778.424792,2364636359.245873,3665320582.872793,5638276166.043355,2710358493.472898,3826306092.3301053
OpEx ($),1318220249.8385122,1780269423.3567078,1224412482.1536582,911686782.8530809,1454438390.754458,1254221590.4896812,1729583938.297869,1172533288.4672265,1430446937.096173,1691011577.269057,1121036625.9071932,1310301101.4842293,1786574043.2814362,1254561801.480105,1801044413.2777915
OpEx per kW ($/kW),1516.9392978578967,674.3444785442075,1183.0072291339693,2894.2437550891455,1762.9556251569188,2200.3887552450547,1011.4525954958298,1465.6666105840332,1146.1914560065488,825.6892467134068,1383.995834453325,1027.6871384190033,875.7715898438413,1306.8352098751093,1500.8703443981597
