Metrics,Sunrise Wind,Mayflower Wind 2
# Turbines,102.0,67.0
Turbine Rating (MW),11.0,15.0
Project Capacity (MW),1122.0,1005.0
# OSS,1.0,1.0
Total Export Cable Length (km),394.09504,312.10118
Total Array Cable Length (km),296.39299729360744,159.8160304387548
FCR (%),0.0582,0.0582
Offtake Price ($/MWh),83.3,80.0
CapEx ($),3751881179.4307714,3498635149.34997
CapEx per kW ($/kW),3343.9226198135216,3481.2290043283283
System CapEx for Export Cables ($),197047520.0,156050590.0
Installation CapEx for Export Cables ($),11797577.524956502,13722100.9881191
CapEx Without Export Cables ($),3543036081.9058146,3328862458.3618507
OpEx ($),1537556762.7669709,1600499234.1448982
OpEx per kW ($/kW),1370.3714463163733,1592.5365513879583
Annual OpEx per kW ($/kW),65.25578315792254,75.83507387561706
Energy Availability (%),0.9434073589219593,0.915740576014472
Gross Capacity Factor (%),0.5207476927122886,0.527592351936504
Net Capacity Factor Without Unmodeled Losses (%),0.49123377907787635,0.48330323427482014
Annual Losses (MWh),802540.0394635373,855063.0906594213
AEP (MWh),4319749.706814261,3793390.3223273754
AEP per kW (MWh/kW),3.8500443019734947,3.77451773365908
Net Capacity Factor With All Losses (%),0.43915900980665473,0.43054399908116786
LCOE ($/MWh),67.49846475736958,73.76905384349563
IRR (%),0.004216594115440397,0.0031564368881926708
NPV ($),-1746744672.3226461,-1671189337.740078
