year,month,CapEx ($),OpEx ($),Energy Production (GWh),Revenue ($),Cash Flow ($)
1995,1,-434528000.0,-0.0,0.0,0.0,-434528000.0
1995,2,0.0,0.0,0.0,0.0,0.0
1995,3,0.0,0.0,0.0,0.0,0.0
1995,4,0.0,0.0,0.0,0.0,0.0
1995,5,0.0,0.0,0.0,0.0,0.0
1995,6,0.0,0.0,0.0,0.0,0.0
1995,7,0.0,0.0,0.0,0.0,0.0
1995,8,0.0,0.0,0.0,0.0,0.0
1995,9,0.0,0.0,0.0,0.0,0.0
1995,10,0.0,0.0,0.0,0.0,0.0
1995,11,0.0,0.0,0.0,0.0,0.0
1995,12,0.0,0.0,0.0,0.0,0.0
1996,1,-146416157.73004496,-0.0,0.0,0.0,-146416157.73004496
1996,2,0.0,0.0,0.0,0.0,0.0
1996,3,0.0,0.0,0.0,0.0,0.0
1996,4,-133558073.73004496,-0.0,0.0,0.0,-133558073.73004498
1996,5,0.0,0.0,0.0,0.0,0.0
1996,6,0.0,0.0,0.0,0.0,0.0
1996,7,-146416157.73004496,-0.0,0.0,0.0,-146416157.73004496
1996,8,0.0,0.0,0.0,0.0,0.0
1996,9,0.0,0.0,0.0,0.0,0.0
1996,10,-133558073.73004496,-0.0,0.0,0.0,-133558073.73004498
1996,11,0.0,0.0,0.0,0.0,0.0
1996,12,0.0,0.0,0.0,0.0,0.0
1997,1,-146416157.73004496,-0.0,0.0,0.0,-146416157.73004496
1997,2,0.0,0.0,0.0,0.0,0.0
1997,3,0.0,0.0,0.0,0.0,0.0
1997,4,-133558073.73004496,-0.0,0.0,0.0,-133558073.73004498
1997,5,0.0,0.0,0.0,0.0,0.0
1997,6,0.0,0.0,0.0,0.0,0.0
1997,7,-146416157.73004496,-0.0,0.0,0.0,-146416157.73004496
1997,8,0.0,0.0,0.0,0.0,0.0
1997,9,0.0,0.0,0.0,0.0,0.0
1997,10,-133558073.73004496,-0.0,0.0,0.0,-133558073.73004498
1997,11,0.0,0.0,0.0,0.0,0.0
1997,12,0.0,0.0,0.0,0.0,0.0
1998,1,-317900935.38135326,-0.0,0.0,0.0,-317900935.3813533
1998,2,-18665784.862789005,-0.0,0.0,0.0,-18665784.862789005
1998,3,-22662258.700664256,-0.0,0.0,0.0,-22662258.700664256
1998,4,-159099673.51928926,-0.0,0.0,0.0,-159099673.51928928
1998,5,-25379699.492936164,-0.0,0.0,0.0,-25379699.492936164
1998,6,-20469804.46250456,-0.0,0.0,0.0,-20469804.46250456
1998,7,-153079177.85568327,-0.0,0.0,0.0,-153079177.8556833
1998,8,-15395065.789388595,-0.0,0.0,0.0,-15395065.789388595
1998,9,-14757198.940073527,-0.0,0.0,0.0,-14757198.940073527
1998,10,-142231868.84920081,-0.0,0.0,0.0,-142231868.84920081
1998,11,-7693036.200347498,-0.0,0.0,0.0,-7693036.200347498
1998,12,-7248679.625005033,-0.0,0.0,0.0,-7248679.625005033
1999,1,-141511401.23989463,-0.0,0.0,0.0,-141511401.23989463
1999,2,-6889872.235877062,-0.0,0.0,0.0,-6889872.235877062
1999,3,-6391619.567481948,-0.0,0.0,0.0,-6391619.567481948
1999,4,-133558073.73004496,-0.0,0.0,0.0,-133558073.73004498
1999,5,0.0,0.0,0.0,0.0,0.0
1999,6,0.0,0.0,0.0,0.0,0.0
1999,7,-133558073.73004496,-0.0,0.0,0.0,-133558073.73004498
1999,8,0.0,0.0,0.0,0.0,0.0
1999,9,0.0,0.0,0.0,0.0,0.0
1999,10,-133558073.73004496,-0.0,0.0,0.0,-133558073.73004498
1999,11,0.0,0.0,0.0,0.0,0.0
1999,12,0.0,0.0,0.0,0.0,0.0
2000,1,0.0,-971229.4035632429,360.9474184222713,28803603.99009725,27832374.58653401
2000,2,0.0,-942353.2318670426,321.01902493312326,25617318.189663235,24674964.957796194
2000,3,0.0,-988394.6912990167,357.67994532401667,28542859.63685653,27554464.945557512
2000,4,0.0,-2643477.54140124,324.5189166098289,25896609.545464348,23253132.004063107
2000,5,0.0,-6328761.1439119615,295.2396265946331,23560122.20225172,17231361.05833976
2000,6,0.0,-952381.9771290461,261.04559790845485,20831438.713094696,19879056.73596565
2000,7,0.0,-988906.6508035399,228.1274179421106,18204567.951780427,17215661.300976887
2000,8,0.0,-1042461.899412702,193.1583811746101,15414038.817733886,14371576.918321183
2000,9,0.0,-7701611.7139357375,221.93284784457293,17710241.25799692,10008629.544061184
2000,10,0.0,-1417411.1516765398,307.76961708586043,24560015.443451665,23142604.291775126
2000,11,0.0,-974653.9268163565,334.3536343604072,26681420.021960497,25706766.09514414
2000,12,0.0,-979562.6504262378,360.5990097933775,28775800.981511522,27796238.331085283
2001,1,0.0,-1089653.8435709425,323.50764295410113,25815909.90773727,24726256.064166326
2001,2,0.0,-964943.1288338964,283.8341840466571,22649967.88692324,21685024.75808934
2001,3,0.0,-1016021.4130751166,340.7206253119075,27189505.899890218,26173484.486815102
2001,4,0.0,-4318425.762039789,326.14144970578417,26026087.686521575,21707661.924481787
2001,5,0.0,-7469332.857462694,295.7437916636227,23600354.57475709,16131021.717294399
2001,6,0.0,-3172552.1340520983,254.15885194662837,20281876.385340944,17109324.251288846
2001,7,0.0,-9358647.946043156,225.0541567546303,17959321.709019497,8600673.762976341
2001,8,0.0,-1318408.1976899593,196.17114876438947,15654457.67139828,14336049.47370832
2001,9,0.0,-984017.1464847632,229.43716425740783,18309085.707741145,17325068.561256383
2001,10,0.0,-997226.6539835623,309.20443129002433,24674513.61694394,23677286.962960377
2001,11,0.0,-992061.9626681277,329.58864725076756,26301174.05061125,25309112.08794312
2001,12,0.0,-9581620.86450322,353.21565582758086,28186609.33504095,18604988.47053773
2002,1,0.0,-2418838.1506570727,333.3377918777818,26600355.791846987,24181517.641189914
2002,2,0.0,-3238564.8361071777,277.7030677930128,22160704.809882417,18922139.973775238
2002,3,0.0,-3425337.817730713,323.6878729764507,25830292.263520766,22404954.445790052
2002,4,0.0,-10776841.356000988,323.0657733998198,25780648.71730562,15003807.361304631
2002,5,0.0,-3321687.815611821,300.20096162371027,23956036.73757208,20634348.92196026
2002,6,0.0,-1294435.2883504238,251.71206342476083,20086622.661295913,18792187.372945487
2002,7,0.0,-7930709.267081199,226.23670758303135,18053689.2651259,10122979.998044701
2002,8,0.0,-1001322.7078304798,197.06949089922193,15726145.37375791,14724822.66592743
2002,9,0.0,-959805.8755697904,226.03078087608833,18037256.313911848,17077450.438342057
2002,10,0.0,-996714.6747805427,310.4449212070884,24773504.71232565,23776790.037545107
2002,11,0.0,-2585297.188699998,328.7257714966257,26232316.565430734,23647019.376730736
2002,12,0.0,-2860556.0979516595,350.48893887171096,27969017.321962535,25108461.224010877
2003,1,0.0,-1968978.0322407614,351.7100557006558,28066462.444912333,26097484.412671573
2003,2,0.0,-2290815.2191858315,288.386351969455,23013230.88716251,20722415.667976677
2003,3,0.0,-2973574.545529028,316.4788771638156,25255014.397672486,22281439.85214346
2003,4,0.0,-2796212.5012573213,315.7672392304083,25198225.690586578,22402013.189329255
2003,5,0.0,-1070318.4597148201,299.5587720578176,23904790.01021384,22834471.550499022
2003,6,0.0,-961853.9443625497,256.66413521760677,20481797.990365017,19519944.046002466
2003,7,0.0,-4278442.51788193,222.38263701841768,17746134.43406973,13467691.9161878
2003,8,0.0,-4973177.983668445,193.89436072016116,15472769.98546886,10499592.001800416
2003,9,0.0,-3124362.3270096825,220.27022549353936,17577563.99438444,14453201.66737476
2003,10,0.0,-1651090.799348542,307.7612336794548,24559346.44762049,22908255.648271948
2003,11,0.0,-965822.0000650341,333.70847093205055,26629935.980377633,25664113.9803126
2003,12,0.0,-1010666.6531845799,356.06001102894265,28413588.880109623,27402922.22692504
2004,1,0.0,-1022274.7196416704,357.25690227731025,28509100.80172936,27486826.08208769
2004,2,0.0,-1836610.1562753422,302.6987548977794,24155360.64084279,22318750.48456745
2004,3,0.0,-12103350.600416066,305.5440319410363,24382413.748894695,12279063.148478629
2004,4,0.0,-3300211.796175638,288.3030192402143,23006580.9353691,19706369.13919346
2004,5,0.0,-3334869.9607692515,293.48986537579276,23420491.256988265,20085621.296219014
2004,6,0.0,-10242941.99510635,250.00764229599446,19950609.855220355,9707667.860114004
2004,7,0.0,-3676023.344185502,228.75822880251948,18254906.65844105,14578883.31425555
2004,8,0.0,-2837004.653896209,197.97350758532232,15798285.90530872,12961281.25141251
2004,9,0.0,-1160690.5652965833,227.39097272491892,18145799.62344853,16985109.058151945
2004,10,0.0,-7682155.179500387,306.4262901277383,24452817.952193517,16770662.772693131
2004,11,0.0,-5504954.059848457,328.17405538800426,26188289.61996274,20683335.560114283
2004,12,0.0,-2180438.8242868828,354.7967565796184,28312781.175053544,26132342.350766663
2005,1,0.0,-994242.7342063745,364.23594555693137,29066028.45544312,28071785.721236747
2005,2,0.0,-903177.8055431881,315.14642695679277,25148684.871152062,24245507.065608874
2005,3,0.0,-12095166.504527947,325.3845809392493,25965689.558952093,13870523.054424146
2005,4,0.0,-5130909.1361166,291.38800242812925,23252762.593764715,18121853.457648113
2005,5,0.0,-2501769.165702939,282.37862262856567,22533814.08575954,20032044.9200566
2005,6,0.0,-1034954.7679329175,255.40282122907198,20381145.13407994,19346190.366147023
2005,7,0.0,-9579723.963332364,224.05195505316823,17879346.013242826,8299622.0499104615
2005,8,0.0,-9453915.077196829,195.625839894462,15610942.023578066,6157026.946381237
2005,9,0.0,-960061.9266600221,231.03210412341966,18436361.90904889,17476299.982388865
2005,10,0.0,-1006954.6683325198,303.27401628918204,24201266.499876726,23194311.831544206
2005,11,0.0,-7206581.047195713,325.3734936537579,25964804.79356988,18758223.746374168
2005,12,0.0,-4334357.124294533,356.5149982559271,28449896.86082298,24115539.736528445
2006,1,0.0,-3117923.1176274084,359.27897247052357,28670462.003147777,25552538.88552037
2006,2,0.0,-1776484.0512433432,318.14973168845125,25388348.588738408,23611864.537495065
2006,3,0.0,-1000512.0728923627,352.458594074055,28126195.807109587,27125683.734217223
2006,4,0.0,-2662753.5575854266,291.6040138139715,23270000.302354924,20607246.7447695
2006,5,0.0,-5376685.919908629,269.0631073224033,21471235.964327782,16094550.044419155
2006,6,0.0,-10088708.791896693,250.04415745111126,19953523.76459868,9864814.972701985
2006,7,0.0,-4111966.7008586535,226.20995436046886,18051554.357965413,13939587.65710676
2006,8,0.0,-2635458.0408049095,194.42230931251754,15514900.2831389,12879442.24233399
2006,9,0.0,-2744777.5836528204,228.7638724872355,18255357.024481393,15510579.440828573
2006,10,0.0,-2990251.2852346026,310.21686263334885,24755305.638141237,21765054.352906633
2006,11,0.0,-2761843.6340001435,334.857158186277,26721601.223264903,23959757.589264758
2006,12,0.0,-1003626.6523814207,358.62187037621936,28618025.256022308,27614398.603640888
2007,1,0.0,-1002562.7182926947,361.7127596549256,28864678.220463064,27862115.50217037
2007,2,0.0,-895332.49481929,319.29023668372935,25479360.8873616,24584028.39254231
2007,3,0.0,-8402611.197835036,337.26447246609956,26913704.90279474,18511093.704959705
2007,4,0.0,-3850427.2678327514,299.54188642238,23903442.536505923,20053015.26867317
2007,5,0.0,-1087381.3367197004,265.44883494886074,21182817.028919086,20095435.692199387
2007,6,0.0,-986216.6920331852,247.64785431997703,19762298.774734166,18776082.08270098
2007,7,0.0,-8075399.189301414,215.115606929126,17166225.432944253,9090826.243642839
2007,8,0.0,-1093033.7166025364,195.1770497651783,15575128.571261229,14482094.854658693
2007,9,0.0,-2929011.0953270914,228.48320353915014,18232959.64242418,15303948.54709709
