Inputs,Revolution Wind
FCR,0.0582
Offtake price ($/MWh),99.03
Lease Area Price ($),1903181
Discount rate (%),0.025
# Turbines,79
Turbine Rating (MW),11
Project Capacity (MW),869
# OSS,2
Substructure type,??
Row spacing (rotor diameters),not used for custom layouts
Turbine spacing (rotor diameters),not used for custom layouts
Depth (m),34.7
Mean wind speed (m/s),8.996010967057243
Distance to landfall (km),74.31
Distance to port (km),82
Interconnection distance (km),2
# of POIs,??
Export cable type,['XLPE_1900mm_275kV']
Array cable type,"['XLPE_185mm_66kV', 'XLPE_630mm_66kV']"
