Metrics,Revolution Wind
# Turbines,79.0
Turbine Rating (MW),11.0
Project Capacity (MW),869.0
# OSS,2.0
Total Export Cable Length (km),229.0341
Total Array Cable Length (km),186.99650114174372
FCR (%),0.0582
Offtake Price ($/MWh),99.03
CapEx ($),2994396587.804679
CapEx per kW ($/kW),3445.7958432735086
System CapEx for Export Cables ($),389357970.00000006
Installation CapEx for Export Cables ($),19491941.849867333
CapEx Without Export Cables ($),2585546675.9548116
OpEx ($),1318220249.8385122
OpEx per kW ($/kW),1516.9392978578967
Annual OpEx per kW ($/kW),72.23520465989984
Energy Availability (%),0.9488981049936984
Gross Capacity Factor (%),0.5270694879247245
Net Capacity Factor Without Unmodeled Losses (%),0.5001214147083567
Annual Losses (MWh),606843.7286378272
AEP (MWh),3408581.8558027665
AEP per kW (MWh/kW),3.9224187063322975
Net Capacity Factor With All Losses (%),0.4474144659158927
LCOE ($/MWh),69.54395824648832
IRR (%),0.005596845477454426
NPV ($),-1352529811.1067271
